Rolls
20
90
50
40
10
30
00
60
20
90
30
90
20
40
50
00
60
30
70
20
00
10
20
40
60
90
20
90
90
00
40
70
40
80
70
50
00
20
70
80
50
10
70
50
30
90
40
80
90
40
50
70
80
80
70
10
40
70
90
50
90
10
40
20
70
90
50
10
30
50
10
90
20
00
60
20
40
50
10
60
30
50
90
00
80
30
20
60
20
80
30
00
00
30
60
90
90
60
80
60
60
50
50
20
20
20
50
50
90
60
80
10
20
20
90
80
90
40
10
50
20
60
50
30
80
20
90
30
70
90
20
80
10
90
60
40
10
30
90
90
30
10
10
70
10
50
60
80
40
10
30
10
00
20
30
20
40
80
80
40
30
70
10
40
90
30
90
20
60
10
50
70
00
60
70
30
70
00
70
10
10
20
70
80
90
70
40
00
70
80
90
00
20
90
10
00
00
90
80
70
10
40
90
40
20
90
40
90
90
20
50
60
20
20
30
30
60
20
10
80
40
70
50
70
40
40
40
50
40
90
20
70
60
40
40
40
70
00
70
50
90
40
10
10
90
80
90
10
10
60
