Rolls
2
9
6
4
9
6
5
3
1
8
9
3
3
8
2
10
10
5
1
6
6
10
10
4
9
4
2
3
10
1
2
10
2
9
7
8
4
10
10
4
6
9
7
7
10
10
8
3
4
6
4
8
5
5
3
1
2
7
6
4
4
3
6
6
9
4
7
2
3
4
8
5
7
2
4
5
4
5
7
9
6
10
3
5
4
10
1
10
4
10
9
3
7
9
10
2
2
9
3
1
9
1
10
3
6
6
6
6
5
10
3
1
4
8
6
10
5
4
2
6
10
7
10
5
1
6
8
4
7
7
10
10
4
3
9
6
2
2
4
6
5
10
4
8
2
10
7
8
1
10
9
9
3
6
7
9
10
7
3
3
1
8
5
10
7
6
3
3
4
9
2
4
5
6
1
6
3
8
1
9
5
5
10
10
4
3
5
8
1
6
8
7
8
9
8
9
6
9
5
9
3
10
4
8
2
1
1
5
7
7
10
7
10
6
8
1
4
10
10
9
10
7
10
9
5
8
2
9
5
7
1
1
10
8
1
5
8
3
2
2
10
6
8
4
3
6
3
10
8

