"Station Name","Date (Local Standard Time)","Precip. (mm)","Air Temp. Inst. (°C)","Air Temp. Max. (°C)","Air Temp. Min. (°C)","Humidity Inst. (%)","Humidity Ave. (%)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (°)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (°)","Precip. Accumulated (mm)","Air Temp. Ave. (°C)","Incoming Solar Rad. (W/m2)","Peak Wind Speed 10 m (km/h)","Wind Dir. Peak 10 m (°)","Snow Depth (cm)","Est. Dew Point Temp. (°C)","Wind Chill (°C)","Humidex (°C)"
"Calgary Int'L CS","01-November-2015 00:00","0.000","7.450","7.520","2.856","43.100","","","","","","0.000","4.652","0.000","","","0.907","-6.334","","7.450"
"Calgary Int'L CS","01-November-2015 01:00","0.000","5.043","7.940","4.214","46.790","","","","","","0.000","6.025","0.000","","","0.597","-4.443","","5.043"
"Calgary Int'L CS","01-November-2015 02:00","0.000","2.273","5.081","2.273","56.720","","","","","","0.000","4.270","0.000","","","0.650","-4.111","","2.273"
"Calgary Int'L CS","01-November-2015 03:00","0.000","-0.085","2.259","-1.148","71.300","","","","","","0.000","0.692","0.000","","","0.684","-4.032","","-0.085"
"Calgary Int'L CS","01-November-2015 04:00","0.000","-0.524","0.517","-1.093","70.400","","","","","","0.000","-0.101","0.000","","","0.222","-5.011","","-0.524"
"Calgary Int'L CS","01-November-2015 05:00","0.000","-0.639","-0.109","-1.984","71.300","","","","","","0.000","-0.803","0.000","","","0.421","-5.573","","-0.639"
"Calgary Int'L CS","01-November-2015 06:00","0.000","-0.499","0.113","-0.988","72.100","","","","","","0.000","-0.445","0.000","","","0.421","-4.840","","-0.499"
"Calgary Int'L CS","01-November-2015 07:00","0.000","-2.099","-0.351","-2.111","75.000","","","","","","0.000","-1.274","0.010","","","0.522","-5.086","","-2.099"
"Calgary Int'L CS","01-November-2015 08:00","0.000","-2.736","-1.908","-3.442","76.600","","","","","","0.000","-2.714","9.444","","","0.596","-6.208","","-2.736"
"Calgary Int'L CS","01-November-2015 09:00","0.000","-0.019","-0.019","-2.816","74.600","","","","","","0.000","-1.731","120.833","","","1.158","-5.337","","-0.019"
"Calgary Int'L CS","01-November-2015 10:00","0.000","7.350","7.350","-0.014","47.940","","","","","","0.000","3.156","215.000","","","0.683","-6.334","","7.350"
"Calgary Int'L CS","01-November-2015 11:00","0.000","6.900","7.750","6.900","50.340","","","","","","0.000","7.300","220.833","","","0.732","-2.318","","6.900"
"Calgary Int'L CS","01-November-2015 12:00","0.000","7.230","7.640","6.874","52.820","","","","","","0.000","7.140","211.667","","","0.770","-1.730","","7.230"
"Calgary Int'L CS","01-November-2015 13:00","0.200","3.438","7.250","3.438","83.800","","","","","","0.200","5.860","51.389","","","1.255","2.827","","3.438"
"Calgary Int'L CS","01-November-2015 14:00","0.400","3.652","3.653","2.742","88.300","","","","","","0.600","3.055","81.389","","","1.285","1.451","","3.652"
"Calgary Int'L CS","01-November-2015 15:00","0.000","3.341","3.789","3.171","88.400","","","","","","0.600","3.367","73.611","","","1.157","1.745","","3.341"
"Calgary Int'L CS","01-November-2015 16:00","0.000","3.287","3.455","3.263","87.000","","","","","","0.600","3.380","46.389","","","1.095","1.404","","3.287"
"Calgary Int'L CS","01-November-2015 17:00","0.000","3.883","4.324","3.162","81.400","","","","","","0.600","3.717","36.667","","","0.821","0.856","","3.883"
"Calgary Int'L CS","01-November-2015 18:00","0.000","2.457","3.877","2.383","83.800","","","","","","0.600","3.131","0.000","","","0.610","0.659","","2.457"
"Calgary Int'L CS","01-November-2015 19:00","0.000","3.514","3.514","2.151","70.500","","","","","","0.600","2.919","0.000","","","0.693","-1.995","","3.514"
"Calgary Int'L CS","01-November-2015 20:00","0.000","1.914","3.657","1.883","62.980","","","","","","0.600","2.793","0.000","","","0.509","-3.571","","1.914"
"Calgary Int'L CS","01-November-2015 21:00","0.000","-1.103","1.960","-1.103","84.100","","","","","","0.600","0.853","0.000","","","0.687","-1.940","","-1.103"
"Calgary Int'L CS","01-November-2015 22:00","0.000","-2.261","-1.107","-2.385","94.200","","","","","","0.600","-1.682","0.000","","","0.619","-2.554","","-2.261"
"Calgary Int'L CS","01-November-2015 23:00","0.000","-1.663","-1.663","-2.322","96.600","","","","","","0.600","-2.040","0.000","","","0.243","-2.460","","-1.663"
"Calgary Int'L CS","02-November-2015 00:00","0.000","-1.045","-1.027","-1.662","97.000","","","","","","0.600","-1.242","0.000","","","0.445","-1.758","","-1.045"
"Calgary Int'L CS","02-November-2015 01:00","0.000","-0.944","-0.920","-1.061","97.200","","","","","","0.600","-0.978","0.000","","","0.660","-1.377","","-0.944"
"Calgary Int'L CS","02-November-2015 02:00","0.000","-0.740","-0.697","-0.944","96.800","","","","","","0.600","-0.782","0.000","","","0.682","-1.264","","-0.740"
