"Station Name","Date (Local Standard Time)","Precip. (mm)","Air Temp. Inst. (°C)","Air Temp. Max. (°C)","Air Temp. Min. (°C)","Humidity Inst. (%)","Humidity Ave. (%)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (°)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (°)","Precip. Accumulated (mm)","Air Temp. Ave. (°C)","Incoming Solar Rad. (W/m2)","Peak Wind Speed 10 m (km/h)","Wind Dir. Peak 10 m (°)","Snow Depth (cm)","Est. Dew Point Temp. (°C)","Wind Chill (°C)","Humidex (°C)"
"Calgary Int'L CS","01-September-2017 00:00","0.000","12.590","13.670","12.520","79.950","","7.150","321.900","12.524","331.700","0.000","13.150","0.000","19.616","338.400","-0.682","9.713","12.590","13.506"
"Calgary Int'L CS","01-September-2017 01:00","0.000","11.430","12.580","11.200","83.800","","5.076","297.800","5.454","308.600","0.000","11.810","0.000","7.974","299.000","-0.782","9.237","11.430","12.159"
"Calgary Int'L CS","01-September-2017 02:00","0.000","11.030","11.670","10.160","84.900","","4.871","253.700","3.762","271.600","0.000","10.890","0.000","7.481","299.200","-0.825","8.474","11.030","11.675"
"Calgary Int'L CS","01-September-2017 03:00","0.000","10.020","11.310","9.550","86.800","","8.147","217.700","7.902","224.500","0.000","10.290","0.000","10.444","232.600","-0.647","8.325","10.020","10.391"
"Calgary Int'L CS","01-September-2017 04:00","0.000","10.620","12.290","10.040","82.500","","3.161","210.300","3.647","247.300","0.000","11.340","0.000","10.865","224.500","-0.876","8.296","10.620","10.927"
"Calgary Int'L CS","01-September-2017 05:00","0.000","10.450","11.230","9.940","83.900","","6.631","194.000","8.028","145.900","0.000","10.650","0.000","15.523","57.490","-1.021","7.977","10.450","10.790"
"Calgary Int'L CS","01-September-2017 06:00","0.000","9.240","10.860","8.480","88.200","","2.250","14.700","3.128","328.100","0.000","9.680","1.460","6.775","317.700","-1.274","7.812","9.240","9.399"
"Calgary Int'L CS","01-September-2017 07:00","0.000","11.010","11.010","8.680","87.700","","6.743","138.500","4.928","113.500","0.000","9.670","40.000","8.042","144.000","0.172","7.901","11.010","11.851"
"Calgary Int'L CS","01-September-2017 08:00","0.000","14.210","14.220","11.020","72.420","","9.889","157.800","7.906","169.600","0.000","12.770","169.167","13.759","151.700","0.485","7.790","14.210","15.168"
"Calgary Int'L CS","01-September-2017 09:00","0.000","16.300","16.410","14.200","58.720","","16.920","160.000","13.262","166.900","0.000","15.420","328.889","22.651","164.100","-0.121","7.267","16.300","16.784"
"Calgary Int'L CS","01-September-2017 10:00","0.000","18.030","18.290","16.230","51.810","","21.013","155.800","19.321","158.400","0.000","17.240","480.000","31.104","160.400","-0.020","7.256","18.030","18.419"
"Calgary Int'L CS","01-September-2017 11:00","0.000","20.220","20.910","18.020","41.160","","16.751","182.000","18.904","171.900","0.000","19.390","595.556","27.871","159.300","0.052","5.917","20.220","20.220"
"Calgary Int'L CS","01-September-2017 12:00","0.000","22.050","22.540","19.930","31.890","","16.117","188.300","15.667","170.900","0.000","21.470","668.889","24.203","183.300","-0.465","3.824","22.050","22.050"
"Calgary Int'L CS","01-September-2017 13:00","0.000","23.120","24.150","22.050","23.070","","9.040","236.200","11.344","175.200","0.000","23.000","685.278","21.452","153.100","-0.607","0.871","23.120","23.120"
"Calgary Int'L CS","01-September-2017 14:00","0.000","24.780","25.570","23.180","23.010","","13.230","186.600","9.824","186.300","0.000","24.410","660.556","21.521","188.600","-0.552","1.901","24.780","24.780"
"Calgary Int'L CS","01-September-2017 15:00","0.000","24.950","25.690","24.510","23.780","","12.035","210.200","9.626","193.100","0.000","25.100","580.833","21.028","191.000","-0.168","2.970","24.950","24.950"
"Calgary Int'L CS","01-September-2017 16:00","0.000","25.090","25.900","24.640","20.730","","16.564","350.600","12.604","288.900","0.000","25.330","277.222","26.813","336.100","-0.700","1.189","25.090","25.090"
"Calgary Int'L CS","01-September-2017 17:00","0.000","25.480","25.480","24.660","21.260","","15.268","359.200","15.210","349.000","0.000","25.040","184.722","28.436","343.800","-0.122","1.375","25.480","25.480"
"Calgary Int'L CS","01-September-2017 18:00","0.000","25.390","26.210","25.390","19.120","","22.856","324.400","16.466","331.000","0.000","25.820","278.056","30.132","318.700","-0.277","0.504","25.390","25.390"
"Calgary Int'L CS","01-September-2017 19:00","0.000","22.500","25.390","22.490","23.330","","17.644","322.900","19.706","327.100","0.000","23.870","66.111","30.492","335.300","-0.066","1.730","22.500","22.500"
"Calgary Int'L CS","01-September-2017 20:00","0.000","18.690","22.490","18.660","35.770","","11.149","5.123","11.923","339.600","0.000","20.420","0.000","21.100","314.600","0.261","4.884","18.690","18.690"
"Calgary Int'L CS","01-September-2017 21:00","0.000","17.010","19.640","16.950","47.720","","12.949","19.740","14.659","12.740","0.000","18.710","0.000","21.521","17.960","-0.119","7.005","17.010","17.010"
"Calgary Int'L CS","01-September-2017 22:00","0.000","15.920","17.000","15.860","49.940","","10.940","2.384","12.697","3.480","0.000","16.250","0.000","19.264","0.823","-0.098","5.957","15.920","15.920"
"Calgary Int'L CS","01-September-2017 23:00","0.000","13.560","16.020","13.140","59.010","","4.759","291.600","5.224","271.000","0.000","14.400","0.000","15.523","183.700","-0.332","6.659","13.560","13.560"
"Calgary Int'L CS","02-September-2017 00:00","0.000","13.920","15.330","13.590","59.750","","6.196","318.500","5.854","334.300","0.000","14.490","0.000","10.937","344.600","-0.621","6.728","13.920","13.920"
"Calgary Int'L CS","02-September-2017 01:00","0.000","12.000","14.200","12.000","64.180","","5.983","316.400","6.822","322.400","0.000","13.300","0.000","11.290","317.700","-0.662","6.484","12.000","12.000"
"Calgary Int'L CS","02-September-2017 02:00","0.000","11.180","12.050","10.380","69.890","","5.724","350.200","6.163","334.400","0.000","11.270","0.000","11.783","328.800","-0.467","5.923","11.180","11.180"
"Calgary Int'L CS","02-September-2017 03:00","0.000","10.100","11.450","8.970","71.940","","2.131","303.900","3.791","323.700","0.000","10.320","0.000","9.666","307.300","-0.589","5.375","10.100","10.100"
"Calgary Int'L CS","02-September-2017 04:00","0.000","8.410","10.250","8.350","75.670","","2.135","349.800","3.049","331.800","0.000","9.270","0.000","6.350","327.400","-0.592","5.225","8.410","8.410"
"Calgary Int'L CS","02-September-2017 05:00","0.000","7.788","9.530","7.545","74.370","","3.560","94.700","4.219","348.200","0.000","8.690","0.000","9.032","316.300","-0.931","4.240","7.788","7.788"
"Calgary Int'L CS","02-September-2017 06:00","0.000","7.896","9.150","7.071","81.900","","2.999","301.300","2.077","322.400","0.000","7.947","1.850","5.857","330.200","-0.605","5.206","7.896","7.896"
"Calgary Int'L CS","02-September-2017 07:00","0.000","11.390","11.390","7.731","71.890","","4.820","357.600","5.483","335.200","0.000","8.940","58.611","9.806","33.810","-0.077","4.741","11.390","11.390"
"Calgary Int'L CS","02-September-2017 08:00","0.000","13.230","13.230","11.400","58.860","","2.549","268.500","3.629","284.200","0.000","12.680","162.500","8.539","275.200","0.381","4.497","13.230","13.230"
"Calgary Int'L CS","02-September-2017 09:00","0.000","16.410","16.540","13.180","51.170","","12.726","214.200","9.446","218.900","0.000","14.830","312.222","16.369","219.000","0.263","4.861","16.410","16.410"
"Calgary Int'L CS","02-September-2017 10:00","0.000","20.670","20.680","16.440","35.980","","11.794","195.700","13.273","202.500","0.000","18.430","513.333","19.404","203.100","0.156","3.189","20.670","20.670"
"Calgary Int'L CS","02-September-2017 11:00","0.000","23.550","23.670","20.280","30.890","","12.503","198.400","13.097","199.000","0.000","22.030","588.333","19.051","186.800","-0.413","4.013","23.550","23.550"
"Calgary Int'L CS","02-September-2017 12:00","0.000","27.120","27.770","23.180","23.390","","13.000","179.500","13.669","185.900","0.000","25.470","693.333","21.028","196.800","-0.791","3.051","27.120","27.120"
"Calgary Int'L CS","02-September-2017 13:00","0.000","29.590","30.390","27.000","19.660","","13.478","168.700","13.784","163.500","0.000","28.560","733.333","22.864","168.000","-0.888","3.260","29.590","29.590"
"Calgary Int'L CS","02-September-2017 14:00","0.000","32.410","32.410","29.310","15.500","","21.506","277.600","13.414","208.600","0.000","30.450","708.889","34.380","291.500","-0.951","1.665","32.410","32.410"
"Calgary Int'L CS","02-September-2017 15:00","0.000","31.930","32.420","31.240","13.750","","19.868","265.200","24.160","266.700","0.000","31.710","642.222","38.664","277.100","-0.719","0.764","31.930","31.930"
"Calgary Int'L CS","02-September-2017 16:00","0.000","31.640","32.270","31.350","13.530","","23.234","257.900","23.414","260.300","0.000","31.780","525.833","35.712","272.900","-0.560","0.526","31.640","31.640"
"Calgary Int'L CS","02-September-2017 17:00","0.000","31.240","31.990","31.220","13.430","","23.173","252.400","20.185","243.200","0.000","31.520","379.444","30.960","250.100","-0.789","0.263","31.240","31.240"
"Calgary Int'L CS","02-September-2017 18:00","0.000","29.630","31.230","29.630","15.510","","15.329","272.400","16.348","264.500","0.000","30.640","210.556","29.124","266.700","-0.318","1.333","29.630","29.630"
"Calgary Int'L CS","02-September-2017 19:00","0.000","26.780","29.620","26.780","19.310","","15.498","288.000","15.271","284.900","0.000","28.130","47.500","24.415","293.200","-0.626","2.602","26.780","26.780"
"Calgary Int'L CS","02-September-2017 20:00","0.000","24.330","27.350","24.330","22.660","","10.825","297.400","16.448","287.900","0.000","26.210","0.000","26.744","288.700","-1.348","2.908","24.330","24.330"
"Calgary Int'L CS","02-September-2017 21:00","0.000","19.370","25.920","19.370","47.530","","46.656","340.900","26.950","313.100","0.000","23.620","0.000","71.424","325.900","-0.412","10.917","19.370","19.744"
"Calgary Int'L CS","02-September-2017 22:00","0.000","16.590","19.360","16.560","53.230","","27.958","356.800","34.236","353.100","0.000","17.530","0.000","59.832","336.500","-0.473","8.300","16.590","16.611"
"Calgary Int'L CS","02-September-2017 23:00","0.000","14.900","16.600","14.900","58.880","","20.840","339.100","24.397","349.900","0.000","15.740","0.000","35.712","358.000","-0.170","7.724","14.900","14.900"
"Calgary Int'L CS","03-September-2017 00:00","0.000","14.030","14.890","13.790","62.990","","14.058","336.900","15.653","336.900","0.000","14.290","0.000","24.836","340.800","-0.321","7.385","14.030","14.074"
"Calgary Int'L CS","03-September-2017 01:00","0.000","12.170","14.110","12.170","68.820","","7.481","309.300","10.541","321.300","0.000","12.950","0.000","17.359","331.300","-0.728","7.540","12.170","12.170"
"Calgary Int'L CS","03-September-2017 02:00","0.000","10.680","12.150","10.190","73.960","","8.608","239.100","5.998","278.100","0.000","11.440","0.000","10.444","229.700","-0.942","6.701","10.680","10.680"
"Calgary Int'L CS","03-September-2017 03:00","0.000","12.300","12.300","10.260","73.200","","3.931","296.300","4.745","270.000","0.000","11.310","0.000","9.454","232.100","-0.768","6.656","12.300","12.558"
"Calgary Int'L CS","03-September-2017 04:00","0.000","12.440","12.950","11.850","72.460","","1.328","22.660","0.994","280.000","0.000","12.360","0.000","4.165","313.500","-1.279","7.586","12.440","12.692"
"Calgary Int'L CS","03-September-2017 05:00","0.000","11.440","12.690","10.810","76.570","","4.489","317.000","3.906","49.310","0.000","11.630","0.000","9.313","323.300","-0.261","7.768","11.440","11.630"
"Calgary Int'L CS","03-September-2017 06:00","0.000","11.570","11.820","11.340","75.770","","4.612","328.800","4.223","323.700","0.000","11.580","1.440","6.491","315.900","0.079","7.449","11.570","11.749"
