"Station Name","Date (Local Standard Time)","Precip. (mm)","Air Temp. Inst. (°C)","Air Temp. Max. (°C)","Air Temp. Min. (°C)","Humidity Inst. (%)","Humidity Ave. (%)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (°)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (°)","Precip. Accumulated (mm)","Air Temp. Ave. (°C)","Incoming Solar Rad. (W/m2)","Peak Wind Speed 10 m (km/h)","Wind Dir. Peak 10 m (°)","Snow Depth (cm)","Est. Dew Point Temp. (°C)","Wind Chill (°C)","Humidex (°C)"
"Calgary Int'L CS","01-March-2011 00:00","0.200","-27.500","-27.170","-28.350","77.200","","","","","","0.200","","0.000","","","3.925","-30.502","","-27.500"
"Calgary Int'L CS","01-March-2011 01:00","0.000","-28.620","-27.260","-28.910","76.200","","","","","","0.200","","0.000","","","3.994","-30.954","","-28.620"
"Calgary Int'L CS","01-March-2011 02:00","0.000","-29.190","-28.620","-29.660","75.600","","","","","","0.200","","0.000","","","3.949","-32.062","","-29.190"
"Calgary Int'L CS","01-March-2011 03:00","0.000","-29.490","-29.090","-30.490","75.300","","","","","","0.200","","0.000","","","3.889","-32.735","","-29.490"
"Calgary Int'L CS","01-March-2011 04:00","0.000","-30.890","-29.360","-30.960","72.600","","","","","","0.200","","0.000","","","3.871","-33.466","","-30.890"
"Calgary Int'L CS","01-March-2011 05:00","0.000","-28.850","-28.710","-30.930","74.800","","","","","","0.200","","0.000","","","3.931","-32.832","","-28.850"
"Calgary Int'L CS","01-March-2011 06:00","0.000","-29.190","-28.680","-29.320","74.400","","","","","","0.200","","0.000","","","3.819","-32.091","","-29.190"
"Calgary Int'L CS","01-March-2011 07:00","0.000","-27.970","-27.750","-29.660","75.700","","","","","","0.200","","0.010","","","3.984","-31.626","","-27.970"
"Calgary Int'L CS","01-March-2011 08:00","0.000","-27.880","-27.750","-28.120","75.900","","","","","","0.200","","17.500","","","3.922","-30.850","","-27.880"
"Calgary Int'L CS","01-March-2011 09:00","0.000","-25.760","-25.700","-27.880","76.600","","","","","","0.200","","144.446","","","3.953","-29.640","","-25.760"
"Calgary Int'L CS","01-March-2011 10:00","0.000","-25.080","-25.080","-25.830","74.700","","","","","","0.200","","316.669","","","3.907","-28.608","","-25.080"
"Calgary Int'L CS","01-March-2011 11:00","0.000","-24.630","-24.630","-25.450","71.400","","","","","","0.200","","456.670","","","3.917","-28.688","","-24.630"
"Calgary Int'L CS","01-March-2011 12:00","0.000","-24.170","-23.890","-24.720","67.230","","","","","","0.200","","616.394","","","3.841","-28.620","","-24.170"
"Calgary Int'L CS","01-March-2011 13:00","0.000","-24.090","-23.800","-24.420","66.640","","","","","","0.200","","653.894","","","3.842","-28.527","","-24.090"
"Calgary Int'L CS","01-March-2011 14:00","0.000","-23.900","-23.640","-24.270","65.600","","","","","","0.200","","611.672","","","3.884","-28.546","","-23.900"
"Calgary Int'L CS","01-March-2011 15:00","0.000","-24.200","-23.730","-24.430","68.570","","","","","","0.200","","378.059","","","3.949","-28.194","","-24.200"
"Calgary Int'L CS","01-March-2011 16:00","0.000","-23.980","-23.880","-24.340","69.000","","","","","","0.200","","245.835","","","3.967","-28.156","","-23.980"
"Calgary Int'L CS","01-March-2011 17:00","0.000","-24.050","-23.870","-24.110","70.500","","","","","","0.200","","179.724","","","3.932","-27.810","","-24.050"
"Calgary Int'L CS","01-March-2011 18:00","0.000","-24.470","-23.990","-24.470","74.000","","","","","","0.200","","56.945","","","3.927","-27.521","","-24.470"
"Calgary Int'L CS","01-March-2011 19:00","0.000","-24.500","-24.470","-24.590","76.200","","","","","","0.200","","1.389","","","3.939","-27.497","","-24.500"
