"Station Name","Date (Local Standard Time)","Precip. (mm)","Air Temp. Inst. (°C)","Air Temp. Max. (°C)","Air Temp. Min. (°C)","Humidity Inst. (%)","Humidity Ave. (%)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (°)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (°)","Precip. Accumulated (mm)","Air Temp. Ave. (°C)","Incoming Solar Rad. (W/m2)","Peak Wind Speed 10 m (km/h)","Wind Dir. Peak 10 m (°)","Snow Depth (cm)","Est. Dew Point Temp. (°C)","Wind Chill (°C)","Humidex (°C)"
"Calgary Int'L CS","01-September-2014 00:00","0.000","8.340","10.380","8.340","64.650","","","","","","0.000","9.430","0.000","","","","3.040","","8.340"
"Calgary Int'L CS","01-September-2014 01:00","0.000","7.860","8.520","7.820","69.480","","","","","","0.000","8.160","0.000","","","","2.922","","7.860"
"Calgary Int'L CS","01-September-2014 02:00","0.000","7.930","8.450","7.560","67.280","","","","","","0.000","7.920","0.000","","","","2.312","","7.930"
"Calgary Int'L CS","01-September-2014 03:00","0.000","6.472","7.940","6.227","76.100","","","","","","0.000","6.947","0.000","","","","3.161","","6.472"
"Calgary Int'L CS","01-September-2014 04:00","0.000","5.374","6.470","5.374","80.000","","","","","","0.000","5.737","0.000","","","","2.738","","5.374"
"Calgary Int'L CS","01-September-2014 05:00","0.100","5.442","5.477","5.214","78.600","","","","","","0.100","5.308","0.000","","","","1.929","","5.442"
"Calgary Int'L CS","01-September-2014 06:00","0.000","5.972","6.044","5.444","72.200","","","","","","0.100","5.795","1.389","","","","1.131","","5.972"
"Calgary Int'L CS","01-September-2014 07:00","0.000","7.230","7.230","5.975","73.100","","","","","","0.100","6.571","66.389","","","","2.130","","7.230"
"Calgary Int'L CS","01-September-2014 08:00","0.000","10.350","10.350","7.230","59.260","","","","","","0.100","8.590","215.556","","","","1.282","","10.350"
"Calgary Int'L CS","01-September-2014 09:00","0.000","13.230","13.260","10.350","50.660","","","","","","0.100","11.890","377.778","","","","1.902","","13.230"
"Calgary Int'L CS","01-September-2014 10:00","0.000","16.540","17.060","13.240","35.260","","","","","","0.100","15.350","530.000","","","","-0.105","","16.540"
"Calgary Int'L CS","01-September-2014 11:00","0.000","18.810","18.890","16.500","31.690","","","","","","0.100","17.430","650.833","","","","0.654","","18.810"
"Calgary Int'L CS","01-September-2014 12:00","0.000","19.630","19.890","18.150","28.120","","","","","","0.100","19.050","730.556","","","","0.149","","19.630"
"Calgary Int'L CS","01-September-2014 13:00","0.000","20.710","20.750","18.660","27.160","","","","","","0.100","19.930","691.667","","","","0.257","","20.710"
"Calgary Int'L CS","01-September-2014 14:00","0.000","20.470","21.100","19.110","25.000","","","","","","0.100","20.090","540.833","","","","-0.542","","20.470"
"Calgary Int'L CS","01-September-2014 15:00","0.000","20.640","21.710","20.190","25.410","","","","","","0.100","20.880","637.778","","","","0.397","","20.640"
"Calgary Int'L CS","01-September-2014 16:00","0.000","20.750","21.010","19.500","26.180","","","","","","0.100","20.190","422.500","","","","0.219","","20.750"
"Calgary Int'L CS","01-September-2014 17:00","0.000","19.570","20.870","19.570","26.380","","","","","","0.100","20.170","380.000","","","","0.294","","19.570"
"Calgary Int'L CS","01-September-2014 18:00","0.000","17.870","19.720","17.720","31.070","","","","","","0.100","18.770","186.667","","","","1.271","","17.870"
"Calgary Int'L CS","01-September-2014 19:00","0.000","16.180","17.870","16.180","35.500","","","","","","0.100","16.950","43.611","","","","1.644","","16.180"
"Calgary Int'L CS","01-September-2014 20:00","0.000","15.440","16.250","15.410","36.260","","","","","","0.100","15.790","3.056","","","","0.882","","15.440"
"Calgary Int'L CS","01-September-2014 21:00","0.000","9.360","15.440","9.360","72.700","","","","","","0.100","12.510","0.000","","","","7.635","","9.360"
"Calgary Int'L CS","01-September-2014 22:00","0.000","8.110","9.350","8.110","75.700","","","","","","0.100","8.850","0.000","","","","4.679","","8.110"
"Calgary Int'L CS","01-September-2014 23:00","0.000","9.270","9.420","7.830","73.200","","","","","","0.100","8.530","0.000","","","","4.099","","9.270"
"Calgary Int'L CS","02-September-2014 00:00","0.000","9.720","10.050","9.270","73.000","","","","","","0.100","9.820","0.278","","","","5.056","","9.720"
"Calgary Int'L CS","02-September-2014 01:00","0.000","10.330","10.350","9.260","71.200","","","","","","0.100","9.760","0.000","","","","4.838","","10.330"
"Calgary Int'L CS","02-September-2014 02:00","0.000","10.420","10.420","10.040","70.700","","","","","","0.100","10.250","0.000","","","","5.145","","10.420"
"Calgary Int'L CS","02-September-2014 03:00","0.000","10.100","10.460","10.100","71.300","","","","","","0.100","10.300","0.000","","","","5.314","","10.100"
"Calgary Int'L CS","02-September-2014 04:00","0.000","9.300","10.460","9.210","72.200","","","","","","0.100","9.770","0.000","","","","5.067","","9.300"
"Calgary Int'L CS","02-September-2014 05:00","0.000","9.630","9.650","8.680","73.100","","","","","","0.100","9.000","0.000","","","","4.599","","9.630"
"Calgary Int'L CS","02-September-2014 06:00","0.000","9.430","9.920","9.410","71.500","","","","","","0.100","9.730","1.111","","","","4.764","","9.430"
"Calgary Int'L CS","02-September-2014 07:00","0.000","9.660","9.660","9.100","71.300","","","","","","0.100","9.410","38.611","","","","4.450","","9.660"
"Calgary Int'L CS","02-September-2014 08:00","0.000","12.560","12.560","9.660","65.040","","","","","","0.100","10.850","111.389","","","","4.788","","12.560"
"Calgary Int'L CS","02-September-2014 09:00","0.000","12.660","13.370","12.560","59.940","","","","","","0.100","12.890","136.111","","","","5.368","","12.660"
"Calgary Int'L CS","02-September-2014 10:00","0.000","12.890","13.040","12.630","66.150","","","","","","0.100","12.870","154.167","","","","6.672","","12.890"
