"Station Name","Date (Local Standard Time)","Precip. (mm)","Air Temp. Inst. (°C)","Air Temp. Max. (°C)","Air Temp. Min. (°C)","Humidity Inst. (%)","Humidity Ave. (%)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (°)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (°)","Precip. Accumulated (mm)","Air Temp. Ave. (°C)","Incoming Solar Rad. (W/m2)","Peak Wind Speed 10 m (km/h)","Wind Dir. Peak 10 m (°)","Snow Depth (cm)","Est. Dew Point Temp. (°C)","Wind Chill (°C)","Humidex (°C)"
"Calgary Int'L CS","01-March-2012 00:00","0.000","-7.300","-7.270","-7.550","68.180","","","","","","0.000","","0.000","","","5.326","-12.254","","-7.300"
"Calgary Int'L CS","01-March-2012 01:00","0.000","-7.260","-7.170","-7.400","74.900","","","","","","0.000","","0.000","","","5.306","-10.963","","-7.260"
"Calgary Int'L CS","01-March-2012 02:00","0.000","-7.470","-7.230","-7.600","78.500","","","","","","0.000","","0.000","","","5.289","-10.500","","-7.470"
"Calgary Int'L CS","01-March-2012 03:00","0.000","-7.380","-7.120","-7.470","82.100","","","","","","0.000","","0.000","","","5.305","-9.818","","-7.380"
"Calgary Int'L CS","01-March-2012 04:00","0.000","-7.690","-7.330","-7.700","86.100","","","","","","0.000","","0.000","","","5.299","-9.431","","-7.690"
"Calgary Int'L CS","01-March-2012 05:00","0.000","-8.110","-7.670","-8.110","85.300","","","","","","0.000","","0.000","","","5.302","-9.917","","-8.110"
"Calgary Int'L CS","01-March-2012 06:00","0.000","-8.910","-8.110","-8.910","86.000","","","","","","0.000","","0.000","","","5.322","-10.424","","-8.910"
"Calgary Int'L CS","01-March-2012 07:00","0.000","-8.700","-8.570","-8.950","83.700","","","","","","0.000","","0.020","","","5.314","-11.009","","-8.700"
"Calgary Int'L CS","01-March-2012 08:00","0.000","-8.550","-8.550","-8.690","83.400","","","","","","0.000","","9.167","","","5.320","-10.917","","-8.550"
"Calgary Int'L CS","01-March-2012 09:00","0.000","-8.620","-8.430","-8.640","80.600","","","","","","0.000","","89.445","","","5.245","-11.261","","-8.620"
"Calgary Int'L CS","01-March-2012 10:00","0.000","-8.120","-8.080","-8.760","79.300","","","","","","0.000","","268.613","","","5.226","-11.352","","-8.120"
"Calgary Int'L CS","01-March-2012 11:00","0.000","-7.750","-7.520","-8.170","77.200","","","","","","0.000","","289.725","","","5.865","-11.128","","-7.750"
"Calgary Int'L CS","01-March-2012 12:00","0.000","-7.140","-7.030","-7.750","75.300","","","","","","0.000","","383.614","","","6.260","-10.998","","-7.140"
