"Station Name","Date (Local Standard Time)","Precip. (mm)","Air Temp. Inst. (°C)","Air Temp. Max. (°C)","Air Temp. Min. (°C)","Humidity Inst. (%)","Humidity Ave. (%)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (°)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (°)","Precip. Accumulated (mm)","Air Temp. Ave. (°C)","Incoming Solar Rad. (W/m2)","Peak Wind Speed 10 m (km/h)","Wind Dir. Peak 10 m (°)","Snow Depth (cm)","Est. Dew Point Temp. (°C)","Wind Chill (°C)","Humidex (°C)"
"Calgary Int'L CS","01-November-2012 00:00","0.000","-3.304","-3.304","-3.701","99.000","","","","","","0.000","","0.000","","","25.100","-3.637","","-3.304"
"Calgary Int'L CS","01-November-2012 01:00","0.000","-2.951","-2.944","-3.303","99.200","","","","","","0.000","","0.000","","","26.720","-3.231","","-2.951"
"Calgary Int'L CS","01-November-2012 02:00","0.000","-2.662","-2.662","-2.956","99.400","","","","","","0.000","","0.000","","","28.340","-2.890","","-2.662"
"Calgary Int'L CS","01-November-2012 03:00","0.000","-2.424","-2.424","-2.684","99.500","","","","","","0.000","","0.000","","","20.200","-2.621","","-2.424"
"Calgary Int'L CS","01-November-2012 04:00","0.000","-2.212","-2.200","-2.424","99.700","","","","","","0.000","","0.000","","","21.270","-2.353","","-2.212"
"Calgary Int'L CS","01-November-2012 05:00","0.000","-2.158","-2.129","-2.212","99.800","","","","","","0.000","","0.000","","","19.660","-2.198","","-2.158"
"Calgary Int'L CS","01-November-2012 06:00","0.000","-2.094","-2.058","-2.157","99.800","","","","","","0.000","","0.000","","","17.760","-2.135","","-2.094"
"Calgary Int'L CS","01-November-2012 07:00","0.000","-2.041","-2.041","-2.120","99.800","","","","","","0.000","","0.000","","","18.350","-2.108","","-2.041"
"Calgary Int'L CS","01-November-2012 08:00","0.000","-2.197","-2.035","-2.197","99.800","","","","","","0.000","","2.778","","","18.160","-2.143","","-2.197"
"Calgary Int'L CS","01-November-2012 09:00","0.000","-2.117","-2.097","-2.251","100.000","","","","","","0.000","","35.834","","","17.860","-2.174","","-2.117"
"Calgary Int'L CS","01-November-2012 10:00","0.000","-1.766","-1.709","-2.115","97.350","","","","","","0.000","","105.556","","","16.790","-2.275","","-1.766"
"Calgary Int'L CS","01-November-2012 11:00","0.000","-1.935","-1.711","-1.976","92.200","","","","","","0.000","","141.668","","","16.490","-2.939","","-1.935"
"Calgary Int'L CS","01-November-2012 12:00","0.000","-1.646","-1.620","-2.049","93.380","","","","","","0.000","","162.779","","","16.510","-2.759","","-1.646"
"Calgary Int'L CS","01-November-2012 13:00","0.000","-1.624","-1.598","-1.788","95.540","","","","","","0.000","","150.279","","","15.460","-2.310","","-1.624"
"Calgary Int'L CS","01-November-2012 14:00","0.000","-1.700","-1.400","-1.741","100.000","","","","","","0.000","","153.612","","","15.510","-1.571","","-1.700"
"Calgary Int'L CS","01-November-2012 15:00","0.200","-1.784","-1.639","-1.860","100.000","","","","","","0.200","","90.278","","","14.540","-1.750","","-1.784"
