"Station Name","Date (Local Standard Time)","Precip. (mm)","Air Temp. Inst. (°C)","Air Temp. Max. (°C)","Air Temp. Min. (°C)","Humidity Inst. (%)","Humidity Ave. (%)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (°)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (°)","Precip. Accumulated (mm)","Air Temp. Ave. (°C)","Incoming Solar Rad. (W/m2)","Peak Wind Speed 10 m (km/h)","Wind Dir. Peak 10 m (°)","Snow Depth (cm)","Est. Dew Point Temp. (°C)","Wind Chill (°C)","Humidex (°C)"
"Calgary Int'L CS","01-July-2017 00:00","0.000","15.320","16.470","14.960","70.050","","0.529","217.100","1.710","174.000","0.000","15.700","0.000","9.738","112.600","-0.407","10.266","15.320","16.532"
"Calgary Int'L CS","01-July-2017 01:00","0.000","14.590","15.560","14.340","72.540","","1.746","35.380","1.256","349.700","0.000","14.990","0.000","4.518","352.400","-0.365","10.055","14.590","15.721"
"Calgary Int'L CS","01-July-2017 02:00","0.000","13.430","14.790","12.900","79.440","","2.236","241.700","2.549","359.100","0.000","13.870","0.000","9.598","164.800","-0.285","10.347","13.430","14.667"
"Calgary Int'L CS","01-July-2017 03:00","0.000","15.050","15.430","13.260","64.990","","7.744","148.600","5.908","137.200","0.000","14.470","0.000","9.245","149.700","-0.430","7.848","15.050","15.665"
"Calgary Int'L CS","01-July-2017 04:00","0.000","12.310","15.010","12.310","71.500","","4.619","163.900","6.516","145.600","0.000","13.930","0.050","11.502","154.200","-0.417","8.601","12.310","12.436"
"Calgary Int'L CS","01-July-2017 05:00","0.000","12.190","12.920","11.420","73.820","","0.328","106.300","2.776","122.400","0.000","12.410","7.222","8.608","163.200","-0.158","7.637","12.190","12.455"
"Calgary Int'L CS","01-July-2017 06:00","0.000","14.850","14.850","12.160","74.080","","2.596","245.300","2.531","178.700","0.000","13.210","71.944","5.998","227.300","-0.191","8.976","14.850","16.238"
"Calgary Int'L CS","01-July-2017 07:00","0.000","17.420","17.420","14.850","58.180","","7.578","203.500","6.847","219.000","0.000","15.660","143.611","12.067","189.500","0.316","7.909","17.420","18.288"
"Calgary Int'L CS","01-July-2017 08:00","0.000","19.990","19.990","17.420","48.410","","14.591","196.500","13.126","200.800","0.000","18.700","391.389","21.946","210.000","0.445","7.590","19.990","20.710"
"Calgary Int'L CS","01-July-2017 09:00","0.000","20.880","21.230","19.670","46.560","","15.523","189.600","15.124","188.300","0.000","20.550","507.500","23.569","170.500","-0.043","8.610","20.880","21.700"
"Calgary Int'L CS","01-July-2017 10:00","0.000","22.730","23.650","20.600","39.780","","17.118","171.900","14.224","185.900","0.000","21.730","611.944","25.967","171.800","0.038","7.801","22.730","23.272"
"Calgary Int'L CS","01-July-2017 11:00","0.000","23.180","24.020","22.440","42.950","","18.392","144.100","18.608","157.900","0.000","23.100","719.444","30.060","186.200","0.712","9.928","23.180","24.389"
"Calgary Int'L CS","01-July-2017 12:00","0.000","22.650","23.880","22.270","45.510","","17.215","141.900","17.338","141.600","0.000","23.120","664.444","27.025","132.700","0.668","10.655","22.650","24.037"
"Calgary Int'L CS","01-July-2017 13:00","0.000","24.190","25.380","22.630","45.300","","20.768","146.900","17.190","144.000","0.000","23.930","717.500","30.276","170.400","0.008","11.428","24.190","26.216"
"Calgary Int'L CS","01-July-2017 14:00","0.000","23.200","25.550","22.950","49.040","","18.475","134.600","19.033","136.400","0.000","23.630","396.111","32.796","136.200","0.849","12.858","23.200","25.378"
"Calgary Int'L CS","01-July-2017 15:00","0.000","24.350","24.720","23.050","45.010","","18.166","133.500","19.516","135.700","0.000","23.610","313.333","29.628","147.600","0.084","11.223","24.350","26.400"
"Calgary Int'L CS","01-July-2017 16:00","0.000","18.450","26.840","18.290","63.250","","36.072","337.200","23.382","124.700","0.000","23.610","330.278","51.732","339.100","0.215","15.220","18.450","20.345"
"Calgary Int'L CS","01-July-2017 17:00","0.700","14.280","18.450","14.280","81.700","","12.503","302.200","26.906","340.800","0.700","15.900","34.167","46.908","349.500","0.541","13.226","14.280","16.106"
"Calgary Int'L CS","01-July-2017 18:00","0.800","15.360","15.390","14.230","82.800","","23.778","17.810","23.724","1.419","1.500","14.930","23.889","37.332","358.000","1.126","11.912","15.360","17.824"
"Calgary Int'L CS","01-July-2017 19:00","0.000","15.660","16.700","15.320","84.500","","22.655","326.200","23.663","350.700","1.500","15.900","36.667","43.236","51.370","1.367","13.396","15.660","18.447"
"Calgary Int'L CS","01-July-2017 20:00","1.100","16.290","16.370","14.670","71.150","","18.878","59.330","24.001","347.000","2.600","15.720","27.778","41.004","309.800","-0.170","10.313","16.290","18.047"
"Calgary Int'L CS","01-July-2017 21:00","0.000","15.660","18.200","15.620","79.510","","16.679","251.200","17.572","279.800","2.600","16.700","23.889","31.680","79.750","0.436","13.340","15.660","17.955"
"Calgary Int'L CS","01-July-2017 22:00","0.000","15.030","15.720","13.670","85.100","","11.563","232.200","7.276","223.200","2.600","14.750","0.000","20.534","257.200","-0.035","12.216","15.030","17.544"
"Calgary Int'L CS","01-July-2017 23:00","0.000","14.830","15.450","14.670","79.080","","9.137","207.000","8.759","212.600","2.600","15.040","0.000","16.934","222.900","-0.051","11.459","14.830","16.677"
"Calgary Int'L CS","02-July-2017 00:00","0.000","14.410","15.050","13.570","85.600","","10.080","59.900","8.662","132.100","2.600","14.360","0.000","16.016","104.700","-0.080","11.927","14.410","16.654"
"Calgary Int'L CS","02-July-2017 01:00","0.000","12.630","14.770","12.080","90.400","","9.454","51.700","6.908","93.500","2.600","13.480","0.000","26.039","303.900","-0.184","11.884","12.630","14.411"
"Calgary Int'L CS","02-July-2017 02:00","0.000","11.950","13.140","11.920","91.600","","7.675","28.600","9.259","12.630","2.600","12.630","0.000","24.980","311.000","-0.135","11.199","11.950","13.503"
"Calgary Int'L CS","02-July-2017 03:00","0.000","10.900","12.020","10.900","93.500","","11.185","314.500","9.288","322.500","2.600","11.340","0.000","16.794","307.600","-0.162","10.448","10.900","12.114"
"Calgary Int'L CS","02-July-2017 04:00","0.000","10.310","10.910","9.650","95.300","","4.601","278.000","5.058","304.600","2.600","10.480","0.030","12.982","326.000","-0.247","9.561","10.310","11.388"
"Calgary Int'L CS","02-July-2017 05:00","0.000","10.660","10.710","9.740","95.500","","6.242","303.700","8.233","304.600","2.600","10.300","5.000","12.067","315.400","-0.216","9.537","10.660","11.909"
"Calgary Int'L CS","02-July-2017 06:00","0.000","13.740","13.800","10.620","86.800","","5.364","276.400","7.553","295.300","2.600","12.520","94.722","14.112","299.300","-0.084","10.075","13.740","15.757"
"Calgary Int'L CS","02-July-2017 07:00","0.000","16.030","16.130","13.710","75.890","","3.445","325.000","1.843","299.500","2.600","15.220","231.944","5.998","318.100","0.300","10.703","16.030","18.147"
"Calgary Int'L CS","02-July-2017 08:00","0.000","18.200","18.280","16.040","63.520","","3.496","296.300","4.054","302.000","2.600","17.250","391.944","7.974","290.200","0.400","10.176","18.200","20.010"
"Calgary Int'L CS","02-July-2017 09:00","0.000","20.180","20.260","18.200","58.500","","4.946","237.800","3.506","293.200","2.600","19.260","551.389","8.042","220.400","0.268","10.888","20.180","22.297"
"Calgary Int'L CS","02-July-2017 10:00","0.000","22.460","22.470","20.040","47.290","","2.995","0.533","3.352","297.800","2.600","21.260","692.778","8.608","263.900","0.140","9.574","22.460","24.036"
"Calgary Int'L CS","02-July-2017 11:00","0.000","24.720","25.010","22.320","37.510","","5.857","162.800","3.863","328.400","2.600","23.500","804.444","12.701","117.600","0.956","8.307","24.720","25.644"
"Calgary Int'L CS","02-July-2017 12:00","0.000","25.710","25.950","24.270","24.170","","5.702","130.700","5.832","81.500","2.600","24.970","893.889","12.276","51.810","0.336","3.208","25.710","25.710"
"Calgary Int'L CS","02-July-2017 13:00","0.000","25.950","26.860","24.790","30.910","","12.542","114.900","10.465","63.410","2.600","25.740","898.611","23.638","112.300","0.375","7.355","25.950","26.138"
"Calgary Int'L CS","02-July-2017 14:00","0.000","26.590","27.560","25.330","26.330","","13.788","95.900","12.172","101.100","2.600","26.430","832.778","24.343","117.100","0.003","5.557","26.590","26.590"
"Calgary Int'L CS","02-July-2017 15:00","0.000","27.100","27.930","25.740","27.880","","15.890","158.800","15.005","115.400","2.600","26.800","785.278","32.400","184.500","-0.112","6.718","27.100","27.100"
"Calgary Int'L CS","02-July-2017 16:00","0.000","27.230","28.040","26.160","28.560","","21.899","119.000","18.007","126.000","2.600","27.050","692.500","28.944","123.900","-0.148","7.296","27.230","27.396"
"Calgary Int'L CS","02-July-2017 17:00","0.000","26.350","27.380","26.300","31.600","","21.420","127.700","20.304","127.800","2.600","26.880","589.167","32.940","132.800","-0.031","8.558","26.350","26.807"
"Calgary Int'L CS","02-July-2017 18:00","0.000","26.240","26.910","26.020","32.050","","20.275","123.500","20.740","129.400","2.600","26.440","433.889","32.400","119.000","-0.346","8.442","26.240","26.743"
"Calgary Int'L CS","02-July-2017 19:00","0.000","25.280","26.340","25.280","31.110","","17.431","123.500","21.679","120.300","2.600","25.710","273.889","33.588","113.600","0.043","7.436","25.280","25.281"
"Calgary Int'L CS","02-July-2017 20:00","0.000","23.740","25.280","23.730","41.180","","17.334","128.100","19.303","127.200","2.600","24.500","121.667","29.124","123.100","-0.190","10.443","23.740","24.893"
