"Station Name","Date (Local Standard Time)","Precip. (mm)","Air Temp. Inst. (°C)","Air Temp. Max. (°C)","Air Temp. Min. (°C)","Humidity Inst. (%)","Humidity Ave. (%)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (°)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (°)","Precip. Accumulated (mm)","Air Temp. Ave. (°C)","Incoming Solar Rad. (W/m2)","Peak Wind Speed 10 m (km/h)","Wind Dir. Peak 10 m (°)","Snow Depth (cm)","Est. Dew Point Temp. (°C)","Wind Chill (°C)","Humidex (°C)"
"Calgary Int'L CS","01-September-2016 00:00","0.000","16.870","16.990","14.830","50.820","","13.104","207.400","12.067","210.300","0.000","15.850","0.000","18.630","208.600","","5.730","16.870","16.870"
"Calgary Int'L CS","01-September-2016 01:00","0.000","14.080","16.920","14.080","61.470","","0.781","266.600","6.912","197.000","0.000","15.220","0.000","16.441","210.500","","8.122","14.080","14.080"
"Calgary Int'L CS","01-September-2016 02:00","0.000","14.480","15.450","13.350","59.940","","1.735","177.100","4.687","201.700","0.000","14.480","0.000","11.923","213.100","","6.717","14.480","14.480"
"Calgary Int'L CS","01-September-2016 03:00","0.000","13.360","15.480","13.220","69.720","","12.064","157.300","10.058","185.400","0.000","14.210","0.000","21.946","160.400","","8.889","13.360","13.739"
"Calgary Int'L CS","01-September-2016 04:00","0.000","10.430","13.490","10.430","79.400","","8.431","164.000","9.778","168.300","0.000","11.880","0.000","19.264","143.700","","8.506","10.430","10.446"
"Calgary Int'L CS","01-September-2016 05:00","0.000","14.360","14.550","10.240","59.560","","16.625","186.300","14.947","177.200","0.000","12.180","0.000","22.367","193.500","","4.741","14.360","14.360"
"Calgary Int'L CS","01-September-2016 06:00","0.000","13.180","14.520","13.180","63.250","","13.820","179.600","15.746","171.000","0.000","13.930","2.000","24.768","173.800","","6.982","13.180","13.180"
"Calgary Int'L CS","01-September-2016 07:00","0.000","15.790","15.800","12.620","52.030","","11.930","181.600","10.472","201.400","0.000","13.340","33.640","15.102","181.000","","4.499","15.790","15.790"
"Calgary Int'L CS","01-September-2016 08:00","0.000","17.690","17.710","15.790","40.990","","18.731","204.400","15.973","193.300","0.000","16.730","135.140","26.460","213.600","","3.421","17.690","17.690"
"Calgary Int'L CS","01-September-2016 09:00","0.000","18.890","18.900","17.500","41.890","","15.174","214.000","15.865","202.300","0.000","18.220","244.120","24.275","220.100","","5.034","18.890","18.890"
"Calgary Int'L CS","01-September-2016 10:00","0.000","21.670","21.670","18.660","37.260","","14.476","238.200","15.534","231.600","0.000","19.940","389.060","23.778","222.500","","5.107","21.670","21.670"
"Calgary Int'L CS","01-September-2016 11:00","0.000","24.260","24.320","21.700","25.820","","17.046","216.500","17.287","219.100","0.000","23.300","557.490","26.672","203.800","","2.366","24.260","24.260"
"Calgary Int'L CS","01-September-2016 12:00","0.000","24.830","25.550","22.970","22.390","","10.814","207.500","15.606","232.200","0.000","24.200","628.620","27.659","210.100","","1.424","24.830","24.830"
"Calgary Int'L CS","01-September-2016 13:00","0.000","24.730","25.270","23.940","19.810","","20.423","207.500","16.139","212.400","0.000","24.790","524.900","31.392","216.600","","0.014","24.730","24.730"
"Calgary Int'L CS","01-September-2016 14:00","0.000","25.610","26.050","24.220","18.300","","9.083","222.600","12.092","230.400","0.000","24.990","506.840","24.836","203.900","","-0.641","25.610","25.610"
"Calgary Int'L CS","01-September-2016 15:00","0.000","23.460","25.610","22.970","30.970","","15.466","48.250","15.163","50.710","0.000","24.220","531.540","28.156","45.550","","6.055","23.460","23.460"
"Calgary Int'L CS","01-September-2016 16:00","0.000","24.600","25.080","23.470","30.230","","20.246","62.000","17.593","54.740","0.000","24.410","418.600","32.256","61.340","","5.693","24.600","24.600"
"Calgary Int'L CS","01-September-2016 17:00","0.000","22.880","24.850","22.870","38.200","","22.277","63.870","23.112","62.210","0.000","23.810","288.860","33.012","64.820","","8.749","22.880","23.233"
"Calgary Int'L CS","01-September-2016 18:00","0.000","21.790","22.970","21.790","45.720","","23.306","69.670","23.551","63.340","0.000","22.430","132.180","34.776","73.340","","10.093","21.790","22.854"
"Calgary Int'L CS","01-September-2016 19:00","0.000","18.810","21.790","18.810","62.480","","20.966","78.090","26.363","75.250","0.000","20.170","124.450","39.384","67.610","","12.893","18.810","20.781"
"Calgary Int'L CS","01-September-2016 20:00","0.000","17.080","18.820","17.080","67.170","","18.216","67.650","22.842","71.010","0.000","17.980","6.860","34.776","70.680","","11.768","17.080","18.783"
