"Station Name","Date (Local Standard Time)","Precip. (mm)","Air Temp. Inst. (°C)","Air Temp. Max. (°C)","Air Temp. Min. (°C)","Humidity Inst. (%)","Humidity Ave. (%)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (°)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (°)","Precip. Accumulated (mm)","Air Temp. Ave. (°C)","Incoming Solar Rad. (W/m2)","Peak Wind Speed 10 m (km/h)","Wind Dir. Peak 10 m (°)","Snow Depth (cm)","Est. Dew Point Temp. (°C)","Wind Chill (°C)","Humidex (°C)"
"Calgary Int'L CS","01-March-2013 00:00","0.000","0.924","1.505","0.924","64.780","","","","","","0.000","","0.000","","","8.770","-4.674","","0.924"
"Calgary Int'L CS","01-March-2013 01:00","0.000","1.826","2.088","0.913","55.100","","","","","","0.000","","0.000","","","8.630","-6.528","","1.826"
"Calgary Int'L CS","01-March-2013 02:00","0.000","1.204","1.817","1.078","57.690","","","","","","0.000","","0.000","","","8.590","-5.978","","1.204"
"Calgary Int'L CS","01-March-2013 03:00","0.000","2.145","2.237","0.868","52.060","","","","","","0.000","","0.000","","","7.220","-7.216","","2.145"
"Calgary Int'L CS","01-March-2013 04:00","0.000","1.167","2.140","0.664","56.190","","","","","","0.000","","0.000","","","6.200","-6.365","","1.167"
"Calgary Int'L CS","01-March-2013 05:00","0.000","0.310","1.329","0.310","58.460","","","","","","0.000","","0.000","","","6.247","-6.395","","0.310"
"Calgary Int'L CS","01-March-2013 06:00","0.000","-0.202","1.026","-0.202","59.690","","","","","","0.000","","0.000","","","6.276","-6.508","","-0.202"
"Calgary Int'L CS","01-March-2013 07:00","0.000","-1.321","0.407","-1.777","68.520","","","","","","0.000","","0.060","","","6.327","-5.748","","-1.321"
"Calgary Int'L CS","01-March-2013 08:00","0.000","-0.932","0.332","-1.823","70.500","","","","","","0.000","","22.222","","","7.040","-5.432","","-0.932"
"Calgary Int'L CS","01-March-2013 09:00","0.000","3.004","3.028","-0.924","61.220","","","","","","0.000","","169.446","","","8.560","-5.573","","3.004"
"Calgary Int'L CS","01-March-2013 10:00","0.000","7.900","7.900","2.973","45.830","","","","","","0.000","","292.502","","","8.170","-5.303","","7.900"
"Calgary Int'L CS","01-March-2013 11:00","0.000","9.730","9.730","7.770","39.630","","","","","","0.000","","379.170","","","8.840","-4.224","","9.730"
"Calgary Int'L CS","01-March-2013 12:00","0.000","9.450","10.960","9.370","46.530","","","","","","0.000","","468.337","","","8.780","-0.780","","9.450"
"Calgary Int'L CS","01-March-2013 13:00","0.000","9.430","9.720","8.810","41.270","","","","","","0.000","","496.671","","","8.750","-3.220","","9.430"
"Calgary Int'L CS","01-March-2013 14:00","0.000","7.490","9.470","7.410","50.440","","","","","","0.000","","439.170","","","8.500","-1.262","","7.490"
"Calgary Int'L CS","01-March-2013 15:00","0.000","6.933","7.560","6.677","48.690","","","","","","0.000","","427.781","","","8.830","-2.957","","6.933"
"Calgary Int'L CS","01-March-2013 16:00","0.000","5.996","7.350","5.996","49.440","","","","","","0.000","","351.669","","","7.900","-3.162","","5.996"
"Calgary Int'L CS","01-March-2013 17:00","0.000","5.741","6.257","5.741","50.600","","","","","","0.000","","221.113","","","4.905","-3.473","","5.741"
"Calgary Int'L CS","01-March-2013 18:00","0.000","1.824","5.737","1.823","74.000","","","","","","0.000","","58.334","","","7.460","-0.423","","1.824"
"Calgary Int'L CS","01-March-2013 19:00","0.000","-0.560","1.822","-0.560","81.900","","","","","","0.000","","0.000","","","5.239","-2.100","","-0.560"
"Calgary Int'L CS","01-March-2013 20:00","0.000","-0.823","-0.528","-1.418","82.000","","","","","","0.000","","0.000","","","5.406","-3.651","","-0.823"
"Calgary Int'L CS","01-March-2013 21:00","0.000","-1.500","-0.794","-1.690","84.300","","","","","","0.000","","0.000","","","5.915","-3.546","","-1.500"
"Calgary Int'L CS","01-March-2013 22:00","0.000","-2.078","-1.423","-2.312","88.000","","","","","","0.000","","0.000","","","8.280","-3.587","","-2.078"
"Calgary Int'L CS","01-March-2013 23:00","0.000","-1.449","-1.427","-2.204","98.100","","","","","","0.000","","0.000","","","9.090","-2.075","","-1.449"
"Calgary Int'L CS","02-March-2013 00:00","0.000","-1.686","-1.423","-1.724","99.100","","","","","","0.000","","0.000","","","8.650","-1.696","","-1.686"
"Calgary Int'L CS","02-March-2013 01:00","0.000","-2.011","-1.667","-2.014","99.200","","","","","","0.000","","0.000","","","8.600","-1.949","","-2.011"
"Calgary Int'L CS","02-March-2013 02:00","0.000","-2.132","-1.998","-2.132","99.500","","","","","","0.000","","0.000","","","8.590","-2.133","","-2.132"
"Calgary Int'L CS","02-March-2013 03:00","0.000","-2.254","-2.134","-2.364","99.800","","","","","","0.000","","0.000","","","8.810","-2.276","","-2.254"
"Calgary Int'L CS","02-March-2013 04:00","0.000","-3.062","-2.247","-3.071","99.900","","","","","","0.000","","0.000","","","8.730","-2.672","","-3.062"
"Calgary Int'L CS","02-March-2013 05:00","0.000","-3.057","-3.000","-3.319","99.900","","","","","","0.000","","0.000","","","8.670","-3.173","","-3.057"
"Calgary Int'L CS","02-March-2013 06:00","0.000","-3.153","-2.912","-3.153","99.900","","","","","","0.000","","0.000","","","8.700","-3.046","","-3.153"
"Calgary Int'L CS","02-March-2013 07:00","0.000","-4.138","-3.095","-4.138","99.900","","","","","","0.000","","0.040","","","8.620","-3.630","","-4.138"
"Calgary Int'L CS","02-March-2013 08:00","0.000","-4.755","-4.143","-4.873","98.400","","","","","","0.000","","11.667","","","8.900","-4.721","","-4.755"
"Calgary Int'L CS","02-March-2013 09:00","0.000","-3.022","-3.009","-4.753","99.200","","","","","","0.000","","63.334","","","9.020","-3.988","","-3.022"
"Calgary Int'L CS","02-March-2013 10:00","0.000","-1.732","-1.715","-3.077","99.600","","","","","","0.000","","93.612","","","8.280","-2.450","","-1.732"
"Calgary Int'L CS","02-March-2013 11:00","0.000","-1.459","-1.448","-1.885","99.600","","","","","","0.000","","121.668","","","8.150","-1.721","","-1.459"
"Calgary Int'L CS","02-March-2013 12:00","0.000","-1.365","-1.042","-1.464","99.100","","","","","","0.000","","184.446","","","7.760","-1.376","","-1.365"
"Calgary Int'L CS","02-March-2013 13:00","0.000","-1.145","-1.145","-1.707","98.200","","","","","","0.000","","215.557","","","4.005","-1.673","","-1.145"
"Calgary Int'L CS","02-March-2013 14:00","0.000","-0.351","-0.351","-1.229","90.500","","","","","","0.000","","302.502","","","6.729","-2.147","","-0.351"
"Calgary Int'L CS","02-March-2013 15:00","0.000","0.744","0.812","-0.349","82.600","","","","","","0.000","","375.559","","","8.210","-2.376","","0.744"
"Calgary Int'L CS","02-March-2013 16:00","0.000","0.620","1.063","0.620","82.900","","","","","","0.000","","284.447","","","8.320","-1.730","","0.620"
"Calgary Int'L CS","02-March-2013 17:00","0.000","-0.626","0.626","-0.626","89.800","","","","","","0.000","","171.668","","","6.806","-1.472","","-0.626"
"Calgary Int'L CS","02-March-2013 18:00","0.000","-1.864","-0.629","-1.864","94.600","","","","","","0.000","","48.334","","","3.589","-2.000","","-1.864"
"Calgary Int'L CS","02-March-2013 19:00","0.000","-2.424","-1.866","-2.424","96.500","","","","","","0.000","","0.278","","","6.555","-2.626","","-2.424"
"Calgary Int'L CS","02-March-2013 20:00","0.000","-2.760","-2.423","-2.760","98.200","","","","","","0.000","","0.000","","","5.224","-2.836","","-2.760"
"Calgary Int'L CS","02-March-2013 21:00","0.000","-3.920","-2.761","-3.920","98.900","","","","","","0.000","","0.000","","","7.230","-3.488","","-3.920"
"Calgary Int'L CS","02-March-2013 22:00","0.000","-4.918","-3.920","-4.921","99.300","","","","","","0.000","","0.000","","","7.750","-4.514","","-4.918"
"Calgary Int'L CS","02-March-2013 23:00","0.000","-4.945","-4.690","-5.000","99.100","","","","","","0.000","","0.000","","","7.710","-4.964","","-4.945"
"Calgary Int'L CS","03-March-2013 00:00","0.000","-4.695","-4.670","-5.033","99.000","","","","","","0.000","","0.000","","","7.950","-4.984","","-4.695"
"Calgary Int'L CS","03-March-2013 01:00","0.000","-4.398","-4.367","-4.734","99.000","","","","","","0.000","","0.000","","","6.741","-4.684","","-4.398"
"Calgary Int'L CS","03-March-2013 02:00","0.000","-4.293","-4.216","-4.509","99.100","","","","","","0.000","","0.000","","","8.070","-4.482","","-4.293"
"Calgary Int'L CS","03-March-2013 03:00","0.000","-4.285","-4.242","-4.497","99.000","","","","","","0.000","","0.000","","","7.880","-4.503","","-4.285"
"Calgary Int'L CS","03-March-2013 04:00","0.000","-4.443","-4.152","-4.465","98.800","","","","","","0.000","","0.000","","","7.080","-4.469","","-4.443"
"Calgary Int'L CS","03-March-2013 05:00","0.000","-4.522","-4.175","-4.580","98.700","","","","","","0.000","","0.000","","","8.450","-4.551","","-4.522"
"Calgary Int'L CS","03-March-2013 06:00","0.000","-4.382","-4.346","-4.654","98.600","","","","","","0.000","","0.000","","","8.810","-4.687","","-4.382"
"Calgary Int'L CS","03-March-2013 07:00","0.000","-4.756","-4.365","-4.815","98.200","","","","","","0.000","","0.010","","","9.050","-4.830","","-4.756"
"Calgary Int'L CS","03-March-2013 08:00","0.900","-5.040","-4.720","-5.170","97.800","","","","","","0.900","","1.667","","","9.160","-5.238","","-5.040"
"Calgary Int'L CS","03-March-2013 09:00","1.200","-5.320","-5.041","-5.409","97.500","","","","","","2.100","","25.556","","","9.070","-5.558","","-5.320"
"Calgary Int'L CS","03-March-2013 10:00","0.300","-4.688","-4.681","-5.378","97.800","","","","","","2.400","","71.667","","","8.960","-5.322","","-4.688"
"Calgary Int'L CS","03-March-2013 11:00","1.000","-4.110","-4.108","-4.693","98.300","","","","","","3.400","","104.167","","","11.350","-4.628","","-4.110"
"Calgary Int'L CS","03-March-2013 12:00","0.200","-4.029","-4.002","-4.113","98.400","","","","","","3.600","","201.946","","","11.050","-4.272","","-4.029"
