"Station Name","Date (Local Standard Time)","Precip. (mm)","Air Temp. Inst. (°C)","Air Temp. Max. (°C)","Air Temp. Min. (°C)","Humidity Inst. (%)","Humidity Ave. (%)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (°)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (°)","Precip. Accumulated (mm)","Air Temp. Ave. (°C)","Incoming Solar Rad. (W/m2)","Peak Wind Speed 10 m (km/h)","Wind Dir. Peak 10 m (°)","Snow Depth (cm)","Est. Dew Point Temp. (°C)","Wind Chill (°C)","Humidex (°C)"
"Calgary Int'L CS","01-March-2017 00:00","0.000","-10.620","-10.120","-11.100","79.670","","8.737","209.700","7.805","205.700","0.000","-10.400","0.000","12.208","229.900","4.246","-13.430","-15.520","-10.620"
"Calgary Int'L CS","01-March-2017 01:00","0.000","-9.950","-9.420","-11.090","74.940","","15.574","223.900","10.940","210.400","0.000","-10.110","0.000","18.065","227.500","4.259","-13.833","-16.827","-9.950"
"Calgary Int'L CS","01-March-2017 02:00","0.000","-10.440","-9.960","-10.530","78.090","","2.268","159.800","8.500","211.200","0.000","-10.180","0.000","16.160","213.500","4.124","-13.320","-11.798","-10.440"
"Calgary Int'L CS","01-March-2017 03:00","0.000","-12.050","-10.310","-12.110","80.700","","1.292","271.000","4.759","198.700","0.000","-11.320","0.000","11.218","182.700","3.940","-13.858","-12.880","-12.050"
"Calgary Int'L CS","01-March-2017 04:00","0.000","-11.980","-11.650","-13.090","83.000","","1.267","176.400","2.833","232.400","0.000","-12.250","0.000","7.409","265.400","4.074","-14.651","-12.791","-11.980"
"Calgary Int'L CS","01-March-2017 05:00","0.000","-12.410","-11.500","-13.200","82.600","","2.891","222.500","1.926","187.700","0.000","-12.190","0.000","5.576","234.900","4.045","-14.690","-14.294","-12.410"
"Calgary Int'L CS","01-March-2017 06:00","0.000","-11.670","-11.600","-13.030","78.830","","7.200","223.400","4.705","207.800","0.000","-12.390","0.000","10.019","223.100","4.273","-15.221","-16.072","-11.670"
"Calgary Int'L CS","01-March-2017 07:00","0.000","-9.310","-9.210","-11.760","65.530","","10.210","211.900","9.119","223.400","0.000","-10.170","0.020","12.982","214.000","4.164","-15.679","-14.509","-9.310"
"Calgary Int'L CS","01-March-2017 08:00","0.000","-6.143","-6.018","-9.460","54.560","","6.790","265.500","7.240","236.500","0.000","-8.140","10.556","13.054","212.200","4.178","-15.288","-9.455","-6.143"
"Calgary Int'L CS","01-March-2017 09:00","0.000","-4.810","-3.853","-6.140","55.740","","14.321","332.700","16.405","292.500","0.000","-4.924","72.222","34.488","301.800","4.252","-12.459","-10.196","-4.810"
"Calgary Int'L CS","01-March-2017 10:00","0.000","-2.434","-2.434","-4.891","45.750","","18.378","310.900","16.006","319.400","0.000","-3.721","178.611","28.084","299.600","4.289","-13.651","-8.046","-2.434"
"Calgary Int'L CS","01-March-2017 11:00","0.000","-1.549","-1.455","-2.431","41.850","","19.980","319.200","20.786","317.200","0.000","-1.813","349.167","31.680","312.800","4.298","-13.175","-7.194","-1.549"
"Calgary Int'L CS","01-March-2017 12:00","0.000","-0.444","-0.311","-1.702","32.300","","15.325","317.200","17.330","308.900","0.000","-0.973","496.389","25.895","310.800","4.294","-15.486","-5.025","-0.444"
"Calgary Int'L CS","01-March-2017 13:00","0.000","-0.372","0.463","-0.483","34.210","","15.152","25.570","13.118","341.500","0.000","-0.017","547.500","21.308","27.920","3.887","-13.909","-4.904","-0.372"
"Calgary Int'L CS","01-March-2017 14:00","0.000","-2.041","-0.390","-2.041","49.730","","28.112","24.650","22.655","30.310","0.000","-1.357","175.556","38.520","23.070","3.766","-10.364","-8.919","-2.041"
"Calgary Int'L CS","01-March-2017 15:00","0.000","-2.931","-2.056","-3.024","58.440","","26.388","19.540","25.168","26.920","0.000","-2.634","185.833","33.372","15.770","3.395","-9.560","-9.858","-2.931"
"Calgary Int'L CS","01-March-2017 16:00","0.000","-3.383","-2.655","-3.383","55.830","","19.940","16.840","24.336","16.270","0.000","-3.064","218.889","33.516","19.110","3.418","-10.587","-9.501","-3.383"
"Calgary Int'L CS","01-March-2017 17:00","0.000","-4.116","-3.342","-4.153","69.300","","20.646","10.970","22.442","11.430","0.000","-3.750","84.722","33.516","12.480","3.572","-8.537","-10.543","-4.116"
"Calgary Int'L CS","01-March-2017 18:00","0.000","-5.935","-3.889","-5.935","88.100","","18.050","22.080","19.469","15.590","0.000","-4.723","58.889","28.084","15.340","3.493","-6.573","-12.370","-5.935"
"Calgary Int'L CS","01-March-2017 19:00","0.000","-8.550","-5.939","-8.670","88.400","","6.836","0.938","11.038","23.600","0.000","-7.082","0.000","18.486","28.410","3.334","-8.888","-12.269","-8.550"
"Calgary Int'L CS","01-March-2017 20:00","0.000","-9.150","-7.853","-9.490","88.700","","3.146","11.260","7.823","15.460","0.000","-8.450","0.000","12.982","19.570","2.929","-10.194","-10.925","-9.150"
"Calgary Int'L CS","01-March-2017 21:00","0.000","-8.880","-8.880","-11.230","92.100","","6.664","235.900","5.440","226.200","0.000","-9.830","0.000","8.114","222.800","3.240","-11.089","-12.570","-8.880"
"Calgary Int'L CS","01-March-2017 22:00","0.000","-8.270","-8.270","-9.210","88.800","","6.768","220.800","6.404","217.800","0.000","-8.660","0.000","8.820","234.300","3.294","-10.247","-11.912","-8.270"
"Calgary Int'L CS","01-March-2017 23:00","0.000","-8.910","-8.150","-9.090","84.600","","5.969","225.400","6.026","215.800","0.000","-8.640","0.000","7.974","229.200","3.256","-10.738","-12.252","-8.910"
"Calgary Int'L CS","02-March-2017 00:00","0.000","-10.150","-8.920","-10.220","86.900","","8.636","213.300","6.898","210.100","0.000","-9.690","0.000","10.937","209.700","3.052","-11.336","-14.924","-10.150"
"Calgary Int'L CS","02-March-2017 01:00","0.000","-8.930","-8.630","-10.400","83.000","","14.242","208.100","11.948","210.500","0.000","-9.490","0.000","17.572","198.200","3.346","-11.854","-15.237","-8.930"
"Calgary Int'L CS","02-March-2017 02:00","0.000","-8.310","-8.210","-8.930","82.200","","19.879","205.700","17.507","208.300","0.000","-8.490","0.000","25.754","197.100","3.460","-11.050","-15.705","-8.310"
"Calgary Int'L CS","02-March-2017 03:00","0.000","-8.550","-8.300","-9.060","82.200","","15.750","193.800","16.650","201.800","0.000","-8.620","0.000","21.661","202.800","3.443","-11.157","-15.137","-8.550"
"Calgary Int'L CS","02-March-2017 04:00","0.000","-10.060","-8.560","-10.160","83.600","","9.414","193.600","10.087","190.400","0.000","-9.600","0.000","15.948","196.700","3.287","-11.613","-15.119","-10.060"
"Calgary Int'L CS","02-March-2017 05:00","0.000","-10.760","-9.230","-11.120","84.000","","7.812","181.000","7.718","170.800","0.000","-9.950","0.000","11.290","198.600","3.134","-12.353","-15.293","-10.760"
"Calgary Int'L CS","02-March-2017 06:00","0.000","-11.400","-9.800","-11.920","84.000","","7.236","187.600","6.671","194.400","0.000","-10.860","0.000","11.642","175.100","3.036","-13.025","-15.775","-11.400"
"Calgary Int'L CS","02-March-2017 07:00","0.000","-11.100","-10.340","-12.680","85.800","","7.711","205.000","5.641","202.000","0.000","-11.180","0.140","8.960","211.100","3.160","-13.403","-15.646","-11.100"
"Calgary Int'L CS","02-March-2017 08:00","0.000","-10.660","-10.660","-11.600","85.400","","13.244","217.400","9.994","206.900","0.000","-11.100","21.111","15.736","219.800","3.484","-13.087","-17.086","-10.660"
"Calgary Int'L CS","02-March-2017 09:00","0.000","-8.790","-8.790","-10.740","77.620","","10.357","209.300","10.390","213.400","0.000","-9.750","151.111","14.112","223.600","3.550","-12.927","-13.936","-8.790"
"Calgary Int'L CS","02-March-2017 10:00","0.000","-6.328","-6.328","-8.810","70.650","","9.158","198.700","9.482","205.500","0.000","-7.834","263.611","13.687","214.000","3.568","-11.966","-10.594","-6.328"
"Calgary Int'L CS","02-March-2017 11:00","0.000","-3.362","-3.362","-6.448","58.120","","8.006","206.600","10.382","200.100","0.000","-5.025","386.389","15.030","220.600","3.759","-11.855","-6.689","-3.362"
"Calgary Int'L CS","02-March-2017 12:00","0.000","-2.058","-1.924","-3.490","58.490","","13.921","196.800","12.474","195.300","0.000","-2.664","385.556","18.418","189.000","3.798","-9.707","-6.731","-2.058"
"Calgary Int'L CS","02-March-2017 13:00","0.000","-0.597","-0.518","-2.078","57.690","","12.388","184.200","14.274","192.100","0.000","-1.252","326.667","21.380","195.900","3.829","-8.557","-4.613","-0.597"
"Calgary Int'L CS","02-March-2017 14:00","0.000","-0.161","-0.084","-0.581","60.360","","14.998","191.200","13.093","185.200","0.000","-0.326","199.722","19.757","185.800","3.835","-7.065","-4.614","-0.161"
"Calgary Int'L CS","02-March-2017 15:00","0.000","-0.002","0.470","-0.154","61.420","","12.215","167.500","13.892","188.100","0.000","0.162","131.389","21.452","184.200","3.782","-6.375","-3.852","-0.002"
"Calgary Int'L CS","02-March-2017 16:00","0.000","0.747","0.747","-0.271","59.200","","13.028","186.500","11.142","167.400","0.000","-0.004","109.167","17.780","189.800","3.808","-6.779","0.747","0.747"
"Calgary Int'L CS","02-March-2017 17:00","0.000","2.163","2.186","0.748","54.040","","7.355","222.600","11.686","190.800","0.000","1.354","163.611","17.993","193.800","3.744","-6.812","2.163","2.163"
"Calgary Int'L CS","02-March-2017 18:00","0.000","1.121","2.355","1.095","61.510","","8.834","171.800","8.993","142.300","0.000","1.723","112.222","13.406","94.200","3.717","-4.874","1.121","1.121"
"Calgary Int'L CS","02-March-2017 19:00","0.000","0.889","1.521","0.603","60.530","","14.540","198.700","11.801","192.600","0.000","1.073","6.667","19.051","222.300","3.657","-5.712","0.889","0.889"
