"Station Name","Date (Local Standard Time)","Precip. (mm)","Air Temp. Inst. (°C)","Air Temp. Max. (°C)","Air Temp. Min. (°C)","Humidity Inst. (%)","Humidity Ave. (%)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (°)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (°)","Precip. Accumulated (mm)","Air Temp. Ave. (°C)","Incoming Solar Rad. (W/m2)","Peak Wind Speed 10 m (km/h)","Wind Dir. Peak 10 m (°)","Snow Depth (cm)","Est. Dew Point Temp. (°C)","Wind Chill (°C)","Humidex (°C)"
"Calgary Int'L CS","01-July-2011 00:00","0.000","7.930","9.120","7.840","85.900","","","","","","0.000","","0.000","","","15.000","6.256","","7.930"
"Calgary Int'L CS","01-July-2011 01:00","0.000","8.340","8.340","7.490","83.400","","","","","","0.000","","0.000","","","15.420","5.276","","8.340"
"Calgary Int'L CS","01-July-2011 02:00","0.000","7.780","8.730","7.470","84.900","","","","","","0.000","","0.000","","","11.740","5.714","","7.780"
"Calgary Int'L CS","01-July-2011 03:00","0.000","8.140","8.180","6.901","89.500","","","","","","0.000","","0.000","","","11.870","5.926","","8.140"
"Calgary Int'L CS","01-July-2011 04:00","0.000","7.610","8.650","7.540","67.560","","","","","","0.000","","0.000","","","32.840","2.456","","7.610"
"Calgary Int'L CS","01-July-2011 05:00","0.000","8.420","9.030","7.610","57.740","","","","","","0.000","","5.833","","","32.320","0.480","","8.420"
"Calgary Int'L CS","01-July-2011 06:00","0.000","9.290","9.990","8.410","65.670","","","","","","0.000","","99.723","","","31.810","3.109","","9.290"
"Calgary Int'L CS","01-July-2011 07:00","0.000","10.010","10.010","9.090","71.500","","","","","","0.000","","240.835","","","31.290","4.653","","10.010"
"Calgary Int'L CS","01-July-2011 08:00","0.000","11.110","11.380","10.020","63.890","","","","","","0.000","","403.892","","","24.590","4.144","","11.110"
"Calgary Int'L CS","01-July-2011 09:00","0.000","12.800","12.800","11.120","55.780","","","","","","0.000","","551.393","","","17.900","3.400","","12.800"
"Calgary Int'L CS","01-July-2011 10:00","0.000","14.340","14.350","12.530","47.170","","","","","","0.000","","697.783","","","16.820","2.403","","14.340"
"Calgary Int'L CS","01-July-2011 11:00","0.000","15.030","15.920","13.990","39.700","","","","","","0.000","","782.228","","","15.740","1.362","","15.030"
"Calgary Int'L CS","01-July-2011 12:00","0.000","17.580","17.810","14.800","28.510","","","","","","0.000","","870.007","","","14.670","-1.997","","17.580"
"Calgary Int'L CS","01-July-2011 13:00","0.000","16.600","18.470","16.570","43.520","","","","","","0.000","","853.790","","","13.590","4.968","","16.600"
"Calgary Int'L CS","01-July-2011 14:00","0.000","16.420","17.240","16.010","43.700","","","","","","0.000","","461.948","","","13.190","4.218","","16.420"
"Calgary Int'L CS","01-July-2011 15:00","0.000","16.820","17.140","15.980","32.740","","","","","","0.000","","345.003","","","12.790","0.113","","16.820"
"Calgary Int'L CS","01-July-2011 16:00","0.000","19.050","19.080","16.820","26.290","","","","","","0.000","","397.781","","","","-1.686","","19.050"
"Calgary Int'L CS","01-July-2011 17:00","0.000","19.110","19.520","18.750","26.830","","","","","","0.000","","648.339","","","","-0.398","","19.110"
"Calgary Int'L CS","01-July-2011 18:00","0.000","18.330","19.340","18.330","27.470","","","","","","0.000","","459.170","","","","-0.331","","18.330"
"Calgary Int'L CS","01-July-2011 19:00","0.000","17.320","18.670","17.320","28.350","","","","","","0.000","","300.002","","","","-0.620","","17.320"
"Calgary Int'L CS","01-July-2011 20:00","0.000","15.880","17.320","15.880","32.060","","","","","","0.000","","146.112","","","","-0.141","","15.880"
"Calgary Int'L CS","01-July-2011 21:00","0.000","14.460","15.870","14.380","34.920","","","","","","0.000","","27.222","","","","-0.261","","14.460"
"Calgary Int'L CS","01-July-2011 22:00","0.000","13.480","14.470","13.390","38.070","","","","","","0.000","","0.000","","","","-0.133","","13.480"
"Calgary Int'L CS","01-July-2011 23:00","0.000","13.180","13.530","12.690","39.470","","","","","","0.000","","0.000","","","","-0.370","","13.180"
"Calgary Int'L CS","02-July-2011 00:00","0.000","12.810","13.520","12.800","40.100","","","","","","0.000","","0.000","","","30.860","-0.108","","12.810"
