"Station Name","Date (Local Standard Time)","Precip. (mm)","Air Temp. Inst. (°C)","Air Temp. Max. (°C)","Air Temp. Min. (°C)","Humidity Inst. (%)","Humidity Ave. (%)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (°)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (°)","Precip. Accumulated (mm)","Air Temp. Ave. (°C)","Incoming Solar Rad. (W/m2)","Peak Wind Speed 10 m (km/h)","Wind Dir. Peak 10 m (°)","Snow Depth (cm)","Est. Dew Point Temp. (°C)","Wind Chill (°C)","Humidex (°C)"
"Calgary Int'L CS","01-January-2018 00:00","0.000","-30.430","-29.780","-31.080","71.090","","4.777","242.900","3.492","238.400","0.000","-30.500","0.000","5.504","245.000","11.210","-33.941","-35.859","-30.430"
"Calgary Int'L CS","01-January-2018 01:00","0.000","-30.520","-29.030","-30.980","71.640","","1.811","256.700","1.706","247.700","0.000","-29.800","0.000","4.871","254.000","10.670","-33.452","-32.583","-30.520"
"Calgary Int'L CS","01-January-2018 02:00","0.000","-30.630","-30.090","-31.860","71.140","","0.504","343.000","3.575","311.800","0.000","-30.900","0.000","7.056","301.200","11.140","-34.460","-31.206","-30.630"
"Calgary Int'L CS","01-January-2018 03:00","0.000","-30.190","-30.090","-32.200","71.590","","0.068","98.200","2.048","184.100","0.000","-30.930","0.000","5.080","179.000","10.910","-34.561","-30.267","-30.190"
"Calgary Int'L CS","01-January-2018 04:00","0.000","-27.510","-27.510","-30.760","74.070","","0.464","237.600","1.296","222.400","0.000","-29.610","0.000","3.812","229.200","10.720","-32.268","-28.001","-27.510"
"Calgary Int'L CS","01-January-2018 05:00","0.000","-27.610","-26.590","-31.570","73.940","","1.793","72.360","0.997","231.700","0.000","-28.670","0.000","4.727","191.200","10.730","-32.233","-29.512","-27.610"
"Calgary Int'L CS","01-January-2018 06:00","0.000","-27.230","-26.490","-28.950","74.520","","6.970","243.200","2.826","203.200","0.000","-28.190","0.000","8.114","243.000","10.920","-30.832","-34.046","-27.230"
"Calgary Int'L CS","01-January-2018 07:00","0.000","-25.310","-25.190","-27.970","76.610","","6.757","207.000","4.558","217.300","0.000","-26.250","0.000","7.481","210.200","10.490","-29.434","-31.669","-25.310"
"Calgary Int'L CS","01-January-2018 08:00","0.000","-23.860","-22.370","-25.450","77.180","","6.376","210.500","4.298","206.700","0.000","-23.930","0.000","8.114","207.200","10.640","-26.756","-29.726","-23.860"
"Calgary Int'L CS","01-January-2018 09:00","0.000","-20.780","-20.780","-24.650","81.000","","9.281","207.400","7.762","202.200","0.000","-22.690","10.380","10.584","212.300","10.880","-25.062","-27.802","-20.780"
