"Station Name","Date (Local Standard Time)","Precip. (mm)","Air Temp. Inst. (°C)","Air Temp. Max. (°C)","Air Temp. Min. (°C)","Humidity Inst. (%)","Humidity Ave. (%)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (°)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (°)","Precip. Accumulated (mm)","Air Temp. Ave. (°C)","Incoming Solar Rad. (W/m2)","Peak Wind Speed 10 m (km/h)","Wind Dir. Peak 10 m (°)","Snow Depth (cm)","Est. Dew Point Temp. (°C)","Wind Chill (°C)","Humidex (°C)"
"Calgary Int'L CS","01-July-2016 00:00","0.000","12.380","13.010","12.140","84.100","","7.888","247.100","7.960","271.400","0.000","12.500","0.000","11.855","272.600","","9.960","12.380","13.538"
"Calgary Int'L CS","01-July-2016 01:00","0.000","12.870","13.200","11.730","84.300","","9.241","237.200","10.454","229.700","0.000","12.400","0.000","15.030","229.000","","9.888","12.870","14.264"
"Calgary Int'L CS","01-July-2016 02:00","0.000","12.120","13.020","11.890","86.800","","3.600","237.900","6.952","238.800","0.000","12.560","0.000","10.372","245.800","","10.315","12.120","13.377"
"Calgary Int'L CS","01-July-2016 03:00","0.000","11.730","12.610","11.550","90.500","","2.725","307.900","2.934","274.100","0.000","12.060","0.000","6.631","308.800","","10.572","11.730","13.097"
"Calgary Int'L CS","01-July-2016 04:00","0.000","11.230","12.760","11.090","92.200","","0.850","317.800","2.556","355.200","0.000","11.850","0.010","5.645","10.280","","10.698","11.230","12.498"
"Calgary Int'L CS","01-July-2016 05:00","0.000","10.870","11.510","10.370","90.700","","2.084","321.600","2.462","341.700","0.000","11.120","13.330","6.422","45.700","","9.479","10.870","11.868"
"Calgary Int'L CS","01-July-2016 06:00","0.000","12.710","12.720","10.860","85.200","","3.164","232.400","4.342","9.650","0.000","11.910","78.340","9.806","47.080","","9.385","12.710","14.105"
"Calgary Int'L CS","01-July-2016 07:00","0.000","14.710","14.710","12.630","75.940","","4.432","225.300","4.435","239.200","0.000","13.710","213.780","7.549","269.200","","9.504","14.710","16.209"
"Calgary Int'L CS","01-July-2016 08:00","0.000","16.550","16.750","14.680","67.740","","5.623","186.400","4.705","207.700","0.000","15.720","389.220","10.091","188.400","","9.765","16.550","18.073"
"Calgary Int'L CS","01-July-2016 09:00","0.000","18.040","18.090","16.570","64.230","","10.393","183.900","9.972","179.400","0.000","17.490","537.380","17.075","181.000","","10.504","18.040","19.858"
