"Station Name","Date (Local Standard Time)","Precip. (mm)","Air Temp. Inst. (°C)","Air Temp. Max. (°C)","Air Temp. Min. (°C)","Humidity Inst. (%)","Humidity Ave. (%)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (°)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (°)","Precip. Accumulated (mm)","Air Temp. Ave. (°C)","Incoming Solar Rad. (W/m2)","Peak Wind Speed 10 m (km/h)","Wind Dir. Peak 10 m (°)","Snow Depth (cm)","Est. Dew Point Temp. (°C)","Wind Chill (°C)","Humidex (°C)"
"Calgary Int'L CS","01-March-2016 00:00","0.000","-2.510","-1.910","-2.710","87.030","","","","","","0.000","","0.000","","","","-4.170","","-2.510"
"Calgary Int'L CS","01-March-2016 01:00","0.000","-3.800","-2.510","-4.600","86.040","","","","","","0.000","-4.170","0.000","","","","-5.546","","-3.800"
"Calgary Int'L CS","01-March-2016 02:00","0.000","-3.810","-2.110","-4.700","83.050","","","","","","0.000","-4.690","0.000","","","","-5.863","","-3.810"
"Calgary Int'L CS","01-March-2016 03:00","0.000","-4.800","-2.210","-4.800","84.980","","","","","","0.000","-4.710","0.000","","","","-5.660","","-4.800"
"Calgary Int'L CS","01-March-2016 04:00","0.000","-5.100","-4.200","-7.090","87.940","","","","","","0.000","-4.450","0.000","","","","-7.319","","-5.100"
"Calgary Int'L CS","01-March-2016 05:00","0.000","-5.290","-4.100","-6.090","72.970","","","","","","0.000","","0.000","","","","-9.175","","-5.290"
"Calgary Int'L CS","01-March-2016 06:00","0.010","-5.400","-4.790","-6.090","73.980","","","","","","0.010","","0.000","","","","-9.334","","-5.400"
"Calgary Int'L CS","01-March-2016 07:00","0.000","-5.200","-4.200","-5.800","75.970","","","","","","0.010","-4.700","0.050","","","","-8.570","","-5.200"
"Calgary Int'L CS","01-March-2016 08:00","0.000","-5.600","-4.700","-6.000","78.980","","","","","","0.010","-4.700","39.010","","","","-8.412","","-5.600"
"Calgary Int'L CS","01-March-2016 09:00","0.020","-3.100","-3.100","-5.700","77.000","","","","","","0.030","-4.480","64.460","","","","-7.815","","-3.100"
"Calgary Int'L CS","01-March-2016 10:00","0.000","-1.400","-1.400","-3.100","73.990","","","","","","0.030","-2.280","158.930","","","","-6.249","","-1.400"
"Calgary Int'L CS","01-March-2016 11:00","0.000","1.900","2.000","-1.300","55.980","","","","","","0.030","0.330","337.350","","","","-7.398","","1.900"
"Calgary Int'L CS","01-March-2016 12:00","0.000","3.700","4.590","1.900","40.020","","","","","","0.030","2.600","407.280","","","","-9.046","","3.700"
"Calgary Int'L CS","01-March-2016 13:00","0.000","4.600","5.200","3.600","46.010","","","","","","0.030","3.670","448.950","","","","-6.199","","4.600"
"Calgary Int'L CS","01-March-2016 14:00","0.000","5.300","5.800","4.400","34.050","","","","","","0.030","4.590","584.660","","","","-9.445","","5.300"
"Calgary Int'L CS","01-March-2016 15:00","0.000","4.900","5.900","4.800","33.030","","","","","","0.030","4.760","395.870","","","","-9.610","","4.900"
"Calgary Int'L CS","01-March-2016 16:00","0.000","4.900","5.500","4.800","36.020","","","","","","0.030","","170.260","","","","-8.684","","4.900"
"Calgary Int'L CS","01-March-2016 17:00","0.000","4.700","5.200","4.600","39.030","","","","","","0.030","","109.920","","","","-7.878","","4.700"
"Calgary Int'L CS","01-March-2016 18:00","0.000","3.500","4.800","3.500","48.020","","","","","","0.030","3.580","45.120","","","","-5.869","","3.500"
"Calgary Int'L CS","01-March-2016 19:00","0.000","2.390","3.500","2.390","54.040","","","","","","0.030","","1.650","","","","-5.435","","2.390"
"Calgary Int'L CS","01-March-2016 20:00","0.000","2.390","2.500","1.900","58.060","","","","","","0.030","","0.000","","","","-5.188","","2.390"
"Calgary Int'L CS","01-March-2016 21:00","0.000","1.490","2.490","1.500","66.040","","","","","","0.030","","0.000","","","","-3.675","","1.490"
"Calgary Int'L CS","01-March-2016 22:00","0.000","1.090","1.500","1.100","71.030","","","","","","0.030","","0.000","","","","-3.367","","1.090"
"Calgary Int'L CS","01-March-2016 23:00","0.000","0.590","1.100","0.590","76.030","","","","","","0.030","","0.000","","","","-2.894","","0.590"
"Calgary Int'L CS","02-March-2016 00:00","0.000","-0.810","0.600","-0.900","85.020","","","","","","0.030","","0.000","","","","-2.360","","-0.810"
"Calgary Int'L CS","02-March-2016 01:00","0.000","-1.410","-0.600","-1.600","89.020","","","","","","0.030","","0.000","","","","-2.676","","-1.410"
"Calgary Int'L CS","02-March-2016 02:00","0.000","-2.010","-1.400","-2.700","91.020","","","","","","0.030","-2.640","0.000","","","","-3.316","","-2.010"
"Calgary Int'L CS","02-March-2016 03:00","0.000","-3.800","-2.000","-4.200","93.020","","","","","","0.030","-3.060","0.000","","","","-4.066","","-3.800"
"Calgary Int'L CS","02-March-2016 04:00","0.000","-2.300","-2.300","-3.700","94.020","","","","","","0.030","-2.610","0.000","","","","-3.825","","-2.300"
"Calgary Int'L CS","02-March-2016 05:00","0.000","-1.900","-1.900","-2.300","96.010","","","","","","0.030","","0.000","","","","-2.649","","-1.900"
"Calgary Int'L CS","02-March-2016 06:00","0.000","-1.700","-1.700","-1.900","97.010","","","","","","0.030","","0.000","","","","-2.211","","-1.700"
"Calgary Int'L CS","02-March-2016 07:00","0.000","-1.400","-1.400","-1.700","97.010","","","","","","0.030","","0.000","","","","-1.962","","-1.400"
"Calgary Int'L CS","02-March-2016 08:00","0.020","-1.010","-1.000","-1.400","97.010","","","","","","0.050","","3.580","","","","-1.613","","-1.010"
"Calgary Int'L CS","02-March-2016 09:00","0.010","-0.800","-0.800","-1.100","97.000","","","","","","0.060","","28.840","","","","-1.365","","-0.800"
"Calgary Int'L CS","02-March-2016 10:00","0.020","-0.010","0.190","-0.800","95.020","","","","","","0.080","","95.430","","","","-1.004","","-0.010"
"Calgary Int'L CS","02-March-2016 11:00","0.000","0.790","0.990","-0.100","90.020","","","","","","0.080","","236.030","","","","-0.999","","0.790"
"Calgary Int'L CS","02-March-2016 12:00","0.000","1.300","1.400","0.800","83.020","","","","","","0.080","","182.410","","","","-1.457","","1.300"
