"Station Name","Date (Local Standard Time)","Precip. (mm)","Air Temp. Inst. (°C)","Air Temp. Max. (°C)","Air Temp. Min. (°C)","Humidity Inst. (%)","Humidity Ave. (%)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (°)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (°)","Precip. Accumulated (mm)","Air Temp. Ave. (°C)","Incoming Solar Rad. (W/m2)","Peak Wind Speed 10 m (km/h)","Wind Dir. Peak 10 m (°)","Snow Depth (cm)","Est. Dew Point Temp. (°C)","Wind Chill (°C)","Humidex (°C)"
"Calgary Int'L CS","01-November-2010 00:00","0.000","2.025","2.354","-0.043","62.880","","","","","","0.000","","0.000","","","1.331","-5.123","","2.025"
"Calgary Int'L CS","01-November-2010 01:00","0.000","1.176","3.058","1.063","66.400","","","","","","0.000","","0.000","","","1.131","-3.540","","1.176"
"Calgary Int'L CS","01-November-2010 02:00","0.000","0.641","1.609","0.476","69.490","","","","","","0.000","","0.000","","","1.021","-3.907","","0.641"
"Calgary Int'L CS","01-November-2010 03:00","0.000","0.605","1.053","0.075","65.100","","","","","","0.000","","0.000","","","1.134","-5.228","","0.605"
"Calgary Int'L CS","01-November-2010 04:00","0.000","1.031","1.081","-0.328","64.450","","","","","","0.000","","0.000","","","1.306","-5.538","","1.031"
"Calgary Int'L CS","01-November-2010 05:00","0.000","0.307","1.868","0.111","72.900","","","","","","0.000","","0.000","","","1.279","-3.318","","0.307"
"Calgary Int'L CS","01-November-2010 06:00","0.000","1.319","1.319","-0.023","67.040","","","","","","0.000","","0.000","","","0.892","-4.760","","1.319"
"Calgary Int'L CS","01-November-2010 07:00","0.000","1.329","2.033","1.314","65.710","","","","","","0.000","","0.000","","","0.695","-4.048","","1.329"
"Calgary Int'L CS","01-November-2010 08:00","0.000","0.778","1.745","0.769","69.670","","","","","","0.000","","2.778","","","1.481","-3.666","","0.778"
"Calgary Int'L CS","01-November-2010 09:00","0.000","2.509","2.822","0.662","63.880","","","","","","0.000","","31.945","","","1.103","-4.358","","2.509"
"Calgary Int'L CS","01-November-2010 10:00","0.000","5.724","5.724","2.485","49.400","","","","","","0.000","","95.001","","","0.281","-5.539","","5.724"
"Calgary Int'L CS","01-November-2010 11:00","0.000","8.590","8.690","5.580","42.530","","","","","","0.000","","184.724","","","0.240","-4.744","","8.590"
"Calgary Int'L CS","01-November-2010 12:00","0.000","13.020","13.020","8.590","34.830","","","","","","0.000","","248.058","","","0.200","-4.109","","13.020"
"Calgary Int'L CS","01-November-2010 13:00","0.000","14.180","14.650","12.880","32.870","","","","","","0.000","","271.391","","","0.160","-2.280","","14.180"
"Calgary Int'L CS","01-November-2010 14:00","0.000","13.680","14.750","13.620","34.600","","","","","","0.000","","243.335","","","0.120","-1.215","","13.680"
"Calgary Int'L CS","01-November-2010 15:00","0.000","15.780","16.030","13.680","30.030","","","","","","0.000","","204.168","","","0.078","-2.549","","15.780"
"Calgary Int'L CS","01-November-2010 16:00","0.000","15.240","15.810","15.190","29.820","","","","","","0.000","","133.057","","","0.090","-2.084","","15.240"
"Calgary Int'L CS","01-November-2010 17:00","0.000","13.300","15.230","13.040","34.600","","","","","","0.000","","45.834","","","0.110","-1.259","","13.300"
"Calgary Int'L CS","01-November-2010 18:00","0.000","12.370","13.300","11.940","37.790","","","","","","0.000","","1.230","","","0.130","-1.402","","12.370"
"Calgary Int'L CS","01-November-2010 19:00","0.000","11.390","12.380","11.390","42.570","","","","","","0.000","","0.000","","","0.140","-0.435","","11.390"
"Calgary Int'L CS","01-November-2010 20:00","0.000","10.680","11.430","10.500","49.920","","","","","","0.000","","0.000","","","0.160","0.923","","10.680"
"Calgary Int'L CS","01-November-2010 21:00","0.000","10.600","11.080","10.390","51.170","","","","","","0.000","","0.000","","","0.180","1.054","","10.600"
"Calgary Int'L CS","01-November-2010 22:00","0.000","9.420","10.610","9.340","55.550","","","","","","0.000","","0.000","","","0.195","1.491","","9.420"
"Calgary Int'L CS","01-November-2010 23:00","0.000","8.480","9.530","8.380","58.740","","","","","","0.000","","0.000","","","0.699","1.314","","8.480"
"Calgary Int'L CS","02-November-2010 00:00","0.000","7.670","8.560","7.570","61.440","","","","","","0.000","","0.000","","","0.816","1.101","","7.670"
"Calgary Int'L CS","02-November-2010 01:00","0.000","6.774","7.660","6.510","63.220","","","","","","0.000","","0.000","","","0.822","0.570","","6.774"
"Calgary Int'L CS","02-November-2010 02:00","0.000","6.179","7.130","5.874","66.530","","","","","","0.000","","0.000","","","1.010","0.722","","6.179"
"Calgary Int'L CS","02-November-2010 03:00","0.000","5.152","6.981","5.143","68.570","","","","","","0.000","","0.000","","","0.872","0.720","","5.152"
"Calgary Int'L CS","02-November-2010 04:00","0.000","4.745","5.590","4.632","70.400","","","","","","0.000","","0.000","","","0.581","0.173","","4.745"
"Calgary Int'L CS","02-November-2010 05:00","0.000","3.307","4.841","2.965","75.600","","","","","","0.000","","0.000","","","0.350","-0.010","","3.307"
"Calgary Int'L CS","02-November-2010 06:00","0.000","3.248","3.728","0.731","73.100","","","","","","0.000","","0.000","","","0.115","-2.086","","3.248"
"Calgary Int'L CS","02-November-2010 07:00","0.000","5.482","5.482","1.485","73.100","","","","","","0.000","","0.000","","","0.337","-0.876","","5.482"
"Calgary Int'L CS","02-November-2010 08:00","0.000","6.497","6.497","5.293","63.120","","","","","","0.000","","10.000","","","0.813","-0.579","","6.497"
"Calgary Int'L CS","02-November-2010 09:00","0.000","9.380","9.380","6.405","45.180","","","","","","0.000","","101.945","","","0.760","-3.252","","9.380"
"Calgary Int'L CS","02-November-2010 10:00","0.000","10.610","10.610","8.790","38.510","","","","","","0.000","","226.946","","","0.710","-3.754","","10.610"
"Calgary Int'L CS","02-November-2010 11:00","0.000","11.930","12.070","10.610","32.470","","","","","","0.000","","335.280","","","0.670","-4.569","","11.930"
"Calgary Int'L CS","02-November-2010 12:00","0.000","12.510","12.940","11.690","29.130","","","","","","0.000","","411.392","","","0.616","-5.154","","12.510"
"Calgary Int'L CS","02-November-2010 13:00","0.000","12.520","12.970","10.930","28.640","","","","","","0.000","","311.391","","","0.543","-5.692","","12.520"
"Calgary Int'L CS","02-November-2010 14:00","0.000","12.350","12.810","10.880","26.420","","","","","","0.000","","251.113","","","0.858","-6.835","","12.350"
"Calgary Int'L CS","02-November-2010 15:00","0.000","12.170","12.880","11.460","23.820","","","","","","0.000","","290.280","","","0.903","-7.897","","12.170"
"Calgary Int'L CS","02-November-2010 16:00","0.000","11.170","12.170","11.170","25.260","","","","","","0.000","","180.835","","","0.841","-7.566","","11.170"
"Calgary Int'L CS","02-November-2010 17:00","0.000","8.870","11.160","8.870","30.380","","","","","","0.000","","54.723","","","0.450","-6.599","","8.870"
"Calgary Int'L CS","02-November-2010 18:00","0.000","6.907","8.850","6.836","34.790","","","","","","0.000","","1.530","","","0.065","-6.743","","6.907"
"Calgary Int'L CS","02-November-2010 19:00","0.000","6.894","7.210","6.337","34.600","","","","","","0.000","","0.000","","","","-7.760","","6.894"
"Calgary Int'L CS","02-November-2010 20:00","0.000","6.861","7.030","6.288","34.260","","","","","","0.000","","0.000","","","","-7.988","","6.861"
"Calgary Int'L CS","02-November-2010 21:00","0.000","6.891","6.918","6.117","33.780","","","","","","0.000","","0.000","","","","-8.294","","6.891"
"Calgary Int'L CS","02-November-2010 22:00","0.000","6.158","6.887","6.067","35.510","","","","","","0.000","","0.000","","","","-7.688","","6.158"
"Calgary Int'L CS","02-November-2010 23:00","0.000","5.905","6.280","5.381","35.620","","","","","","0.000","","0.000","","","","-8.222","","5.905"
