"Station Name","Date (Local Standard Time)","Precip. (mm)","Air Temp. Inst. (°C)","Air Temp. Max. (°C)","Air Temp. Min. (°C)","Humidity Inst. (%)","Humidity Ave. (%)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (°)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (°)","Precip. Accumulated (mm)","Air Temp. Ave. (°C)","Incoming Solar Rad. (W/m2)","Peak Wind Speed 10 m (km/h)","Wind Dir. Peak 10 m (°)","Snow Depth (cm)","Est. Dew Point Temp. (°C)","Wind Chill (°C)","Humidex (°C)"
"Calgary Int'L CS","01-September-2015 00:00","0.000","14.080","14.650","13.980","45.740","","","","","","0.000","14.340","0.000","","","5.398","2.768","","14.080"
"Calgary Int'L CS","01-September-2015 01:00","0.000","13.070","14.070","13.070","49.490","","","","","","0.000","13.470","0.000","","","5.057","3.198","","13.070"
"Calgary Int'L CS","01-September-2015 02:00","0.000","12.060","13.070","11.900","52.220","","","","","","0.000","12.350","0.000","","","5.503","2.956","","12.060"
"Calgary Int'L CS","01-September-2015 03:00","0.000","10.980","12.050","10.980","57.020","","","","","","0.000","11.210","0.000","","","6.695","3.296","","10.980"
"Calgary Int'L CS","01-September-2015 04:00","0.000","10.210","10.980","9.590","61.950","","","","","","0.000","10.210","0.000","","","7.270","3.313","","10.210"
"Calgary Int'L CS","01-September-2015 05:00","0.000","8.870","10.210","8.380","66.700","","","","","","0.000","9.130","0.000","","","6.834","3.420","","8.870"
"Calgary Int'L CS","01-September-2015 06:00","0.000","7.390","9.400","6.506","77.300","","","","","","0.000","8.450","0.278","","","3.214","4.225","","7.390"
"Calgary Int'L CS","01-September-2015 07:00","0.000","8.780","9.120","7.400","75.300","","","","","","0.000","8.620","64.167","","","6.308","4.149","","8.780"
"Calgary Int'L CS","01-September-2015 08:00","0.000","11.130","11.130","8.780","65.400","","","","","","0.000","9.950","214.722","","","6.911","3.769","","11.130"
"Calgary Int'L CS","01-September-2015 09:00","0.000","15.460","15.460","11.130","50.350","","","","","","0.000","13.430","371.389","","","6.227","3.189","","15.460"
"Calgary Int'L CS","01-September-2015 10:00","0.000","16.670","16.700","15.430","42.760","","","","","","0.000","16.010","504.167","","","6.357","3.403","","16.670"
"Calgary Int'L CS","01-September-2015 11:00","0.000","18.270","18.270","16.410","32.850","","","","","","0.000","17.260","577.778","","","6.524","0.842","","18.270"
"Calgary Int'L CS","01-September-2015 12:00","0.000","19.720","19.790","18.210","31.070","","","","","","0.000","19.000","720.556","","","6.518","1.514","","19.720"
"Calgary Int'L CS","01-September-2015 13:00","0.000","20.610","20.680","19.670","29.350","","","","","","0.000","20.180","735.833","","","6.721","1.737","","20.610"
"Calgary Int'L CS","01-September-2015 14:00","0.000","21.530","21.760","20.580","26.880","","","","","","0.000","21.120","711.944","","","6.484","1.364","","21.530"
"Calgary Int'L CS","01-September-2015 15:00","0.000","22.350","22.350","21.240","25.430","","","","","","0.000","21.760","611.667","","","6.326","1.124","","22.350"
"Calgary Int'L CS","01-September-2015 16:00","0.000","22.110","23.150","21.750","24.240","","","","","","0.000","22.380","502.500","","","6.938","1.011","","22.110"
"Calgary Int'L CS","01-September-2015 17:00","0.000","21.760","22.870","21.750","22.640","","","","","","0.000","22.270","286.667","","","15.930","-0.050","","21.760"
"Calgary Int'L CS","01-September-2015 18:00","0.000","20.410","21.910","20.360","25.440","","","","","","0.000","21.030","144.167","","","4.078","0.570","","20.410"
"Calgary Int'L CS","01-September-2015 19:00","0.000","18.890","20.410","18.890","33.180","","","","","","0.000","19.620","58.889","","","6.467","3.003","","18.890"
"Calgary Int'L CS","01-September-2015 20:00","0.000","16.630","18.890","16.630","40.090","","","","","","0.000","17.760","0.000","","","2.753","4.011","","16.630"
"Calgary Int'L CS","01-September-2015 21:00","0.000","16.870","17.580","15.790","34.370","","","","","","0.000","16.870","0.000","","","3.610","0.894","","16.870"
"Calgary Int'L CS","01-September-2015 22:00","0.000","15.560","17.310","15.310","38.140","","","","","","0.000","16.230","0.000","","","4.461","2.013","","15.560"
"Calgary Int'L CS","01-September-2015 23:00","0.000","14.730","15.890","14.400","41.160","","","","","","0.000","15.090","0.000","","","4.460","2.037","","14.730"
"Calgary Int'L CS","02-September-2015 00:00","0.000","13.670","14.890","13.640","43.570","","","","","","0.000","14.170","0.000","","","6.079","2.040","","13.670"
"Calgary Int'L CS","02-September-2015 01:00","0.000","13.100","14.490","13.030","44.670","","","","","","0.000","13.800","0.000","","","5.907","1.931","","13.100"
"Calgary Int'L CS","02-September-2015 02:00","0.000","13.200","13.630","10.950","43.530","","","","","","0.000","12.740","0.000","","","5.820","0.238","","13.200"
"Calgary Int'L CS","02-September-2015 03:00","0.000","12.020","13.220","10.940","49.050","","","","","","0.000","11.980","0.000","","","6.331","1.704","","12.020"
"Calgary Int'L CS","02-September-2015 04:00","0.000","10.430","12.870","10.250","59.890","","","","","","0.000","11.880","0.000","","","5.725","4.035","","10.430"
"Calgary Int'L CS","02-September-2015 05:00","0.000","11.490","12.980","10.430","53.520","","","","","","0.000","12.020","0.000","","","5.552","2.579","","11.490"
"Calgary Int'L CS","02-September-2015 06:00","0.000","10.230","11.600","9.840","59.400","","","","","","0.000","10.510","0.950","","","4.860","3.129","","10.230"
"Calgary Int'L CS","02-September-2015 07:00","0.000","10.900","10.900","10.100","59.760","","","","","","0.000","10.560","33.611","","","5.290","3.007","","10.900"
"Calgary Int'L CS","02-September-2015 08:00","0.000","15.090","15.090","10.900","44.010","","","","","","0.000","12.780","203.611","","","6.297","1.029","","15.090"
"Calgary Int'L CS","02-September-2015 09:00","0.000","16.950","17.130","15.090","37.070","","","","","","0.000","16.430","360.556","","","5.957","1.437","","16.950"
"Calgary Int'L CS","02-September-2015 10:00","0.000","18.520","18.520","16.960","34.490","","","","","","0.000","17.730","508.889","","","5.753","1.871","","18.520"
"Calgary Int'L CS","02-September-2015 11:00","0.000","19.930","19.930","18.400","31.410","","","","","","0.000","19.300","630.556","","","5.492","1.810","","19.930"
"Calgary Int'L CS","02-September-2015 12:00","0.000","19.570","20.300","19.140","30.910","","","","","","0.000","19.740","465.556","","","4.407","2.067","","19.570"
"Calgary Int'L CS","02-September-2015 13:00","0.000","21.020","22.110","19.490","27.350","","","","","","0.000","20.910","695.833","","","5.674","1.289","","21.020"
"Calgary Int'L CS","02-September-2015 14:00","0.000","17.130","22.090","17.130","33.320","","","","","","0.000","21.010","520.556","","","4.650","3.027","","17.130"
"Calgary Int'L CS","02-September-2015 15:00","0.000","15.360","17.100","15.220","41.590","","","","","","0.000","15.620","281.667","","","3.629","3.096","","15.360"
"Calgary Int'L CS","02-September-2015 16:00","0.000","15.080","15.440","14.670","41.630","","","","","","0.000","15.050","204.444","","","4.185","2.115","","15.080"
"Calgary Int'L CS","02-September-2015 17:00","0.000","16.080","16.230","14.980","28.890","","","","","","0.000","15.510","132.778","","","5.160","-2.422","","16.080"
"Calgary Int'L CS","02-September-2015 18:00","0.000","16.200","16.710","15.730","24.470","","","","","","0.000","16.090","152.778","","","6.138","-4.119","","16.200"
"Calgary Int'L CS","02-September-2015 19:00","0.000","14.430","16.290","14.370","28.380","","","","","","0.000","15.150","77.222","","","6.046","-2.898","","14.430"
"Calgary Int'L CS","02-September-2015 20:00","0.000","13.120","14.430","13.060","30.640","","","","","","0.000","13.660","1.944","","","5.890","-3.242","","13.120"
"Calgary Int'L CS","02-September-2015 21:00","0.000","12.610","13.180","12.570","32.140","","","","","","0.000","12.900","0.000","","","5.730","-3.361","","12.610"
"Calgary Int'L CS","02-September-2015 22:00","0.000","11.470","12.700","11.150","35.830","","","","","","0.000","11.680","0.000","","","5.566","-2.740","","11.470"
"Calgary Int'L CS","02-September-2015 23:00","0.000","8.550","11.490","8.550","67.200","","","","","","0.000","10.040","0.000","","","3.153","4.217","","8.550"
"Calgary Int'L CS","03-September-2015 00:00","0.000","6.578","8.540","6.527","78.300","","","","","","0.000","7.400","0.000","","","3.922","4.001","","6.578"
"Calgary Int'L CS","03-September-2015 01:00","0.000","5.332","6.694","5.312","80.700","","","","","","0.000","5.967","0.000","","","6.412","2.940","","5.332"
"Calgary Int'L CS","03-September-2015 02:00","0.000","4.898","5.330","4.614","80.200","","","","","","0.000","5.015","0.000","","","5.347","1.847","","4.898"
"Calgary Int'L CS","03-September-2015 03:00","0.000","5.981","6.003","4.899","72.100","","","","","","0.000","5.542","0.000","","","0.820","0.829","","5.981"
