"Station Name","Date (Local Standard Time)","Precip. (mm)","Air Temp. Inst. (°C)","Air Temp. Max. (°C)","Air Temp. Min. (°C)","Humidity Inst. (%)","Humidity Ave. (%)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (°)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (°)","Precip. Accumulated (mm)","Air Temp. Ave. (°C)","Incoming Solar Rad. (W/m2)","Peak Wind Speed 10 m (km/h)","Wind Dir. Peak 10 m (°)","Snow Depth (cm)","Est. Dew Point Temp. (°C)","Wind Chill (°C)","Humidex (°C)"
"Calgary Int'L CS","01-July-2014 00:00","0.000","14.530","15.510","14.310","65.220","","","","","","0.000","14.900","0.000","","","","8.436","","14.963"
"Calgary Int'L CS","01-July-2014 01:00","0.000","13.550","14.760","13.480","70.700","","","","","","0.000","14.270","0.000","","","","8.876","","14.087"
"Calgary Int'L CS","01-July-2014 02:00","0.000","12.310","14.040","12.310","72.700","","","","","","0.000","13.280","0.000","","","","8.380","","12.532"
"Calgary Int'L CS","01-July-2014 03:00","0.000","11.270","12.430","11.130","75.500","","","","","","0.000","11.810","0.000","","","","7.591","","11.317"
"Calgary Int'L CS","01-July-2014 04:00","0.000","10.230","11.600","9.980","76.600","","","","","","0.000","10.600","0.000","","","","6.844","","10.230"
"Calgary Int'L CS","01-July-2014 05:00","0.000","9.950","10.220","9.340","77.200","","","","","","0.000","9.670","5.556","","","","5.979","","9.950"
"Calgary Int'L CS","01-July-2014 06:00","0.000","11.090","11.090","9.950","77.800","","","","","","0.000","10.480","77.222","","","","6.809","","11.239"
"Calgary Int'L CS","01-July-2014 07:00","0.000","14.440","14.440","11.100","67.100","","","","","","0.000","12.730","208.611","","","","6.817","","15.010"
"Calgary Int'L CS","01-July-2014 08:00","0.000","17.030","17.070","14.450","53.760","","","","","","0.000","15.850","371.389","","","","6.406","","17.266"
"Calgary Int'L CS","01-July-2014 09:00","0.000","19.270","19.290","17.030","43.120","","","","","","0.000","18.230","535.278","","","","5.414","","19.270"
"Calgary Int'L CS","01-July-2014 10:00","0.000","20.100","20.330","19.120","39.700","","","","","","0.000","19.730","663.889","","","","5.629","","20.100"
"Calgary Int'L CS","01-July-2014 11:00","0.000","21.010","21.220","20.050","35.780","","","","","","0.000","20.710","768.056","","","","4.941","","21.010"
"Calgary Int'L CS","01-July-2014 12:00","0.000","21.690","21.720","20.850","34.170","","","","","","0.000","21.240","855.000","","","","4.853","","21.690"
"Calgary Int'L CS","01-July-2014 13:00","0.000","22.290","22.600","21.670","35.630","","","","","","0.000","22.080","881.389","","","","6.203","","22.290"
"Calgary Int'L CS","01-July-2014 14:00","0.000","22.590","22.840","21.760","40.210","","","","","","0.000","22.390","762.222","","","","8.116","","23.146"
"Calgary Int'L CS","01-July-2014 15:00","0.000","23.100","23.250","22.240","37.450","","","","","","0.000","22.840","799.167","","","","7.468","","23.415"
