"Station Name","Date (Local Standard Time)","Precip. (mm)","Air Temp. Inst. (°C)","Air Temp. Max. (°C)","Air Temp. Min. (°C)","Humidity Inst. (%)","Humidity Ave. (%)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (°)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (°)","Precip. Accumulated (mm)","Air Temp. Ave. (°C)","Incoming Solar Rad. (W/m2)","Peak Wind Speed 10 m (km/h)","Wind Dir. Peak 10 m (°)","Snow Depth (cm)","Est. Dew Point Temp. (°C)","Wind Chill (°C)","Humidex (°C)"
"Calgary Int'L CS","01-March-2015 00:00","0.000","-11.040","-10.250","-11.040","77.100","","","","","","0.000","-10.710","0.000","","","0.858","-13.865","","-11.040"
"Calgary Int'L CS","01-March-2015 01:00","0.000","-10.110","-10.030","-11.560","77.900","","","","","","0.000","-10.850","0.000","","","1.110","-13.885","","-10.110"
"Calgary Int'L CS","01-March-2015 02:00","0.000","-11.280","-9.710","-11.280","74.300","","","","","","0.000","-10.210","0.000","","","0.604","-14.170","","-11.280"
"Calgary Int'L CS","01-March-2015 03:00","0.000","-11.710","-11.290","-13.040","81.400","","","","","","0.000","-12.400","0.000","","","0.507","-14.686","","-11.710"
"Calgary Int'L CS","01-March-2015 04:00","0.000","-12.050","-11.170","-12.050","79.300","","","","","","0.000","-11.530","0.000","","","0.107","-14.462","","-12.050"
"Calgary Int'L CS","01-March-2015 05:00","0.000","-12.380","-12.050","-12.870","84.700","","","","","","0.000","-12.550","0.000","","","0.858","-14.494","","-12.380"
"Calgary Int'L CS","01-March-2015 06:00","0.000","-12.910","-12.350","-12.920","82.600","","","","","","0.000","-12.670","0.000","","","1.118","-14.969","","-12.910"
"Calgary Int'L CS","01-March-2015 07:00","0.000","-12.830","-12.750","-13.000","82.700","","","","","","0.000","-12.900","0.050","","","1.127","-15.190","","-12.830"
"Calgary Int'L CS","01-March-2015 08:00","0.000","-12.110","-12.110","-12.880","80.900","","","","","","0.000","-12.670","39.500","","","1.041","-15.084","","-12.110"
"Calgary Int'L CS","01-March-2015 09:00","0.000","-9.170","-9.160","-12.100","73.200","","","","","","0.000","-10.500","174.170","","","0.661","-14.482","","-9.170"
"Calgary Int'L CS","01-March-2015 10:00","0.000","-6.846","-6.846","-9.180","67.680","","","","","","0.000","-8.190","304.110","","","1.027","-12.923","","-6.846"
"Calgary Int'L CS","01-March-2015 11:00","0.000","-4.336","-4.307","-6.837","58.270","","","","","","0.000","-5.271","408.890","","","1.201","-12.451","","-4.336"
"Calgary Int'L CS","01-March-2015 12:00","0.000","-2.630","-2.531","-4.428","50.320","","","","","","0.000","-3.410","493.090","","","0.826","-12.311","","-2.630"
"Calgary Int'L CS","01-March-2015 13:00","0.000","-2.062","-1.758","-2.754","46.290","","","","","","0.000","-2.216","537.700","","","0.994","-12.217","","-2.062"
"Calgary Int'L CS","01-March-2015 14:00","0.000","-1.209","-0.969","-2.129","50.050","","","","","","0.000","-1.543","521.950","","","0.637","-10.592","","-1.209"
"Calgary Int'L CS","01-March-2015 15:00","0.000","-0.533","-0.388","-1.197","50.160","","","","","","0.000","-0.654","358.340","","","0.872","-9.864","","-0.533"
"Calgary Int'L CS","01-March-2015 16:00","0.000","-0.301","-0.127","-0.745","54.580","","","","","","0.000","-0.366","303.080","","","0.545","-8.459","","-0.301"
"Calgary Int'L CS","01-March-2015 17:00","0.000","-0.781","-0.196","-0.782","57.930","","","","","","0.000","-0.577","170.020","","","0.464","-7.743","","-0.781"
"Calgary Int'L CS","01-March-2015 18:00","0.000","-1.477","-0.782","-1.579","63.260","","","","","","0.000","-1.177","74.840","","","0.540","-7.260","","-1.477"
"Calgary Int'L CS","01-March-2015 19:00","0.000","-3.181","-1.441","-3.181","69.540","","","","","","0.000","-2.514","2.680","","","0.348","-7.114","","-3.181"
"Calgary Int'L CS","01-March-2015 20:00","0.000","-3.981","-3.181","-4.234","74.500","","","","","","0.000","-3.626","0.000","","","0.395","-7.569","","-3.981"
"Calgary Int'L CS","01-March-2015 21:00","0.000","-4.363","-3.962","-4.761","75.200","","","","","","0.000","-4.386","0.000","","","0.306","-8.082","","-4.363"
"Calgary Int'L CS","01-March-2015 22:00","0.000","-2.669","-1.214","-4.526","57.700","","","","","","0.000","-2.432","0.000","","","0.567","-10.032","","-2.669"
"Calgary Int'L CS","01-March-2015 23:00","0.000","-0.208","-0.033","-2.895","42.420","","","","","","0.000","-1.272","0.000","","","0.437","-12.574","","-0.208"
"Calgary Int'L CS","02-March-2015 00:00","0.000","0.280","0.340","-0.363","41.480","","","","","","0.000","-0.027","0.000","","","0.645","-11.535","","0.280"
"Calgary Int'L CS","02-March-2015 01:00","0.000","-0.169","0.456","-0.299","48.500","","","","","","0.000","0.098","0.000","","","0.580","-9.487","","-0.169"
"Calgary Int'L CS","02-March-2015 02:00","0.000","-2.112","-0.162","-2.112","86.100","","","","","","0.000","-1.179","0.000","","","0.371","-3.160","","-2.112"
"Calgary Int'L CS","02-March-2015 03:00","0.000","-2.106","-2.102","-2.322","85.500","","","","","","0.000","-2.212","0.000","","","0.583","-4.309","","-2.106"
"Calgary Int'L CS","02-March-2015 04:00","0.000","-2.632","-2.108","-2.686","88.400","","","","","","0.000","-2.398","0.000","","","0.661","-4.048","","-2.632"
"Calgary Int'L CS","02-March-2015 05:00","0.000","-2.227","-2.067","-2.697","78.700","","","","","","0.000","-2.386","0.000","","","0.718","-5.569","","-2.227"
"Calgary Int'L CS","02-March-2015 06:00","0.000","-2.894","-2.230","-3.030","80.300","","","","","","0.000","-2.813","0.000","","","0.877","-5.547","","-2.894"
"Calgary Int'L CS","02-March-2015 07:00","0.000","-3.764","-2.896","-3.764","82.900","","","","","","0.000","-3.378","0.010","","","0.921","-5.813","","-3.764"
"Calgary Int'L CS","02-March-2015 08:00","0.000","-5.372","-3.749","-5.372","76.400","","","","","","0.000","-4.974","5.180","","","0.755","-8.071","","-5.372"
"Calgary Int'L CS","02-March-2015 09:00","0.000","-6.494","-5.375","-6.664","78.100","","","","","","0.000","-6.082","95.080","","","1.498","-9.207","","-6.494"
"Calgary Int'L CS","02-March-2015 10:00","0.000","-6.373","-6.262","-6.759","71.800","","","","","","0.000","-6.494","227.160","","","1.458","-10.745","","-6.373"
