"Station Name","Date (Local Standard Time)","Precip. (mm)","Air Temp. Inst. (°C)","Air Temp. Max. (°C)","Air Temp. Min. (°C)","Humidity Inst. (%)","Humidity Ave. (%)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (°)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (°)","Precip. Accumulated (mm)","Air Temp. Ave. (°C)","Incoming Solar Rad. (W/m2)","Peak Wind Speed 10 m (km/h)","Wind Dir. Peak 10 m (°)","Snow Depth (cm)","Est. Dew Point Temp. (°C)","Wind Chill (°C)","Humidex (°C)"
"Calgary Int'L CS","01-March-2018 00:00","0.000","-10.540","-9.570","-11.440","80.600","","0.709","255.000","3.841","162.500","0.000","-10.530","0.000","8.467","142.900","2.504","-13.185","-10.966","-10.540"
"Calgary Int'L CS","01-March-2018 01:00","0.000","-10.170","-9.300","-10.780","81.000","","1.656","20.970","1.336","102.800","0.000","-10.110","0.000","5.717","111.800","2.269","-12.670","-11.150","-10.170"
"Calgary Int'L CS","01-March-2018 02:00","0.000","-10.620","-9.800","-11.020","80.600","","2.156","25.470","2.246","334.700","0.000","-10.290","0.000","4.658","313.800","2.319","-13.092","-11.922","-10.620"
"Calgary Int'L CS","01-March-2018 03:00","0.000","-12.170","-9.600","-12.520","82.900","","2.189","0.302","1.350","75.270","0.000","-11.120","0.000","5.576","1.874","2.250","-13.383","-13.583","-12.170"
"Calgary Int'L CS","01-March-2018 04:00","0.000","-12.770","-11.730","-13.520","86.700","","0.072","93.700","1.336","79.160","0.000","-12.770","0.000","4.093","353.900","2.210","-14.373","-12.818","-12.770"
"Calgary Int'L CS","01-March-2018 05:00","0.000","-13.930","-12.810","-14.500","87.000","","0.000","14.300","1.354","32.960","0.000","-13.610","0.000","4.586","78.360","2.317","-15.345","-13.930","-13.930"
"Calgary Int'L CS","01-March-2018 06:00","0.000","-14.100","-12.950","-14.830","87.300","","2.887","117.300","1.303","65.370","0.000","-14.070","0.000","4.165","120.100","2.407","-15.535","-16.113","-14.100"
"Calgary Int'L CS","01-March-2018 07:00","0.000","-12.950","-12.140","-14.190","88.000","","1.170","67.980","2.808","78.480","0.000","-13.340","0.040","6.422","64.520","2.453","-14.724","-13.730","-12.950"
"Calgary Int'L CS","01-March-2018 08:00","0.000","-12.790","-12.630","-13.620","88.300","","6.916","74.760","7.682","44.880","0.000","-13.130","14.440","15.242","44.700","2.639","-14.643","-17.232","-12.790"
"Calgary Int'L CS","01-March-2018 09:00","0.000","-11.780","-11.720","-12.880","87.900","","2.455","61.340","4.036","81.700","0.000","-12.290","41.667","8.680","98.800","2.621","-13.885","-13.339","-11.780"
"Calgary Int'L CS","01-March-2018 10:00","0.000","-10.610","-10.580","-11.770","84.000","","4.871","121.200","5.681","94.800","0.000","-11.190","152.778","13.547","114.900","2.664","-13.334","-13.549","-10.610"
"Calgary Int'L CS","01-March-2018 11:00","0.000","-8.880","-8.350","-10.660","71.150","","6.512","93.500","5.252","101.300","0.000","-9.400","320.000","10.865","115.300","2.636","-13.743","-12.495","-8.880"
"Calgary Int'L CS","01-March-2018 12:00","0.000","-8.880","-8.640","-9.420","74.130","","9.022","122.900","9.101","112.300","0.000","-9.120","435.000","14.465","125.300","2.596","-12.781","-13.571","-8.880"
"Calgary Int'L CS","01-March-2018 13:00","0.000","-6.156","-6.156","-8.880","69.130","","11.570","101.700","10.940","123.200","0.000","-7.636","502.500","20.675","132.500","2.585","-12.186","-11.140","-6.156"
"Calgary Int'L CS","01-March-2018 14:00","0.000","-6.730","-6.087","-7.177","70.600","","12.118","105.200","13.493","110.700","0.000","-6.818","554.444","22.511","103.100","2.581","-11.073","-11.988","-6.730"
"Calgary Int'L CS","01-March-2018 15:00","0.000","-6.558","-6.264","-6.958","70.500","","12.024","71.250","11.326","83.700","0.000","-6.598","457.500","16.862","66.120","2.500","-11.071","-11.753","-6.558"
"Calgary Int'L CS","01-March-2018 16:00","0.000","-7.176","-6.167","-7.269","78.100","","16.200","54.000","15.426","59.260","0.000","-6.884","345.000","21.733","52.250","2.586","-9.886","-13.536","-7.176"
"Calgary Int'L CS","01-March-2018 17:00","0.000","-7.407","-6.938","-7.445","81.300","","15.808","72.620","15.160","71.480","0.000","-7.195","125.000","21.168","61.540","2.483","-9.840","-13.735","-7.407"
"Calgary Int'L CS","01-March-2018 18:00","0.000","-7.561","-7.277","-7.618","84.200","","14.278","88.400","13.964","77.760","0.000","-7.438","41.389","19.264","75.940","2.532","-9.647","-13.565","-7.561"
"Calgary Int'L CS","01-March-2018 19:00","0.000","-7.727","-7.535","-7.808","89.100","","12.064","87.200","14.090","93.600","0.000","-7.718","0.000","23.778","100.100","2.549","-9.150","-13.181","-7.727"
"Calgary Int'L CS","01-March-2018 20:00","0.000","-7.602","-7.570","-7.750","90.500","","14.076","81.800","13.442","83.600","0.000","-7.646","0.000","19.688","75.250","2.577","-8.940","-13.565","-7.602"
"Calgary Int'L CS","01-March-2018 21:00","0.000","-7.520","-7.519","-7.645","90.800","","10.033","107.400","10.998","99.600","0.000","-7.582","0.000","19.897","87.800","2.624","-8.820","-12.309","-7.520"
"Calgary Int'L CS","01-March-2018 22:00","0.100","-7.518","-7.459","-7.533","90.900","","14.713","83.300","12.096","93.900","0.100","-7.499","0.000","18.346","81.300","2.290","-8.721","-13.618","-7.518"
"Calgary Int'L CS","01-March-2018 23:00","0.100","-7.488","-7.488","-7.572","91.400","","18.065","87.400","17.251","87.300","0.200","-7.541","0.000","24.980","92.400","2.864","-8.685","-14.317","-7.488"
"Calgary Int'L CS","02-March-2018 00:00","0.100","-7.667","-7.460","-7.667","91.800","","22.194","79.030","20.686","80.200","0.300","-7.518","0.000","30.780","78.830","2.621","-8.662","-15.308","-7.667"
