"Station Name","Date (Local Standard Time)","Precip. (mm)","Air Temp. Inst. (°C)","Air Temp. Max. (°C)","Air Temp. Min. (°C)","Humidity Inst. (%)","Humidity Ave. (%)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (°)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (°)","Precip. Accumulated (mm)","Air Temp. Ave. (°C)","Incoming Solar Rad. (W/m2)","Peak Wind Speed 10 m (km/h)","Wind Dir. Peak 10 m (°)","Snow Depth (cm)","Est. Dew Point Temp. (°C)","Wind Chill (°C)","Humidex (°C)"
"Calgary Int'L CS","01-May-2014 00:00","0.000","8.990","11.940","8.990","41.960","","","","","","0.000","10.520","0.000","","","-0.503","-1.914","","8.990"
"Calgary Int'L CS","01-May-2014 01:00","0.000","9.920","10.170","8.580","39.480","","","","","","0.000","9.480","0.000","","","-0.264","-3.713","","9.920"
"Calgary Int'L CS","01-May-2014 02:00","0.000","8.870","9.960","8.210","45.320","","","","","","0.000","8.670","0.000","","","-0.322","-2.123","","8.870"
"Calgary Int'L CS","01-May-2014 03:00","0.000","9.620","9.620","8.310","50.170","","","","","","0.000","8.840","0.000","","","-0.180","-0.851","","9.620"
"Calgary Int'L CS","01-May-2014 04:00","0.000","10.010","10.300","9.430","46.660","","","","","","0.000","9.860","0.000","","","-0.202","-1.016","","10.010"
"Calgary Int'L CS","01-May-2014 05:00","0.000","9.180","10.150","9.100","49.490","","","","","","0.000","9.730","0.000","","","-0.228","-0.430","","9.180"
"Calgary Int'L CS","01-May-2014 06:00","0.000","9.150","9.380","8.610","51.210","","","","","","0.000","8.990","22.222","","","-0.176","-0.543","","9.150"
"Calgary Int'L CS","01-May-2014 07:00","0.000","11.140","11.540","9.150","47.540","","","","","","0.000","10.360","127.500","","","-0.094","-0.321","","11.140"
"Calgary Int'L CS","01-May-2014 08:00","0.000","15.600","15.600","11.150","35.430","","","","","","0.000","13.690","303.611","","","0.312","-1.608","","15.600"
"Calgary Int'L CS","01-May-2014 09:00","0.000","16.710","17.270","15.520","32.830","","","","","","0.000","16.390","429.722","","","0.164","0.007","","16.710"
"Calgary Int'L CS","01-May-2014 10:00","0.000","18.120","18.120","16.530","32.330","","","","","","0.000","17.330","523.611","","","0.243","0.608","","18.120"
"Calgary Int'L CS","01-May-2014 11:00","0.000","18.140","18.880","17.660","32.130","","","","","","0.000","18.300","590.833","","","0.258","1.346","","18.140"
"Calgary Int'L CS","01-May-2014 12:00","0.000","18.860","19.080","18.090","30.630","","","","","","0.000","18.630","558.889","","","0.320","0.956","","18.860"
"Calgary Int'L CS","01-May-2014 13:00","0.000","19.920","19.920","18.730","30.620","","","","","","0.000","19.300","669.444","","","0.419","1.593","","19.920"
"Calgary Int'L CS","01-May-2014 14:00","0.000","20.180","20.950","19.600","29.840","","","","","","0.000","20.070","727.500","","","0.224","2.054","","20.180"
"Calgary Int'L CS","01-May-2014 15:00","0.000","19.570","21.450","19.470","30.790","","","","","","0.000","20.190","565.833","","","0.097","2.654","","19.570"
"Calgary Int'L CS","01-May-2014 16:00","0.000","19.160","20.600","18.090","34.110","","","","","","0.000","19.000","369.167","","","0.298","3.126","","19.160"
