"Station Name","Date (Local Standard Time)","Precip. (mm)","Air Temp. Inst. (°C)","Air Temp. Max. (°C)","Air Temp. Min. (°C)","Humidity Inst. (%)","Humidity Ave. (%)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (°)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (°)","Precip. Accumulated (mm)","Air Temp. Ave. (°C)","Incoming Solar Rad. (W/m2)","Peak Wind Speed 10 m (km/h)","Wind Dir. Peak 10 m (°)","Snow Depth (cm)","Est. Dew Point Temp. (°C)","Wind Chill (°C)","Humidex (°C)"
"Calgary Int'L CS","01-January-2013 00:00","0.000","-4.907","-4.607","-5.112","74.300","","","","","","0.000","","0.000","","","19.630","-8.718","","-4.907"
"Calgary Int'L CS","01-January-2013 01:00","0.000","-4.843","-4.392","-4.920","76.100","","","","","","0.000","","0.000","","","19.660","-8.214","","-4.843"
"Calgary Int'L CS","01-January-2013 02:00","0.000","-3.257","-3.248","-4.850","73.600","","","","","","0.000","","0.000","","","19.720","-8.056","","-3.257"
"Calgary Int'L CS","01-January-2013 03:00","0.000","-2.495","-2.495","-3.962","72.600","","","","","","0.000","","0.000","","","19.660","-7.440","","-2.495"
"Calgary Int'L CS","01-January-2013 04:00","0.000","-0.056","1.256","-2.467","73.000","","","","","","0.000","","0.556","","","19.690","-4.838","","-0.056"
"Calgary Int'L CS","01-January-2013 05:00","0.000","-2.178","-0.073","-2.291","86.000","","","","","","0.000","","0.000","","","19.690","-3.220","","-2.178"
"Calgary Int'L CS","01-January-2013 06:00","0.000","-3.611","-2.168","-4.029","76.200","","","","","","0.000","","0.000","","","19.540","-6.687","","-3.611"
"Calgary Int'L CS","01-January-2013 07:00","0.000","-3.815","-2.700","-4.780","71.500","","","","","","0.000","","0.000","","","19.530","-8.129","","-3.815"
"Calgary Int'L CS","01-January-2013 08:00","0.000","-7.780","-3.826","-7.780","73.300","","","","","","0.000","","0.000","","","19.400","-9.802","","-7.780"
"Calgary Int'L CS","01-January-2013 09:00","0.000","-5.826","-5.315","-8.310","61.210","","","","","","0.000","","4.722","","","19.490","-13.016","","-5.826"
"Calgary Int'L CS","01-January-2013 10:00","0.000","-4.579","-4.401","-6.195","52.590","","","","","","0.000","","75.278","","","19.400","-13.456","","-4.579"
"Calgary Int'L CS","01-January-2013 11:00","0.000","-3.652","-3.648","-4.693","48.170","","","","","","0.000","","172.779","","","19.400","-13.487","","-3.652"
"Calgary Int'L CS","01-January-2013 12:00","0.000","-1.195","-1.053","-3.831","39.210","","","","","","0.000","","236.391","","","19.300","-14.422","","-1.195"
"Calgary Int'L CS","01-January-2013 13:00","0.000","-0.540","0.098","-1.326","41.330","","","","","","0.000","","271.669","","","19.330","-12.125","","-0.540"
"Calgary Int'L CS","01-January-2013 14:00","0.000","-0.247","0.256","-0.727","40.580","","","","","","0.000","","260.558","","","19.310","-12.010","","-0.247"
"Calgary Int'L CS","01-January-2013 15:00","0.000","0.028","0.260","-0.457","38.020","","","","","","0.000","","201.390","","","19.410","-12.693","","0.028"
"Calgary Int'L CS","01-January-2013 16:00","0.000","-0.495","0.114","-0.583","38.270","","","","","","0.000","","96.112","","","19.320","-12.734","","-0.495"
"Calgary Int'L CS","01-January-2013 17:00","0.000","-2.309","-0.421","-2.738","44.680","","","","","","0.000","","8.611","","","19.370","-12.037","","-2.309"
"Calgary Int'L CS","01-January-2013 18:00","0.000","-5.065","-2.310","-5.065","52.090","","","","","","0.000","","0.000","","","19.360","-12.076","","-5.065"
"Calgary Int'L CS","01-January-2013 19:00","0.000","-5.837","-4.866","-6.996","55.660","","","","","","0.000","","0.000","","","19.660","-13.352","","-5.837"
"Calgary Int'L CS","01-January-2013 20:00","0.000","-7.180","-5.694","-8.440","54.780","","","","","","0.000","","0.000","","","18.960","-14.610","","-7.180"
"Calgary Int'L CS","01-January-2013 21:00","0.000","-7.830","-7.200","-7.850","64.040","","","","","","0.000","","0.000","","","19.470","-13.137","","-7.830"
"Calgary Int'L CS","01-January-2013 22:00","0.000","-7.030","-6.433","-8.410","58.350","","","","","","0.000","","0.000","","","19.300","-14.176","","-7.030"
"Calgary Int'L CS","01-January-2013 23:00","0.000","-6.019","-5.828","-7.080","51.450","","","","","","0.000","","0.000","","","19.420","-14.798","","-6.019"
"Calgary Int'L CS","02-January-2013 00:00","0.000","-8.380","-5.841","-9.590","59.880","","","","","","0.000","","0.000","","","19.390","-14.139","","-8.380"
"Calgary Int'L CS","02-January-2013 01:00","0.000","-3.820","-3.811","-8.450","45.780","","","","","","0.000","","0.000","","","19.450","-15.906","","-3.820"
"Calgary Int'L CS","02-January-2013 02:00","0.000","-3.831","-2.868","-4.388","46.720","","","","","","0.000","","0.000","","","19.410","-13.362","","-3.831"
"Calgary Int'L CS","02-January-2013 03:00","0.000","-6.560","-3.757","-7.960","55.250","","","","","","0.000","","0.000","","","19.530","-13.375","","-6.560"
"Calgary Int'L CS","02-January-2013 04:00","0.000","-9.800","-6.573","-9.810","65.920","","","","","","0.000","","0.000","","","19.350","-13.417","","-9.800"
"Calgary Int'L CS","02-January-2013 05:00","0.000","-8.640","-8.460","-9.810","63.980","","","","","","0.000","","0.000","","","19.400","-14.681","","-8.640"
"Calgary Int'L CS","02-January-2013 06:00","0.000","-10.140","-8.580","-10.230","66.140","","","","","","0.000","","0.000","","","19.250","-14.536","","-10.140"
"Calgary Int'L CS","02-January-2013 07:00","0.000","-8.560","-8.560","-10.300","65.350","","","","","","0.000","","0.000","","","19.360","-14.705","","-8.560"
"Calgary Int'L CS","02-January-2013 08:00","0.000","-10.160","-8.430","-10.760","68.310","","","","","","0.000","","0.000","","","19.420","-14.325","","-10.160"
"Calgary Int'L CS","02-January-2013 09:00","0.000","-9.970","-9.970","-10.690","68.090","","","","","","0.000","","5.556","","","19.410","-15.069","","-9.970"
"Calgary Int'L CS","02-January-2013 10:00","0.000","-8.490","-8.450","-10.390","63.910","","","","","","0.000","","87.223","","","19.410","-14.965","","-8.490"
"Calgary Int'L CS","02-January-2013 11:00","0.000","-6.407","-6.407","-8.590","59.880","","","","","","0.000","","162.501","","","19.460","-13.934","","-6.407"
"Calgary Int'L CS","02-January-2013 12:00","0.000","-4.348","-4.348","-6.404","55.690","","","","","","0.000","","221.113","","","19.410","-12.826","","-4.348"
"Calgary Int'L CS","02-January-2013 13:00","0.000","-2.509","-2.461","-4.342","51.600","","","","","","0.000","","274.724","","","19.390","-11.928","","-2.509"
"Calgary Int'L CS","02-January-2013 14:00","0.000","-1.886","-1.515","-2.508","50.160","","","","","","0.000","","240.280","","","19.350","-10.992","","-1.886"
"Calgary Int'L CS","02-January-2013 15:00","0.000","-1.685","-0.659","-1.884","50.120","","","","","","0.000","","187.501","","","19.220","-10.317","","-1.685"
"Calgary Int'L CS","02-January-2013 16:00","0.000","-2.502","-1.451","-2.502","52.030","","","","","","0.000","","79.445","","","19.290","-10.500","","-2.502"
"Calgary Int'L CS","02-January-2013 17:00","0.000","-3.973","-2.480","-4.107","56.640","","","","","","0.000","","14.722","","","19.340","-10.663","","-3.973"
"Calgary Int'L CS","02-January-2013 18:00","0.000","-3.657","-3.174","-5.072","56.690","","","","","","0.000","","0.000","","","19.340","-11.430","","-3.657"
"Calgary Int'L CS","02-January-2013 19:00","0.000","-5.030","-3.574","-5.432","63.450","","","","","","0.000","","0.000","","","19.460","-10.378","","-5.030"
"Calgary Int'L CS","02-January-2013 20:00","0.000","-4.704","-3.457","-5.644","57.310","","","","","","0.000","","0.000","","","19.010","-11.696","","-4.704"
"Calgary Int'L CS","02-January-2013 21:00","0.000","-5.420","-4.482","-6.024","59.660","","","","","","0.000","","0.000","","","19.170","-11.858","","-5.420"
"Calgary Int'L CS","02-January-2013 22:00","0.000","-4.423","-3.295","-5.785","56.270","","","","","","0.000","","0.000","","","19.340","-11.914","","-4.423"
"Calgary Int'L CS","02-January-2013 23:00","0.000","5.710","5.744","-5.437","24.300","","","","","","0.000","","0.000","","","19.540","-17.866","","5.710"
"Calgary Int'L CS","03-January-2013 00:00","0.000","7.250","8.160","4.496","23.810","","","","","","0.000","","0.556","","","19.310","-12.853","","7.250"
"Calgary Int'L CS","03-January-2013 01:00","0.000","8.230","8.260","7.140","22.350","","","","","","0.000","","0.000","","","19.300","-12.474","","8.230"
"Calgary Int'L CS","03-January-2013 02:00","0.000","7.340","8.400","6.557","24.370","","","","","","0.000","","0.000","","","19.210","-11.588","","7.340"
"Calgary Int'L CS","03-January-2013 03:00","0.000","7.460","8.630","6.793","24.610","","","","","","0.000","","0.000","","","19.100","-11.267","","7.460"
"Calgary Int'L CS","03-January-2013 04:00","0.000","2.213","7.590","2.213","36.070","","","","","","0.000","","0.000","","","18.780","-8.887","","2.213"
"Calgary Int'L CS","03-January-2013 05:00","0.000","3.428","3.428","0.613","31.030","","","","","","0.000","","0.000","","","19.220","-13.313","","3.428"
"Calgary Int'L CS","03-January-2013 06:00","0.000","4.115","4.893","2.087","27.430","","","","","","0.000","","0.000","","","19.020","-13.546","","4.115"
"Calgary Int'L CS","03-January-2013 07:00","0.000","4.952","5.491","2.407","28.980","","","","","","0.000","","0.000","","","19.080","-12.472","","4.952"
"Calgary Int'L CS","03-January-2013 08:00","0.000","5.429","5.429","3.522","27.350","","","","","","0.000","","0.020","","","19.130","-12.731","","5.429"
"Calgary Int'L CS","03-January-2013 09:00","0.000","5.420","5.919","3.713","29.820","","","","","","0.000","","4.167","","","19.040","-11.363","","5.420"
"Calgary Int'L CS","03-January-2013 10:00","0.000","5.024","6.699","3.695","31.010","","","","","","0.000","","107.501","","","18.850","-10.541","","5.024"
"Calgary Int'L CS","03-January-2013 11:00","0.000","7.190","7.420","4.923","28.940","","","","","","0.000","","236.669","","","18.970","-10.560","","7.190"
"Calgary Int'L CS","03-January-2013 12:00","0.000","7.350","8.450","6.527","27.270","","","","","","0.000","","306.947","","","18.990","-10.170","","7.350"
"Calgary Int'L CS","03-January-2013 13:00","0.000","5.417","7.590","5.417","33.870","","","","","","0.000","","213.335","","","18.720","-8.273","","5.417"
"Calgary Int'L CS","03-January-2013 14:00","0.000","0.480","5.616","0.480","52.760","","","","","","0.000","","128.057","","","18.730","-5.654","","0.480"
"Calgary Int'L CS","03-January-2013 15:00","0.000","-0.265","0.466","-1.089","48.570","","","","","","0.000","","59.723","","","18.790","-9.828","","-0.265"
"Calgary Int'L CS","03-January-2013 16:00","0.000","-1.696","0.291","-3.629","56.650","","","","","","0.000","","54.445","","","19.010","-9.137","","-1.696"
"Calgary Int'L CS","03-January-2013 17:00","0.000","-2.399","2.571","-2.399","57.970","","","","","","0.000","","13.889","","","18.820","-7.194","","-2.399"
"Calgary Int'L CS","03-January-2013 18:00","0.000","-2.647","-0.253","-3.178","52.740","","","","","","0.000","","0.000","","","18.890","-10.087","","-2.647"
"Calgary Int'L CS","03-January-2013 19:00","0.000","-3.634","-2.261","-3.923","54.380","","","","","","0.000","","0.000","","","18.670","-10.985","","-3.634"
"Calgary Int'L CS","03-January-2013 20:00","0.000","-6.167","-3.600","-6.449","63.860","","","","","","0.000","","0.000","","","18.810","-10.792","","-6.167"
"Calgary Int'L CS","03-January-2013 21:00","0.000","-7.440","-5.857","-8.160","66.470","","","","","","0.000","","0.000","","","18.890","-12.184","","-7.440"
"Calgary Int'L CS","03-January-2013 22:00","0.000","-7.960","-6.549","-8.420","67.650","","","","","","0.000","","0.000","","","18.860","-12.422","","-7.960"
"Calgary Int'L CS","03-January-2013 23:00","0.000","-8.500","-7.670","-8.590","69.050","","","","","","0.000","","0.000","","","18.770","-12.788","","-8.500"
"Calgary Int'L CS","04-January-2013 00:00","0.000","-9.020","-7.830","-10.090","74.600","","","","","","0.000","","0.000","","","18.890","-12.635","","-9.020"
"Calgary Int'L CS","04-January-2013 01:00","0.000","-8.760","-8.020","-9.260","73.600","","","","","","0.000","","0.000","","","18.940","-12.492","","-8.760"
"Calgary Int'L CS","04-January-2013 02:00","0.000","-9.700","-8.640","-11.020","73.600","","","","","","0.000","","0.000","","","18.780","-13.642","","-9.700"
"Calgary Int'L CS","04-January-2013 03:00","0.000","-8.140","-7.810","-9.700","72.000","","","","","","0.000","","0.000","","","18.670","-12.874","","-8.140"
"Calgary Int'L CS","04-January-2013 04:00","0.000","-9.740","-8.150","-9.740","73.600","","","","","","0.000","","0.000","","","18.750","-12.787","","-9.740"
"Calgary Int'L CS","04-January-2013 05:00","0.000","-5.822","-5.822","-10.060","71.500","","","","","","0.000","","0.000","","","19.380","-12.175","","-5.822"
"Calgary Int'L CS","04-January-2013 06:00","0.000","1.578","1.578","-5.675","42.280","","","","","","0.000","","1.667","","","18.960","-13.145","","1.578"
"Calgary Int'L CS","04-January-2013 07:00","0.000","2.522","2.930","1.632","39.970","","","","","","0.000","","0.000","","","18.820","-9.930","","2.522"
"Calgary Int'L CS","04-January-2013 08:00","0.000","2.261","2.501","1.154","42.180","","","","","","0.000","","0.000","","","18.970","-9.659","","2.261"
