"Station Name","Date (Local Standard Time)","Precip. (mm)","Air Temp. Inst. (°C)","Air Temp. Max. (°C)","Air Temp. Min. (°C)","Humidity Inst. (%)","Humidity Ave. (%)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (°)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (°)","Precip. Accumulated (mm)","Air Temp. Ave. (°C)","Incoming Solar Rad. (W/m2)","Peak Wind Speed 10 m (km/h)","Wind Dir. Peak 10 m (°)","Snow Depth (cm)","Est. Dew Point Temp. (°C)","Wind Chill (°C)","Humidex (°C)"
"Calgary Int'L CS","01-January-2014 00:00","0.000","-3.128","-2.995","-3.981","96.400","","","","","","0.000","-3.402","0.000","","","17.230","-3.977","","-3.128"
"Calgary Int'L CS","01-January-2014 01:00","0.200","-2.731","-2.556","-3.203","97.200","","","","","","0.200","-2.833","0.000","","","14.520","-3.260","","-2.731"
"Calgary Int'L CS","01-January-2014 02:00","0.100","-3.211","-2.682","-3.523","96.900","","","","","","0.300","-3.250","0.000","","","15.850","-3.524","","-3.211"
"Calgary Int'L CS","01-January-2014 03:00","0.000","-2.737","-2.736","-3.325","96.400","","","","","","0.300","-3.109","0.000","","","17.800","-3.521","","-2.737"
"Calgary Int'L CS","01-January-2014 04:00","0.100","-2.515","-2.406","-2.754","96.800","","","","","","0.400","-2.559","0.000","","","16.150","-3.017","","-2.515"
"Calgary Int'L CS","01-January-2014 05:00","0.100","-3.130","-2.496","-3.388","96.700","","","","","","0.500","-2.901","0.000","","","17.750","-3.392","","-3.130"
"Calgary Int'L CS","01-January-2014 06:00","0.000","-3.960","-3.076","-4.526","95.900","","","","","","0.500","-3.856","0.000","","","17.500","-4.358","","-3.960"
"Calgary Int'L CS","01-January-2014 07:00","0.000","-4.339","-3.794","-4.682","93.400","","","","","","0.500","-4.253","0.000","","","17.870","-5.141","","-4.339"
"Calgary Int'L CS","01-January-2014 08:00","0.000","-5.410","-4.292","-5.410","91.300","","","","","","0.500","-4.810","0.000","","","17.900","-6.047","","-5.410"
"Calgary Int'L CS","01-January-2014 09:00","0.000","-6.416","-5.248","-6.416","91.200","","","","","","0.500","-5.802","0.556","","","18.130","-7.032","","-6.416"
"Calgary Int'L CS","01-January-2014 10:00","0.100","-6.383","-6.133","-7.330","89.800","","","","","","0.600","-6.622","23.611","","","17.920","-8.121","","-6.383"
"Calgary Int'L CS","01-January-2014 11:00","0.000","-4.902","-4.894","-6.815","84.200","","","","","","0.600","-6.003","53.611","","","17.900","-8.085","","-4.902"
"Calgary Int'L CS","01-January-2014 12:00","0.000","-4.318","-4.025","-5.316","79.800","","","","","","0.600","-4.648","80.833","","","17.770","-7.618","","-4.318"
"Calgary Int'L CS","01-January-2014 13:00","0.000","-2.849","-2.532","-4.325","75.600","","","","","","0.600","-3.540","116.944","","","17.790","-7.109","","-2.849"
"Calgary Int'L CS","01-January-2014 14:00","0.000","-2.007","-1.700","-3.305","72.200","","","","","","0.600","-2.391","181.944","","","17.720","-6.811","","-2.007"
"Calgary Int'L CS","01-January-2014 15:00","0.000","-1.716","-0.724","-2.416","67.330","","","","","","0.600","-1.528","134.444","","","17.870","-6.823","","-1.716"
"Calgary Int'L CS","01-January-2014 16:00","0.000","-3.905","-1.270","-3.905","79.100","","","","","","0.600","-2.690","46.944","","","17.720","-5.703","","-3.905"
"Calgary Int'L CS","01-January-2014 17:00","0.000","-4.303","-3.545","-5.044","85.300","","","","","","0.600","-4.176","5.278","","","17.800","-6.386","","-4.303"
"Calgary Int'L CS","01-January-2014 18:00","0.000","-5.849","-4.194","-7.290","89.300","","","","","","0.600","-5.099","0.000","","","17.870","-7.216","","-5.849"
"Calgary Int'L CS","01-January-2014 19:00","0.000","-5.714","-5.193","-6.443","91.400","","","","","","0.600","-5.854","0.000","","","17.660","-6.990","","-5.714"
"Calgary Int'L CS","01-January-2014 20:00","0.000","-6.559","-5.715","-7.480","91.700","","","","","","0.600","-6.839","0.000","","","17.730","-7.719","","-6.559"
"Calgary Int'L CS","01-January-2014 21:00","0.000","-6.284","-5.948","-7.110","88.400","","","","","","0.600","-6.490","0.000","","","17.470","-8.123","","-6.284"
