"Station Name","Date (Local Standard Time)","Precip. (mm)","Air Temp. Inst. (°C)","Air Temp. Max. (°C)","Air Temp. Min. (°C)","Humidity Inst. (%)","Humidity Ave. (%)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (°)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (°)","Precip. Accumulated (mm)","Air Temp. Ave. (°C)","Incoming Solar Rad. (W/m2)","Peak Wind Speed 10 m (km/h)","Wind Dir. Peak 10 m (°)","Snow Depth (cm)","Est. Dew Point Temp. (°C)","Wind Chill (°C)","Humidex (°C)"
"Calgary Int'L CS","01-September-2008 00:00","0.000","5.996","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","01-September-2008 01:00","0.000","5.793","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","01-September-2008 02:00","0.000","5.723","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","01-September-2008 03:00","0.000","5.524","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","01-September-2008 04:00","0.000","4.907","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","01-September-2008 05:00","0.000","4.197","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","01-September-2008 06:00","0.000","3.468","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","01-September-2008 07:00","0.000","3.907","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","01-September-2008 08:00","0.000","6.477","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","01-September-2008 09:00","0.000","8.200","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","01-September-2008 10:00","0.000","8.460","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","01-September-2008 11:00","0.200","10.080","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","01-September-2008 12:00","0.000","10.530","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","01-September-2008 13:00","0.000","11.350","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","01-September-2008 14:00","0.000","12.890","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","01-September-2008 15:00","0.000","11.780","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","01-September-2008 16:00","0.000","12.060","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","01-September-2008 17:00","0.000","12.820","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","01-September-2008 18:00","0.000","11.660","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","01-September-2008 19:00","0.000","9.790","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","01-September-2008 20:00","0.000","7.970","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","01-September-2008 21:00","0.000","7.920","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","01-September-2008 22:00","0.000","7.160","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","01-September-2008 23:00","0.000","5.590","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","02-September-2008 00:00","0.000","5.013","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","02-September-2008 01:00","0.000","4.236","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","02-September-2008 02:00","0.000","3.899","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","02-September-2008 03:00","0.000","3.193","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","02-September-2008 04:00","0.000","2.761","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","02-September-2008 05:00","0.000","2.369","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","02-September-2008 06:00","0.000","2.064","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","02-September-2008 07:00","0.000","3.706","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","02-September-2008 08:00","0.000","6.997","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","02-September-2008 09:00","0.000","9.650","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","02-September-2008 10:00","0.000","13.190","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","02-September-2008 11:00","0.200","16.010","","","","","","","","","0.400","","","","","","","",""
"Calgary Int'L CS","02-September-2008 12:00","0.000","16.390","","","","","","","","","0.400","","","","","","","",""
"Calgary Int'L CS","02-September-2008 13:00","0.000","17.570","","","","","","","","","0.400","","","","","","","",""
"Calgary Int'L CS","02-September-2008 14:00","0.000","16.370","","","","","","","","","0.400","","","","","","","",""
"Calgary Int'L CS","02-September-2008 15:00","0.000","17.360","","","","","","","","","0.400","","","","","","","",""
"Calgary Int'L CS","02-September-2008 16:00","0.000","16.530","","","","","","","","","0.400","","","","","","","",""
"Calgary Int'L CS","02-September-2008 17:00","0.000","16.710","","","","","","","","","0.400","","","","","","","",""
"Calgary Int'L CS","02-September-2008 18:00","0.000","16.200","","","","","","","","","0.400","","","","","","","",""
"Calgary Int'L CS","02-September-2008 19:00","0.200","13.380","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","02-September-2008 20:00","0.000","12.430","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","02-September-2008 21:00","0.000","11.830","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","02-September-2008 22:00","0.000","10.040","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","02-September-2008 23:00","0.000","7.880","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","03-September-2008 00:00","0.000","7.670","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","03-September-2008 01:00","0.000","6.900","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","03-September-2008 02:00","0.000","6.726","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","03-September-2008 03:00","0.000","7.770","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","03-September-2008 04:00","0.000","6.559","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","03-September-2008 05:00","0.000","5.761","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","03-September-2008 06:00","0.000","6.648","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","03-September-2008 07:00","0.000","7.310","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","03-September-2008 08:00","0.000","9.190","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","03-September-2008 09:00","0.000","10.900","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","03-September-2008 10:00","0.000","11.220","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","03-September-2008 11:00","0.000","13.120","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","03-September-2008 12:00","0.000","13.720","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","03-September-2008 13:00","0.000","12.800","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","03-September-2008 14:00","0.000","12.610","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","03-September-2008 15:00","0.000","11.190","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","03-September-2008 16:00","0.000","9.920","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","03-September-2008 17:00","0.000","8.920","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","03-September-2008 18:00","0.000","9.010","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","03-September-2008 19:00","0.000","8.430","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","03-September-2008 20:00","0.000","7.060","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","03-September-2008 21:00","0.000","6.859","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","03-September-2008 22:00","0.000","6.374","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","03-September-2008 23:00","0.000","4.964","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","04-September-2008 00:00","0.000","4.057","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","04-September-2008 01:00","0.000","3.164","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","04-September-2008 02:00","0.000","3.546","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","04-September-2008 03:00","0.000","3.055","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","04-September-2008 04:00","0.000","3.075","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","04-September-2008 05:00","0.000","2.550","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","04-September-2008 06:00","0.000","2.213","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","04-September-2008 07:00","0.000","3.678","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","04-September-2008 08:00","0.000","7.130","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","04-September-2008 09:00","0.000","10.200","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","04-September-2008 10:00","0.000","12.500","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","04-September-2008 11:00","0.000","13.240","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","04-September-2008 12:00","0.000","14.490","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","04-September-2008 13:00","0.000","13.720","","","","","","","","","0.600","","","","","","","",""
"Calgary Int'L CS","04-September-2008 14:00","0.200","14.440","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","04-September-2008 15:00","0.000","14.300","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","04-September-2008 16:00","0.000","15.700","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","04-September-2008 17:00","0.000","15.780","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","04-September-2008 18:00","0.000","14.070","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","04-September-2008 19:00","0.000","12.650","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","04-September-2008 20:00","0.000","11.020","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","04-September-2008 21:00","0.000","11.330","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","04-September-2008 22:00","0.000","10.800","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","04-September-2008 23:00","0.000","11.250","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","05-September-2008 00:00","0.000","9.640","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","05-September-2008 01:00","0.000","8.920","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","05-September-2008 02:00","0.000","6.811","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","05-September-2008 03:00","0.000","6.220","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","05-September-2008 04:00","0.000","5.906","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","05-September-2008 05:00","0.000","4.648","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","05-September-2008 06:00","0.000","4.199","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","05-September-2008 07:00","0.000","5.460","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","05-September-2008 08:00","0.000","7.590","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","05-September-2008 09:00","0.000","10.200","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","05-September-2008 10:00","0.000","12.180","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","05-September-2008 11:00","0.000","13.690","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","05-September-2008 12:00","0.000","13.880","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","05-September-2008 13:00","0.000","15.660","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","05-September-2008 14:00","0.000","16.100","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","05-September-2008 15:00","0.000","14.910","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","05-September-2008 16:00","0.000","13.690","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","05-September-2008 17:00","0.000","11.560","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","05-September-2008 18:00","0.000","11.740","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","05-September-2008 19:00","0.000","9.340","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","05-September-2008 20:00","0.000","8.480","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","05-September-2008 21:00","0.000","8.580","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","05-September-2008 22:00","0.000","9.010","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","05-September-2008 23:00","0.000","8.880","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","06-September-2008 00:00","0.000","8.210","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","06-September-2008 01:00","0.000","7.330","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","06-September-2008 02:00","0.000","5.403","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","06-September-2008 03:00","0.000","5.767","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","06-September-2008 04:00","0.000","4.192","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","06-September-2008 05:00","0.000","2.896","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","06-September-2008 06:00","0.000","4.062","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","06-September-2008 07:00","0.000","5.257","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","06-September-2008 08:00","0.000","8.020","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","06-September-2008 09:00","0.000","10.650","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","06-September-2008 10:00","0.000","12.040","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","06-September-2008 11:00","0.000","12.290","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","06-September-2008 12:00","0.000","12.860","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","06-September-2008 13:00","0.000","14.120","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","06-September-2008 14:00","0.000","14.390","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","06-September-2008 15:00","0.000","14.110","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","06-September-2008 16:00","0.000","13.920","","","","","","","","","0.800","","","","","","","",""
"Calgary Int'L CS","06-September-2008 17:00","0.200","10.210","","","","","","","","","1.000","","","","","","","",""
"Calgary Int'L CS","06-September-2008 18:00","0.000","9.010","","","","","","","","","1.000","","","","","","","",""
"Calgary Int'L CS","06-September-2008 19:00","0.000","9.390","","","","","","","","","1.000","","","","","","","",""
"Calgary Int'L CS","06-September-2008 20:00","0.000","7.460","","","","","","","","","1.000","","","","","","","",""
"Calgary Int'L CS","06-September-2008 21:00","0.000","7.870","","","","","","","","","1.000","","","","","","","",""
"Calgary Int'L CS","06-September-2008 22:00","0.000","7.380","","","","","","","","","1.000","","","","","","","",""
"Calgary Int'L CS","06-September-2008 23:00","0.000","6.016","","","","","","","","","1.000","","","","","","","",""
