"Station Name","Date (Local Standard Time)","Precip. (mm)","Air Temp. Inst. (°C)","Air Temp. Max. (°C)","Air Temp. Min. (°C)","Humidity Inst. (%)","Humidity Ave. (%)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (°)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (°)","Precip. Accumulated (mm)","Air Temp. Ave. (°C)","Incoming Solar Rad. (W/m2)","Peak Wind Speed 10 m (km/h)","Wind Dir. Peak 10 m (°)","Snow Depth (cm)","Est. Dew Point Temp. (°C)","Wind Chill (°C)","Humidex (°C)"
"Calgary Int'L CS","01-January-2017 00:00","0.100","-9.070","-7.850","-9.100","90.000","","23.868","52.170","24.095","50.400","0.100","-8.540","0.000","31.392","50.770","12.420","-9.816","-17.381","-9.070"
"Calgary Int'L CS","01-January-2017 01:00","0.100","-9.700","-9.070","-9.710","88.700","","21.578","33.970","22.140","35.130","0.200","-9.440","0.000","30.276","36.050","9.220","-10.903","-17.782","-9.700"
"Calgary Int'L CS","01-January-2017 02:00","0.000","-10.030","-9.680","-10.030","87.600","","22.504","20.360","20.506","28.020","0.200","-9.790","0.000","31.320","16.070","8.750","-11.517","-18.371","-10.030"
"Calgary Int'L CS","01-January-2017 03:00","0.100","-10.570","-10.030","-10.570","88.000","","23.299","11.500","24.653","16.050","0.300","-10.340","0.000","31.752","9.500","7.290","-11.899","-19.201","-10.570"
"Calgary Int'L CS","01-January-2017 04:00","0.300","-11.410","-10.570","-11.410","86.700","","24.840","19.390","24.880","13.780","0.600","-11.000","0.000","33.012","19.660","7.150","-12.763","-20.545","-11.410"
"Calgary Int'L CS","01-January-2017 05:00","0.100","-12.010","-11.390","-12.020","87.400","","17.356","18.410","21.380","21.050","0.700","-11.740","0.000","30.420","9.980","6.663","-13.368","-19.812","-12.010"
"Calgary Int'L CS","01-January-2017 06:00","0.100","-12.370","-11.980","-12.370","84.200","","20.934","7.875","19.832","7.500","0.800","-12.140","0.000","31.176","2.357","7.512","-14.286","-21.044","-12.370"
"Calgary Int'L CS","01-January-2017 07:00","0.000","-12.370","-12.370","-12.610","86.700","","16.978","2.107","18.605","8.900","0.800","-12.500","0.000","27.097","19.210","8.040","-14.240","-20.171","-12.370"
"Calgary Int'L CS","01-January-2017 08:00","0.000","-12.000","-11.940","-12.380","87.600","","20.376","17.820","19.231","12.830","0.800","-12.130","0.000","28.508","21.260","8.840","-13.789","-20.462","-12.000"
"Calgary Int'L CS","01-January-2017 09:00","0.000","-11.580","-11.580","-12.020","83.300","","25.664","3.596","21.859","10.660","0.800","-11.780","0.833","34.308","3.041","10.120","-14.049","-20.904","-11.580"
"Calgary Int'L CS","01-January-2017 10:00","0.000","-12.010","-11.570","-12.020","83.200","","27.828","13.260","29.052","12.230","0.800","-11.820","31.667","41.364","14.730","9.490","-14.059","-21.811","-12.010"
"Calgary Int'L CS","01-January-2017 11:00","0.000","-11.870","-11.820","-12.100","79.140","","24.322","358.600","28.523","9.770","0.800","-12.000","75.556","40.356","21.180","8.380","-14.827","-21.046","-11.870"
"Calgary Int'L CS","01-January-2017 12:00","0.000","-11.760","-11.740","-11.930","76.690","","24.080","4.948","25.844","2.905","0.800","-11.840","105.278","37.836","348.200","7.271","-15.086","-20.862","-11.760"
"Calgary Int'L CS","01-January-2017 13:00","0.000","-11.790","-11.700","-11.830","72.480","","22.147","10.030","24.404","6.832","0.800","-11.780","125.833","33.948","13.840","7.203","-15.698","-20.545","-11.790"
"Calgary Int'L CS","01-January-2017 14:00","0.000","-11.780","-11.680","-11.880","71.770","","18.544","14.350","19.764","0.611","0.800","-11.800","103.889","31.392","352.600","7.165","-15.830","-19.795","-11.780"
"Calgary Int'L CS","01-January-2017 15:00","0.000","-11.850","-11.780","-12.010","72.850","","14.771","353.600","15.865","14.980","0.800","-11.910","76.111","22.298","24.540","7.133","-15.762","-18.967","-11.850"
"Calgary Int'L CS","01-January-2017 16:00","0.000","-11.900","-11.800","-11.930","69.860","","11.380","339.500","13.475","353.300","0.800","-11.870","47.222","20.394","351.600","7.078","-16.235","-18.017","-11.900"
"Calgary Int'L CS","01-January-2017 17:00","0.000","-12.060","-11.900","-12.090","76.070","","10.044","351.200","11.466","349.600","0.800","-11.980","6.389","17.287","345.300","7.059","-15.339","-17.738","-12.060"
"Calgary Int'L CS","01-January-2017 18:00","0.000","-12.910","-12.060","-12.910","81.300","","18.029","26.400","16.258","11.630","0.800","-12.400","0.000","26.600","22.370","7.040","-15.014","-21.094","-12.910"
"Calgary Int'L CS","01-January-2017 19:00","0.000","-13.110","-12.900","-13.630","75.730","","13.864","1.177","15.743","12.960","0.800","-13.230","0.000","22.086","16.810","7.017","-16.625","-20.261","-13.110"
"Calgary Int'L CS","01-January-2017 20:00","0.000","-13.680","-12.970","-13.680","75.020","","8.590","30.530","7.614","16.400","0.800","-13.170","0.000","15.030","345.900","6.899","-16.795","-19.074","-13.680"
"Calgary Int'L CS","01-January-2017 21:00","0.000","-14.240","-13.640","-14.420","77.360","","2.876","343.600","5.479","14.990","0.800","-13.890","0.000","9.526","25.950","6.750","-17.115","-16.256","-14.240"
"Calgary Int'L CS","01-January-2017 22:00","0.000","-16.570","-14.210","-17.230","84.400","","4.662","325.800","5.900","318.500","0.800","-15.780","0.000","10.091","315.000","6.788","-17.737","-20.131","-16.570"
"Calgary Int'L CS","01-January-2017 23:00","0.000","-18.240","-16.260","-18.730","87.400","","1.840","22.900","3.510","340.500","0.800","-17.350","0.000","6.844","329.400","6.453","-19.074","-19.728","-18.240"
"Calgary Int'L CS","02-January-2017 00:00","0.000","-20.580","-18.240","-21.470","83.400","","8.262","315.900","5.148","328.800","0.800","-20.110","0.000","11.570","313.300","6.549","-21.933","-27.051","-20.580"
