"Station Name","Date (Local Standard Time)","Precip. (mm)","Air Temp. Inst. (°C)","Air Temp. Max. (°C)","Air Temp. Min. (°C)","Humidity Inst. (%)","Humidity Ave. (%)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (°)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (°)","Precip. Accumulated (mm)","Air Temp. Ave. (°C)","Incoming Solar Rad. (W/m2)","Peak Wind Speed 10 m (km/h)","Wind Dir. Peak 10 m (°)","Snow Depth (cm)","Est. Dew Point Temp. (°C)","Wind Chill (°C)","Humidex (°C)"
"Calgary Int'L CS","01-November-2013 00:00","0.000","5.432","5.738","4.987","38.670","","","","","","0.000","5.324","0.000","","","5.025","-7.583","","5.432"
"Calgary Int'L CS","01-November-2013 01:00","0.000","5.232","5.447","4.867","38.980","","","","","","0.000","5.149","0.000","","","5.096","-7.664","","5.232"
"Calgary Int'L CS","01-November-2013 02:00","0.000","4.682","5.277","4.141","41.530","","","","","","0.000","4.556","0.000","","","5.128","-7.249","","4.682"
"Calgary Int'L CS","01-November-2013 03:00","0.000","3.414","4.802","3.272","46.320","","","","","","0.000","4.249","0.000","","","4.717","-6.443","","3.414"
"Calgary Int'L CS","01-November-2013 04:00","0.000","4.036","4.369","3.370","44.850","","","","","","0.000","4.051","0.000","","","4.575","-7.016","","4.036"
"Calgary Int'L CS","01-November-2013 05:00","0.000","4.158","4.698","3.935","43.220","","","","","","0.000","4.341","0.000","","","4.858","-7.089","","4.158"
"Calgary Int'L CS","01-November-2013 06:00","0.000","4.907","4.914","3.867","41.750","","","","","","0.000","4.368","0.000","","","5.127","-7.469","","4.907"
"Calgary Int'L CS","01-November-2013 07:00","0.000","4.732","5.188","4.364","43.850","","","","","","0.000","4.722","0.000","","","5.133","-6.483","","4.732"
"Calgary Int'L CS","01-November-2013 08:00","0.000","3.367","5.374","3.367","48.960","","","","","","0.000","4.683","5.278","","","4.896","-5.412","","3.367"
"Calgary Int'L CS","01-November-2013 09:00","0.000","6.051","6.051","2.192","43.750","","","","","","0.000","3.977","32.500","","","5.476","-7.108","","6.051"
"Calgary Int'L CS","01-November-2013 10:00","0.000","7.900","7.920","6.060","36.710","","","","","","0.000","7.390","226.389","","","4.892","-6.802","","7.900"
"Calgary Int'L CS","01-November-2013 11:00","0.000","9.360","9.380","7.900","31.850","","","","","","0.000","8.780","325.556","","","4.919","-7.187","","9.360"
"Calgary Int'L CS","01-November-2013 12:00","0.000","9.980","10.300","9.370","28.840","","","","","","0.000","9.780","390.000","","","5.219","-7.430","","9.980"
"Calgary Int'L CS","01-November-2013 13:00","0.000","10.020","10.520","9.600","28.420","","","","","","0.000","10.020","364.722","","","5.186","-7.425","","10.020"
"Calgary Int'L CS","01-November-2013 14:00","0.000","8.940","10.000","8.840","30.010","","","","","","0.000","9.180","206.944","","","5.134","-7.276","","8.940"
"Calgary Int'L CS","01-November-2013 15:00","0.000","8.910","9.150","8.900","30.140","","","","","","0.000","8.970","167.500","","","5.139","-7.564","","8.910"
"Calgary Int'L CS","01-November-2013 16:00","0.000","8.620","8.910","8.490","31.650","","","","","","0.000","8.740","100.000","","","5.079","-7.216","","8.620"
"Calgary Int'L CS","01-November-2013 17:00","0.000","6.630","8.690","6.629","35.570","","","","","","0.000","8.190","41.944","","","4.903","-6.617","","6.630"
"Calgary Int'L CS","01-November-2013 18:00","0.000","6.351","7.110","5.644","37.950","","","","","","0.000","6.380","1.310","","","4.999","-6.918","","6.351"
"Calgary Int'L CS","01-November-2013 19:00","0.000","6.055","6.402","5.544","40.450","","","","","","0.000","5.998","0.000","","","5.063","-6.451","","6.055"
"Calgary Int'L CS","01-November-2013 20:00","0.000","4.526","6.040","4.526","45.750","","","","","","0.000","5.268","0.000","","","4.858","-5.466","","4.526"
"Calgary Int'L CS","01-November-2013 21:00","0.000","5.093","5.095","4.241","42.390","","","","","","0.000","4.658","0.000","","","5.035","-7.021","","5.093"
