,h_μ,h_σ,i_μ,i_σ,o0_μ,o1_μ,o2_μ,o3_μ,o4_μ,o5_μ,o6_μ,o7_μ,o8_μ,o9_μ,o10_μ,o11_μ,o12_μ,o13_μ,o14_μ,o15_μ,o16_μ,o17_μ,o18_μ,o19_μ,o20_μ,o21_μ,o22_μ,o23_μ,o24_μ,o25_μ,o26_μ,o27_μ,o28_μ,o29_μ,o30_μ,o31_μ,o0_σ,o1_σ,o2_σ,o3_σ,o4_σ,o5_σ,o6_σ,o7_σ,o8_σ,o9_σ,o10_σ,o11_σ,o12_σ,o13_σ,o14_σ,o15_σ,o16_σ,o17_σ,o18_σ,o19_σ,o20_σ,o21_σ,o22_σ,o23_σ,o24_σ,o25_σ,o26_σ,o27_σ,o28_σ,o29_σ,o30_σ,o31_σ,d0_μ,d1_μ,d2_μ,d3_μ,d4_μ,d5_μ,d6_μ,d7_μ,d8_μ,d9_μ,d10_μ,d11_μ,d12_μ,d13_μ,d14_μ,d15_μ,d16_μ,d17_μ,d18_μ,d19_μ,d20_μ,d21_μ,d22_μ,d23_μ,d24_μ,d25_μ,d26_μ,d27_μ,d28_μ,d29_μ,d30_μ,d31_μ,d0_σ,d1_σ,d2_σ,d3_σ,d4_σ,d5_σ,d6_σ,d7_σ,d8_σ,d9_σ,d10_σ,d11_σ,d12_σ,d13_σ,d14_σ,d15_σ,d16_σ,d17_σ,d18_σ,d19_σ,d20_σ,d21_σ,d22_σ,d23_σ,d24_σ,d25_σ,d26_σ,d27_σ,d28_σ,d29_σ,d30_σ,d31_σ,day
0,0.25334972707194764,0.014819986855139834,1.0980161351477737,0.013233558378089691,0.004006797299607463,-0.016472983718309724,-0.1331868593651105,-0.14459906470823655,0.24739154411428982,0.17378041135060487,-0.0003125293860155669,-0.004721505234875778,0.07392692645160723,0.1160152871936663,0.126205878526845,-0.24642296372624525,0.039948174672177206,-0.11186694930576402,0.22091158268037014,0.06963711749370989,-0.4327887314966249,-0.08822648028125571,0.19967231529553855,-0.050231830122403454,0.014058486629353733,0.09643064410592847,0.406508223071303,-0.10423308013425149,-0.20194176775924597,-0.0072667809737672045,-0.09944854083621602,0.09127799972568694,-0.062270802791062965,0.22096804873237888,-0.17436188195276506,-0.22238668555091737,0.049938731608664765,0.050550391704687114,0.054055917346014164,0.05196595037583307,0.045978844089377545,0.046482561155805374,0.04839141979879467,0.048378617142406224,0.049716652318784464,0.045218891113617786,0.0473959404181902,0.0560808907883953,0.05025549295337573,0.052769780196740994,0.04566904109435035,0.04890796646215381,0.05875644285431048,0.051589516924574697,0.04625614003755324,0.05070523891559918,0.05166929785814045,0.050134138448042743,0.04253660798965204,0.05210790560978501,0.05827335226573809,0.051146624652587916,0.050982009241551544,0.04730643772837002,0.04962078363291226,0.04346244473464879,0.05401399404417782,0.05317933478860447,-0.3079273787359369,-0.22495318776745574,-0.047604352547736276,0.2232158885110928,-0.22063734487789727,0.0676807957708799,-0.17301125074965296,0.17164440455089328,-0.3120911403209829,0.11312814426192147,-0.13930490175865143,-0.13633641284359613,-0.18265950243605145,0.1356598480428541,-0.0007870911399807993,-0.10082250508590834,0.06275783807997798,0.20336008048104848,0.05037428677021915,0.1464745781899395,0.012925826849120062,0.16996150059904108,0.2644117378437462,-0.03634151456779934,-0.3579934071829981,0.017917507472241176,0.21657762034415212,-0.12174215573957403,0.10438067307601341,0.05341273234054707,0.20631164082803755,0.1420170417424964,0.04496344225559913,0.04721118367078703,0.050128428301886435,0.05547592715904867,0.04644192100100524,0.05238196429132233,0.04524376048894431,0.052151433596738565,0.04267591925574405,0.05173289996752349,0.047616642017773166,0.04673758940914004,0.04662009150017379,0.05291983163327407,0.050571217940848116,0.04659456718495768,0.04970365508932296,0.05550856006489386,0.05040702613966468,0.05273909456213656,0.04813094814939198,0.05481307147361258,0.05652500221853841,0.05015910016992621,0.04214174424177811,0.05206411923631305,0.05751178062732447,0.04513529200296933,0.051242427780445826,0.05258781695924693,0.05296968674017344,0.05587961639377155,7
1,0.25950539016583074,0.015018330036369655,1.0972599298607606,0.01303641660994405,6.220554501450607e-05,-0.01444122745428578,-0.13859875497328153,-0.15263965928972534,0.24453460275155328,0.17915356883287087,0.0027094711198053394,-0.009680589743308867,0.09417899596794575,0.11807989416773307,0.11754690194594257,-0.2567419722871604,0.04588896194407426,-0.12851115889388848,0.21449600651421588,0.0914029195013135,-0.44562479722815124,-0.10111836343063321,0.2046668306374951,-0.023220760009856733,0.012720336123737417,0.10650592796867314,0.4090167324103515,-0.09400430757832799,-0.20338581302939018,-0.018944569242189544,-0.11013742246444068,0.11418334668767702,-0.07008791561182974,0.21933290862237276,-0.18387983615057682,-0.2234624633537295,0.050737538345932254,0.052090058243528574,0.05604648054349344,0.05572025174659346,0.04726510410834447,0.047298705560551664,0.048633445316560366,0.05162574067704615,0.050238325433986694,0.04474778368650038,0.04734970401610934,0.05696816065859185,0.04992150528648894,0.052806832301276196,0.045548904005248185,0.048966358901160446,0.059730972656388,0.05195352777938046,0.04646977298574122,0.052522369011038524,0.05228914883400931,0.05021575449042847,0.04224198857378424,0.05499743993249567,0.060045475441064367,0.05313692981303345,0.049890272889561195,0.04642502038838663,0.051037074437639274,0.04499847821020163,0.053663412652103455,0.05258968051249761,-0.3028473819695546,-0.2290649760062824,-0.05449919073396298,0.22378527956267216,-0.21948705842106905,0.061876855014210204,-0.16078133220402588,0.16880770345519447,-0.3051981690279475,0.11852513653173913,-0.12577605503257253,-0.14437519820346356,-0.18793827379784186,0.11995289099135391,-0.009221352369111873,-0.08216187513896007,0.06586962657266747,0.20572940850458724,0.046061713934717655,0.1583827351513247,0.024520107633950173,0.16839223331118555,0.27690623155262667,-0.04669770420067167,-0.3532840867111446,0.017630788153948432,0.20549151133476154,-0.12459021733633735,0.10283407421112102,0.05378658111863858,0.20102277887401418,0.12634721524423295,0.04619918925799868,0.04814404757256959,0.052136676522354035,0.05629429987509067,0.04806603329110733,0.05366325058813473,0.04384255650949648,0.052547855500060206,0.0431967182487301,0.052987897162444765,0.04863241003981146,0.04773227685413177,0.04595993746396825,0.053522731590244704,0.051872718664690114,0.048559241405971273,0.05139248130033332,0.05793305834932529,0.051781558230167814,0.055320513975442694,0.049952972831203944,0.05557507435924135,0.05716486927050453,0.05392589795777186,0.042803385520128516,0.05296522465742745,0.057242997061400375,0.04734406782724265,0.0506326097895495,0.0516894291904452,0.05300436548837318,0.055290042168309544,8
2,0.26210288088978007,0.014906414568956522,1.093316257037378,0.013438634126179004,-0.002142756421319583,-0.004565170438180103,-0.13334523226375852,-0.16117515319838133,0.2300035500941925,0.17756836215087934,0.007800104653184189,-0.01284229415697078,0.11354488012565386,0.11950519396045886,0.10512408953384096,-0.2589469307803522,0.059749222328074766,-0.1494077740364746,0.20702877184644797,0.10478824292455209,-0.45505135504066363,-0.11154690719460035,0.21315187840924205,-0.014902575114217203,0.02481576289392077,0.10953723306412129,0.41188440594745623,-0.08321989726366966,-0.2092475952269147,-0.027401298740792796,-0.1248598265456302,0.13715307612132352,-0.07864431098259803,0.21970248872934392,-0.18881679154753608,-0.2252413938306326,0.053203388197649026,0.051797977368045874,0.0533318069794799,0.05596805108826313,0.048002480838107354,0.04674806306133778,0.048967979046573094,0.05086619310862933,0.05160339137268055,0.046503335447573506,0.04755692042129479,0.057558633258843216,0.049978677893526696,0.0550704269006296,0.04631478395082266,0.05087831648374173,0.05914811924266878,0.05411923483069707,0.04673317534459299,0.052425725521239086,0.05293907545364689,0.05145357582347188,0.04345409027136504,0.05366239982971075,0.05925606615065851,0.05299526904893572,0.05163780978705275,0.046011398972980774,0.05094356212089636,0.0469935612980977,0.05664199780150889,0.053027639894737126,-0.2993143957695279,-0.22932749502059785,-0.052550435718365714,0.23158564452063757,-0.2229863294148046,0.0688976653423591,-0.15018592747508028,0.15808106482824513,-0.29907401692931074,0.12051571931336594,-0.12012007640362626,-0.15365011491704894,-0.17739839204932042,0.09860172742829135,-0.019549488136768878,-0.06728805681487865,0.06779534852815332,0.2048101847895043,0.04639699043448348,0.1560825297355388,0.03191458475532448,0.17654682320716242,0.2851548800640196,-0.059521405655876006,-0.3491273598983298,0.016182512539964212,0.1908525797434275,-0.12343652843649562,0.09873115390492262,0.052911243631499356,0.19598582421027505,0.12248354566285756,0.04618953734110853,0.04806743028043823,0.051790893209653896,0.0575110833338755,0.0470189047361299,0.054978517445422474,0.04377183945595711,0.05508228655577643,0.04441227543105507,0.05388197658656556,0.04909942044135805,0.049534103705371355,0.04580096754472517,0.05652815943227793,0.04912095897763181,0.04800626996062135,0.05114209089372988,0.05693854867545933,0.053970857292313296,0.053637875890258646,0.05001252576288611,0.06010449913176257,0.05632184602718574,0.05264316937313472,0.04384390400522994,0.052948396605430506,0.05932642125925735,0.04854082359136843,0.051110614799296114,0.054413237713667864,0.05274556260711746,0.05610546001329001,9
3,0.265048753461626,0.015156097431207613,1.09034227029195,0.013083612868403293,-0.011817159670256915,-0.0002967125902868673,-0.1280835770088626,-0.15830347466049016,0.2163835703726529,0.1760883560224163,0.005621369387126525,-0.01759064146733274,0.12346603813711271,0.12070850869541117,0.09073477530772059,-0.2636346907809784,0.07306889118271954,-0.1582261980053101,0.19842776085044053,0.11763988198051331,-0.46170178399911505,-0.11659390024271349,0.23510903852732604,-0.006359288301976223,0.03412937779351677,0.11125175062336896,0.41520654149354824,-0.07313382431074184,-0.21991026344052522,-0.03431890126862261,-0.13760671337675467,0.15654041704912725,-0.08156864217965253,0.22149062770623684,-0.19636464239887222,-0.2303564914267461,0.04929066190976983,0.05179181821415493,0.05270132634994333,0.05341481581937857,0.04938079158583681,0.04593782451773723,0.049261695263717875,0.05239419163091907,0.04992018224272375,0.04742525555891634,0.04808957019332083,0.05635394981653574,0.051621616968818264,0.052985655467058274,0.04780729958405601,0.05153562692212057,0.06129124376057993,0.05497567718765079,0.04859854243678324,0.05279793014299255,0.05304283772137933,0.04844628886178716,0.04555233652857768,0.05392175396626554,0.05845870937148027,0.05319370943733312,0.05198024436618975,0.0485399561720631,0.051560080589851294,0.046666389595534714,0.05807742055541927,0.054487242407048754,-0.3026833422519641,-0.22941623279302223,-0.04379305396965422,0.23055748408667256,-0.22554173231132904,0.07511138994941478,-0.14630947994072807,0.14872468287101667,-0.2919846579957378,0.12159938116987558,-0.11507505785041641,-0.1607920145187111,-0.1679931271118499,0.08678487613165181,-0.035033525790696886,-0.05335528560209253,0.07352800378260191,0.21125532797169905,0.050331374403510445,0.1571601805569486,0.04006405668987909,0.18366465927620537,0.2930771837780165,-0.07027478886755335,-0.34797544202194247,0.019580057304922342,0.17831806507155373,-0.1290669293758708,0.09611066922082594,0.050515375724169205,0.18421470892437505,0.1186971934882302,0.045315118054263845,0.046640809743130736,0.05160317650286081,0.055686999276489554,0.047048519465923276,0.05479949814925953,0.04441982054935591,0.057864446123729915,0.044125504574147774,0.056702199332929096,0.04883816597545858,0.046585245731213205,0.04637606391936311,0.05689375071899809,0.05121501862995457,0.04758080599225835,0.05200229360613649,0.05553130930326583,0.054157554752921985,0.05472894916120431,0.050104089196440514,0.05508935849919376,0.057354963447576644,0.05234706974955851,0.044743829812893154,0.05150135764241878,0.057781413319564365,0.04960788844783957,0.05185612284138796,0.05422989684510399,0.051873468201131284,0.05455709126710256,10
4,0.27003497347388555,0.015570219688559069,1.0911573622001296,0.01323596655514884,-0.022045880630912947,0.0007176853706422579,-0.125285071100227,-0.15738555710874452,0.20263145391489332,0.17271728536232128,0.003343807271355774,-0.023054300373535265,0.1305513048497285,0.12425041502657914,0.0838604050661965,-0.26885950016552607,0.08067248597846069,-0.16822118425968433,0.19350194702421816,0.1193550691039562,-0.4544376190138797,-0.11946132817520178,0.2570827176602587,5.146051499316867e-05,0.046844210874291976,0.11231921511802812,0.42318729816517103,-0.07383261639538824,-0.2365615429920716,-0.03989961268438771,-0.14957152634048354,0.18191559844428146,-0.07445083705339668,0.21783151155465882,-0.20641285621164723,-0.23135443879494855,0.050593053241417704,0.055813792174697646,0.0518478135227574,0.05352416558795155,0.04774532679781344,0.04624394917889201,0.051432545999619356,0.050369860959684216,0.05167039508776874,0.04823887251140862,0.048978871318228576,0.06048615928527412,0.05158649812372607,0.05400043506047364,0.04741265254484889,0.05280023625110109,0.05990541440772294,0.05423822914091826,0.04812022499225806,0.053305648597243044,0.053170953944765946,0.04993971224990934,0.048027439417727184,0.05586633680088402,0.060340625818548765,0.05299178061035779,0.05355226387352151,0.049278217845784775,0.053628176612061235,0.04752482599489308,0.05603407948525412,0.054724271584059764,-0.30370599339251075,-0.2300693517186947,-0.03666245211896772,0.23261695937705487,-0.23446778800188975,0.08632160540888674,-0.1409282846552768,0.13170944456967237,-0.2799809088548984,0.13018422620087852,-0.1123976553686237,-0.1673672866885358,-0.17250641066723954,0.08147873806191848,-0.03142995028014105,-0.04655682902423746,0.0840258399369527,0.21817148856273438,0.05653177372620258,0.15594392424160666,0.03301765279347371,0.19318040063106007,0.29016731645893307,-0.08487733494018977,-0.35063357278139273,0.025742816783726013,0.17975687261253526,-0.13108214285232042,0.08761207274992205,0.04750999011664614,0.17497990144371392,0.11371493766900113,0.04729807774068093,0.04941552235731063,0.05256973082524678,0.05540511161683472,0.04655378125356006,0.053758468857703204,0.04597489726144469,0.05621138235324345,0.04417509700586907,0.05288680504947307,0.049523904773696455,0.04743765801149076,0.048068935571032756,0.055580107877274736,0.05106830299536033,0.049562652642073574,0.053291667972081846,0.055791205113892246,0.0536632167133109,0.054675374839200166,0.0537455084223465,0.05775382882405775,0.05639736368668278,0.05136886908069252,0.045912377426126624,0.05227706555037457,0.055638667926207266,0.05163388856440475,0.05254229891039926,0.054686733144059314,0.05342480973587238,0.05390834759022647,11
5,0.2724835018451118,0.01599745591230218,1.092155526430679,0.01310120954635011,-0.022691856344172864,0.0028088380445410424,-0.12389117129169225,-0.15007014969220822,0.18787927993358522,0.16217688507280553,0.0029249866135486703,-0.03650894942642358,0.1388484205958841,0.12081880244785907,0.07768929892764932,-0.26692260952205027,0.08611829506146262,-0.18066449379601293,0.1856195815273777,0.1168832694845271,-0.4457167132581333,-0.12062924775260064,0.2697084226269402,0.006187190293188561,0.05723654459933148,0.11055442643129097,0.4305819395197456,-0.07215438360952561,-0.2476595132560168,-0.04738307502188766,-0.15516517036790642,0.20666878878294706,-0.06253690318561086,0.2138864924949024,-0.21260638433701817,-0.2319908415963271,0.051936800618627245,0.05623489719755055,0.05100936780848878,0.05529236335262743,0.05155949236558367,0.04856063480968913,0.052938702198293136,0.0506854936208386,0.05219341897618153,0.05075104966030601,0.05050120852529391,0.05827465499158958,0.05193469145578604,0.05331278688611865,0.046795024781008346,0.052009248419698326,0.05963653157816213,0.05410441316614329,0.04996633276885587,0.051927772008286716,0.05368304068791821,0.04907313973099547,0.044530236965123406,0.05532948319051117,0.06207976399086646,0.053791353239033474,0.05490002194185736,0.04989595351587443,0.055342639730080946,0.04688230286746404,0.05543911996359393,0.056272084971903294,-0.3052295556260875,-0.23095636258849622,-0.03790491638764095,0.2347530667265105,-0.24310524697177452,0.08955197801848794,-0.13681309105496303,0.11676757783906024,-0.26801707949890013,0.1410629424429995,-0.10151772528379266,-0.17797422753459144,-0.17905749529619205,0.07683439789298958,-0.029583462049724667,-0.04257996618109542,0.09034260006316297,0.2242334459112618,0.0638193590155021,0.1540651495646283,0.02085129694477002,0.2116217777973694,0.2985563088808506,-0.10417478291313176,-0.35462135604661327,0.030946920124266922,0.1859889512092954,-0.13360874080772028,0.07926264421254646,0.04327426059795403,0.17608324002056794,0.10712809097850023,0.04721216328888618,0.048110955436422125,0.052833563120886634,0.053316180916770886,0.04604927964881766,0.054972107508052204,0.0474626962514037,0.05363469311831101,0.044886640936219094,0.05410776977339299,0.0506293395754577,0.04832463199577757,0.0489052525314583,0.05713828664097262,0.05350375840263195,0.049122005625864995,0.05192764280239119,0.05594217543102654,0.054483005158170325,0.054474771846524626,0.05323957882687323,0.0558103665765938,0.056031365851237865,0.051983457419158136,0.046045388472633154,0.05198365376502299,0.05893164540312446,0.052789901606501856,0.05657667356776359,0.056187022451317056,0.05314735282252114,0.05369661269995734,12
6,0.27351275180249895,0.015789386087284158,1.0912679408693795,0.01373786955269084,-0.016208817153279802,0.00399252324159235,-0.1156330251738664,-0.1404760469948697,0.17598995503691112,0.15293665312403565,0.004512829642472138,-0.03795019459702396,0.13869138429190805,0.11291926976572317,0.0703092216604955,-0.2576463078641489,0.08752478439053993,-0.19104512119805162,0.18147027641374736,0.11382749789355623,-0.4379508902383813,-0.12562891948807395,0.28331671362498867,0.0028098636042395496,0.05660494336084068,0.11067875501305684,0.44327655901479,-0.08038162975777055,-0.2574118373088845,-0.05606882147096878,-0.1547987401616586,0.21278864953670165,-0.044117679859403056,0.21456853936650647,-0.21809939266426565,-0.2328009950514586,0.05290437887369414,0.05443043582479716,0.05220776088487025,0.0555716403879944,0.04806098459624053,0.05213260731112395,0.049521031224561564,0.05104490628790441,0.05640247191472339,0.04953039779485028,0.05083013710809532,0.057455736703112124,0.05163824937001179,0.05459383123689866,0.04847882090586212,0.05439661490755336,0.06119226303166515,0.05309476918352665,0.04881666304993892,0.05158440274319438,0.052026829210899225,0.04663033298886403,0.04401252305143137,0.05621617161514587,0.06081174021418968,0.05400157131602209,0.0536528229945246,0.05090993659217914,0.05617542955499466,0.04736641413898656,0.0536698995723138,0.05840466600960894,-0.3123126110107744,-0.23003515085952023,-0.04083763310939816,0.24279783186961945,-0.2525072712609426,0.08885861302297923,-0.13209744282527822,0.11852359049285532,-0.26115057557618604,0.1452700470259609,-0.09200494267266385,-0.18394287416534405,-0.19278273340495605,0.0717827118195028,-0.029344160240396235,-0.045657046747904786,0.0950770956735877,0.2414920671743176,0.07353774087211386,0.1451908994126782,0.001901117061617755,0.22772690261882475,0.2998376380133434,-0.11261627928796233,-0.3580003655169794,0.036060462865144916,0.1908624780650091,-0.13257274833802368,0.07380330935812104,0.04683499073542683,0.17514596045068204,0.10115837848454516,0.04791792171098368,0.04862573729706829,0.05307899529140718,0.05380903282696668,0.048097240740435296,0.0517733719211562,0.04719119052184356,0.05417681140862106,0.046009413145524314,0.054639354228686654,0.0488322421058314,0.04809906348382834,0.047417189599078584,0.05548328190185117,0.05432381954008409,0.04954732197651213,0.05360446068196225,0.05510985011617173,0.055000271862589684,0.05343110547203113,0.052604167144500856,0.05465007277720675,0.05790430948077069,0.0549381613726978,0.04517241556120431,0.05274714216504642,0.056503657479093,0.05050729128131248,0.053735541029000404,0.054385199991541504,0.055852035126150036,0.05423214236160243,13
7,0.273381098868836,0.015401970153925002,1.091044832911948,0.013240758314277956,-0.012123730952073843,0.02046365657129429,-0.1051780889939499,-0.1336839942269247,0.17165722523743973,0.14837190894506547,0.006352909723814635,-0.04029948171256273,0.1372147128069645,0.11361956702233113,0.06255194626066282,-0.2566922279397036,0.08989590856033935,-0.19191670490707116,0.18239743958166565,0.10553593059886322,-0.4276511591265444,-0.1270526750866875,0.2895637372350279,-0.012986737265338206,0.05533949142959967,0.10591247873897372,0.4552822452015846,-0.08739141937489342,-0.27413907370317236,-0.06849492213382333,-0.15441394136839393,0.20583988304318734,-0.035797026107576534,0.22362683111670922,-0.22484806433326143,-0.2209566248415462,0.050125271327060794,0.05275693630924677,0.05190850907024745,0.05492201752529,0.04805692130753471,0.048494354551342586,0.052309923132567805,0.05078323572197103,0.050367208824874186,0.05035395306055292,0.04996430592896358,0.0566154046280508,0.052923228654963975,0.05856564417293572,0.04757168381619741,0.05223226947593683,0.061049576284925154,0.055025143747641815,0.049742369564795656,0.0544011005436732,0.052294673429684156,0.04583111184625232,0.04616854167590375,0.057043451660570975,0.05921940067781093,0.05507260092287199,0.05572601287976602,0.05239468020345896,0.05400930664860043,0.04770807669380311,0.05152066986225303,0.05583466595986649,-0.3195884309613696,-0.23217872431642234,-0.04265888769349495,0.24990069563251358,-0.26255255170367514,0.10562621561255185,-0.12670688868378466,0.1204712563046148,-0.26269629805727923,0.14871301394923792,-0.08120282216043938,-0.1825421898367901,-0.20636882171943297,0.06972250750728795,-0.017958478603270538,-0.04112069251149802,0.10154108943131876,0.23207698938030888,0.08109605223245432,0.13070236606820282,-0.005985045811430597,0.24560806012649736,0.2993145408729142,-0.12048344038141917,-0.3632490369854527,0.03124233101138227,0.19784182499996159,-0.14422103740384348,0.06989938016294849,0.06178174259593582,0.17057825417888928,0.09339702676258303,0.04727635489487851,0.04760140996133467,0.051965546452026945,0.05462670787437198,0.047052691475959786,0.05356557612537318,0.04921126520459486,0.056794044275549786,0.04708777116743496,0.05339519648528754,0.05266679938829183,0.04740555375893321,0.04728595683136697,0.05498631367634178,0.05135185998727456,0.0494243315354364,0.053587089122439674,0.05497593394662513,0.05284856622155356,0.056617048065838366,0.0519058126496312,0.055520041359384244,0.05809127349846912,0.051063793946734506,0.043402388338473825,0.051504670275069886,0.05630791419710572,0.0497856625533605,0.05305289059256683,0.05477673089369089,0.056589397818693744,0.05460178405301833,14
8,0.272323429882616,0.015337824747304704,1.0899422083118862,0.012944718066358144,-0.01824455358438296,0.033650264870423795,-0.09764339575288485,-0.11382644302045614,0.1727821673431511,0.14426802301139152,0.0032571829450277036,-0.04422327829659038,0.13674698680764513,0.11733148446261407,0.0512465888972878,-0.2646478638638921,0.08568278724867599,-0.18849668247525397,0.18168509385455137,0.09516574827514847,-0.4114617156282244,-0.12799047904888866,0.2952185135198796,-0.027774350146567237,0.05664834984160997,0.09978408410586989,0.46053046837703027,-0.08987594648981206,-0.2863182745643108,-0.08085826901092429,-0.1465056200127059,0.20061893446835846,-0.029691283258996892,0.23128135849877754,-0.22437824206183477,-0.2139616393117174,0.05228864794869574,0.05024071462967859,0.05228827580739701,0.054527177719362926,0.04659498648928189,0.05000976601199362,0.052796318127508526,0.05109892611367149,0.050453376245079805,0.05106112179277101,0.049366617742401524,0.055422148001050935,0.05298069847839855,0.05399855638028468,0.04662915676502455,0.05164533568630705,0.062078139359956964,0.054928715956004806,0.05152896235188009,0.05276353095422684,0.05104397970482898,0.04527782813757454,0.045049941649933166,0.054965568110046686,0.05803417691315629,0.0527644496594075,0.054021027709712864,0.05176779491893661,0.055607766665313904,0.04732053359130495,0.052867170866848036,0.056939896177376506,-0.33045132018907875,-0.23097975357564746,-0.038836277442077086,0.25399437207811126,-0.2705675186154885,0.119089765714137,-0.1285272777990483,0.12143469812889465,-0.2647061700753542,0.15129624210333295,-0.08163296536814352,-0.18126696078845225,-0.21850650646928813,0.056488064074265876,-0.001519153723020392,-0.03516661162002946,0.10449311451219222,0.22463854728775848,0.0876757358831985,0.11475753211848465,-0.00908232315796184,0.26735576414053364,0.2996527731220433,-0.11971778700212336,-0.3660108421708277,0.03229740951848284,0.20469566205815296,-0.15575763630209008,0.06133887341551643,0.06834996048569669,0.17034007798225587,0.09483051167557377,0.04687820581210777,0.04758169417759127,0.053159310758097135,0.0542979466499217,0.04782052774792057,0.05363014983948341,0.05010430893064709,0.05710183378930162,0.048571175853799366,0.0534006826792606,0.051657181993334314,0.047763689338179746,0.04773535913431518,0.05580974323135017,0.051155559847359304,0.049685406644157715,0.05377485666943495,0.05434800712704777,0.05385999368380251,0.0548140908690668,0.052243555684329396,0.05600970473595459,0.05803609430841942,0.05184296552959047,0.045838683691726965,0.0516312871337978,0.055667588631036165,0.05097037728290283,0.0548410569407035,0.05647335575703333,0.05756142901003598,0.054723487720122435,15
9,0.2712298767394045,0.015901689224902184,1.089962916828375,0.013403902969837019,-0.028303420229738294,0.04345689103594762,-0.0921321174723324,-0.09385774096134407,0.1787940553416859,0.13859737146870588,-0.006572019186314185,-0.04808908299981322,0.1364094183522343,0.12028925209308125,0.0480379383843686,-0.2634777745404759,0.07646334517074412,-0.18760556126732592,0.1826534752254179,0.0887273483845703,-0.3974805417258767,-0.13247960661620112,0.30083199622134943,-0.040227934261971784,0.06241684826620962,0.09848683498506437,0.46371889617619233,-0.09440164444618733,-0.29420786484851713,-0.09487517560169303,-0.13582650238427102,0.19366834440745487,-0.024514662172607046,0.2347569349033641,-0.22492432886002886,-0.2083329728416925,0.051764307471846245,0.05245482523422028,0.05351369561117273,0.052976569359535874,0.04676237658110491,0.04906799890115655,0.053998606531476874,0.05138370473526902,0.04916250046883043,0.04996685884057303,0.05121497481130199,0.05467155963538987,0.0545021896371666,0.05350963106275796,0.0471387226292879,0.05154834440143556,0.06297712395208738,0.05287101298527993,0.047865893214511054,0.05296288680179824,0.0521668730669148,0.04799625374071638,0.044816914974057764,0.05576770462396488,0.05719189751817263,0.05210706692305826,0.05485181603222517,0.05354973803729458,0.05541185468487062,0.0461088372618993,0.05394421652513125,0.05718988746473159,-0.3440274418939654,-0.23038508378051797,-0.039352649747346376,0.2552222146348293,-0.2738947708767718,0.12488695502742567,-0.12868052522299148,0.12759722929873032,-0.27195868356872793,0.15412025006002852,-0.07897789625967953,-0.1785455866344884,-0.23418600448865542,0.04328819053726138,0.0143193446679788,-0.035600958349467575,0.10723949145771934,0.21410884644538897,0.08807874214002237,0.11061326863501773,-0.006641607118156166,0.285167034886204,0.3029086794801627,-0.12016165642279046,-0.372711313750919,0.03174653066355349,0.21307121378901245,-0.1697395662161497,0.06348926216520154,0.07762536502935344,0.16873933441106634,0.10264179100167078,0.048477412300609535,0.04780724098882035,0.05120863677013884,0.056114017190918124,0.048461881884694746,0.052697992038338304,0.048217420340534486,0.05666287472754145,0.04852314349941917,0.05283589595387424,0.05156151894732044,0.047656418770350185,0.04847168680639345,0.05493349121259858,0.050643929130510655,0.049390479865203805,0.05209757942936916,0.056677032606408335,0.056702860368146965,0.056328604232139,0.053654268056760164,0.057954852787772564,0.05794699953949478,0.048811197607638884,0.044047216193993356,0.05171147171450705,0.05722444727714864,0.050198356199013396,0.052699018903947556,0.05818018663957845,0.05740168703097443,0.054313246282660564,16
